Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
BBC,bbc1,http://www.bbc.com/news/world-us-canada-28737025,Michael Brown shooting: Calm returns after rioting,NA,8/11/2014,10/27/2015,"Police in the US state of Missouri say they have arrested 32 people as calm returned after a night of rioting.
Unrest broke out on Sunday over the killing of an unarmed black teenager by a police officer in Ferguson.
People looted shops, vandalised cars and stores, and set a building alight as police tried to block off access to several areas of the city.
Police say Michael Brown, 18, was shot on Saturday afternoon in the mainly black suburb of St Louis.
He was shot several times after a struggle in a police car, they said.
On Monday, dozens of residents marched through the streets demanding justice.
As residents began the task of cleaning up, some said they believed the violence was not over.
'Fighting back'
DeAndre Smith, 30, of Ferguson told the St Louis Post-Dispatch that the rioting reflected a sense of injustice in the community.
""I don't think it's over honestly,"" he said. ""I just think they got a taste of what fighting back means.""
St Louis County police say the FBI has now taken over the investigation into Mr Brown's death.
The rioting erupted late on Sunday after thousands of people attended a candlelight vigil for the slain man. 
County Police Chief Jon Belmar said the shooting occurred after the officer encountered two men, including Mr Brown, on a street in Ferguson.
Mr Belmar said one of the men pushed the officer back into his squad car and a struggle began.
'Outrage'
At least one shot was fired from the officer's gun inside the police car, Mr Belmar said.
But authorities say they are still trying to clarify exactly what happened inside the vehicle.
The officer involved has been with the Ferguson police department for six years, and has been placed on paid administrative leave, Mr Belmar said.
Mayor James Knowles said he understood that people ""want to vent their frustrations. We understand they want to speak out"", but he added: ""We're going to obviously try to urge calm.""
Mr Brown's mother, Lesley McSpadden, said her son had graduated from high school and planned to go to a local college.
The killing has drawn comparisons by some civil rights leaders with the 2012 killing of 17-year-old Trayvon Martin by a Florida neighbourhood watch organiser who was acquitted of murder charges.
""We're outraged because yet again a young African-American man has been killed by law enforcement,"" said John Gaskin, of the civil rights group NAACP.",NA,NA,NA,NA
BBC,bbc2,http://www.bbc.com/news/world-us-canada-28779241,Michael Brown shooting: Police will co-operate fully,NA,8/14/2014,10/28/2015,"Police in the US state of Missouri have said they will co-operate fully with investigations into the shooting of an unarmed black teenager that sparked days of outraged protests.
Michael Brown, 18, was shot by a police on Saturday in the suburb of Ferguson.
Eyewitnesses have said Mr Brown, who had just graduated from high school, put up his arms and tried to surrender before being killed.
President Barack Obama and civil rights activists have appealed for calm.
According to details released by the St Louis County Police Department, Mr Brown was shot after an officer on a routine patrol asked him and another teenager to get out of the street on Saturday afternoon.
There was a scuffle and at some point the officer fired his weapon inside the patrol car, said the police.
On Wednesday, Police Chief Thomas Jackson said the officer required treatment in hospital for a facial injury. 
In a statement, the Ferguson police department said it would help investigations into the incident being conducted by the county police department, the justice department and the FBI.
The department also asked protesters to demonstrate only in the daylight hours ""in an organised and respectful manner"", and to disperse ""well before the evening hours to ensure the safety of the participants and the safety of our community"". 
Among young and old, there is a sense of loss and injustice felt across the suburb of Ferguson.
People have decided now is the time to unite and show their disgust at the shooting, whether through church vigils or the poignant protests of young people raising their hands and walking towards police lines chanting ""don't shoot"".
The killing of Michael Brown has exposed deep-rooted racial issues here, between a predominantly African-American community and the largely white administration.
In spite of making up an estimated 67% of the population, black people are overwhelmingly under-represented in both local government and in the police force in Ferguson, which is being accused by many of inherent racism.
People have been demanding an investigation, but with the national spotlight on this community, they are also seizing the moment to demand more equality in the society in which they live.
The department's appeal comes after three nights of tense, often violent protests that have resulted in dozens of arrests, looting and the burning of a shop.
On Tuesday night, police fired tear gas into a small group of protesters who had confronted a line of officers, St Louis County Police Department spokesman Brian Schellman told the Reuters news agency.
Earlier, a far larger crowd had chanted ""hands up, don't shoot"" and ""no justice, no peace"" during a tense but non-violent stand-off with police near the site of Mr Brown's killing.
And in the early hours of Wednesday morning, police reported they shot and wounded a man near the site of protests in an apparently unrelated incident.
Officers said they responded to reports of four men wearing ski masks and holding shotguns. One man drew a handgun and fired and was shot by an officer, they said.
Civil rights activists and Mr Brown's family and friends have called for an end to violent clashes with the police, while also demanding the Ferguson police department release the name of the officer who shot and killed Mr Brown.
""To become violent in Michael Brown's name is to betray the gentle giant he was,"" the Reverend Al Sharpton said at a news conference on Tuesday.
President Barack Obama has promised a full investigation by the US Department of Justice into the teenager's death, and the FBI has launched its own inquiry.
""I know the events of the past few days have prompted strong passions, but... I urge everyone in Ferguson, Missouri, and across the country, to remember this young man through reflection and understanding,"" Mr Obama said in a statement.",NA,NA,NA,NA
BBC,bbc3,http://www.bbc.com/news/world-us-canada-28801288,Michael Brown killing: Vigils across US for shot teenager,NA,8/15/2014,10/27/2015,"Thousands of people have held vigils across the US in honour of a black teenager killed by police in Missouri.
Protesters in New York, Chicago, San Francisco, Dallas and elsewhere raised their arms in peaceful protest, almost a week after Michael Brown was fatally shot.
Details about the incident have been disputed but eyewitnesses said the unarmed teenager had his arms raised when he was shot multiple times by a police officer.
After four nights of violence in Ferguson, Missouri, where he died, state police took charge of security.",NA,NA,NA,NA
BBC,bbc4,http://www.bbc.com/news/world-us-canada-28797288,Michael Brown shooting: Timeline of events in Ferguson,NA,8/15/2014,10/28/2015,Police have provided more details about the timeline of the events leading up to the fatal shooting of 18-year-old Michael Brown. Police did not release any information about the fatal confrontation itself on 9 August.,NA,NA,NA,NA
BBC,bbc5,http://www.bbc.com/news/world-us-canada-28806313,Ferguson police: Michael Brown was robbery suspect,NA,8/15/2014,10/29/2015,"Michael Brown, the black teenager shot by police on Saturday in Ferguson, Missouri, was a suspect in a robbery just moments earlier, police have said.
But they said the robbery in a convenience store had nothing to do with the initial contact between Mr Brown and the officer who shot him.
Mr Brown's family have reacted angrily at what they see as a police attempt to ""justify the execution-style murder"".
The killing sparked days of angry clashes between police and protestors.
Ferguson Police Chief Thomas Jackson said the officer who shot Michael Brown did not know that he had allegedly stolen goods from a nearby store.
""The initial contact between the officer and Michael Brown was not related to the robbery,"" he said.
Instead, he added, the reason for the stop was that Brown ""was walking down the middle of the street stopping traffic"".
Mr Jackson said he had released the footage of the crime only because he had been forced to do so because of numerous freedom of information requests from journalists.
He described the robbery at the convenience store as being committed without the use of a weapon.
CCTV pictures in a police report show a well-built black man intimidating a clerk in the store.
The police report identifies the man as Mr Brown, described as being 6ft 4in (193cm) and 292 pounds (132kg).
It says he ""grabbed a box of Swisher Sweet cigars"" and handed them to a second suspect identified as Mr Brown's friend, Dorian Johnson.
Since the shooting on Saturday, Mr Johnson has given a number of interviews in which he has said Mr Brown held up his hands in an act of surrender before being shot by the officer.
Also on Friday Mr Jackson revealed the name of the officer who shot and killed Mr Brown - Darren Wilson - and said he was injured in a struggle with Mr Brown.
Mr Wilson, is a six-year veteran of the police force with no disciplinary record, Mr Jackson said.
Mr Brown's family accused the police of being devious in their release of information.
""There is nothing based on the facts that have been placed before us that can justify the execution-style murder of their child by this police officer as he held his hands up, which is the universal sign of surrender,"" said a statement.
Members of the majority black Ferguson community have also reacted angrily.
Ferguson resident Milton Jackson, 37, said: ""I don't believe what the officer did was called for. Even if there was a robbery, it was unnecessary force to shoot an unarmed black man.""
On Thursday night, tension seemed to ease, at least momentarily, as state police took charge of security after days of violent clashes between protesters and police.
There was no sign of the heavily armed police presence of previous nights.
US Attorney General Eric Holder said the use of military equipment and vehicles in Ferguson had sent a ""conflicting message"", while President Barack Obama said there was no excuse for police using ""excessive force"".
Mr Obama has promised a full investigation by the US Department of Justice into the teenager's death, and the FBI has launched its own inquiry.",NA,NA,NA,NA
BBC,bbc6,http://www.bbc.com/news/world-us-canada-28812313,Ferguson police: Michael Brown was robbery suspect,NA,8/15/2014,10/29/2015,"Michael Brown, the black teenager shot by police on Saturday in Ferguson, Missouri, was a suspect in a robbery just moments earlier, police have said.
Police say Mr Brown, 18, was one of two men suspected of robbing a nearby convenience store.
Minutes later he was shot by Officer Darren Wilson after a struggle, Ferguson police Chief Thomas Jackson said on Friday.",NA,NA,NA,(Short version of the above article.)
BBC,bbc7,http://www.bbc.com/news/world-us-canada-28797284,#BBCtrending: Moments of silence for Michael Brown,Annie P Waldman,8/15/2014,10/30/2015,"As the protests continue in Ferguson, Missouri, a unified national moment of silence was held in cities across the United States on Thursday night.
Organiser Feminista Jones says that the National Moment of Silence, known as {#NMOS14}<hyperlink=""https://twitter.com/hashtag/NMOS14""> on social media, was created in the wake of the shooting of 18-year-old Michael Brown and the police response to local protests.
With the shooting of Mike Brown, and now how Ferguson is being occupied by a military presence, people are upset and angry,"" Ms Jones told the BBC.
""I have a large platform so I knew I could reach people and make things happen.
Ms Jones, a feminist blogger and social worker, put a call out to {her 30,400 Twitter followers}<hyperlink=""https://twitter.com/FeministaJones""> the day after the shooting of Mr Brown, asking them to help her organise National Moment of Silence vigils across the nation.
Within just a few days, more than 50 vigils had been set up. Some city organisers were expecting more than a thousand participants on Thursday night.
To identify those who are participating in the movements and as a sign of solidarity, organisers have requested that participants wear a red ribbon, cloth or bandana on their arm.
The event in Washington DC was attended by hundreds of people in Malcolm X Park, many holding placards saying: ""Hands up. Don't shoot"". Protesters in the city later walked down a major street chanting the slogan.
Similar vigils were held in New York, Boston, Detroit, Chicago and many other cities.
For many organisers, this is their first time participating in a crowd-sourced event.
""It's amazing how everyone has come together on this by using hashtags and connecting on the social media websites,"" says Chicago organiser Kimberly Sewell.
Ms Sewell sees this as her personal responsibility.
""I was born in the Cabrini-Green housing projects and I was used to seeing heavy police presence in my neighbourhood as a young child,"" she said.
""I grew up hoping that we could lessen the police presence in communities like these. This is a time when we can say enough is enough.""
Other groups across the country have participated in social media protests in other ways.
Students from Howard University in Washington, DC, took a photo of hundreds of upperclassmen with their hands stretched in the air. The photo has been re-tweeted over 5,000 times.
""Mike Brown was supposed to start college on the Monday after the shooting. That could have been any one of us,"" said Howard University student Khalil Saadiq, who came up with the idea for the photo.
""If you had been in the auditorium, you would have felt the power of progress.""
Howard University photo courtesy of Ikenna Ikeotuonye and the Howard University Student Association.",NA,NA,NA,NA
BBC,bbc8,http://www.bbc.com/news/world-us-canada-28793865,Michael Brown killing: State police to take charge,NA,8/14/2014,10/30/2015,"State police have taken charge of security in Ferguson after nights of violence, said the Missouri governor.
Over the past four nights, heavily armed local police have clashed with protesters angry at the police killing of black teenager Michael Brown.
Governor Jay Nixon announced the change after President Barack Obama urged police not to use ""excessive force"".
The governor said the violent confrontations with county police made the suburbs resemble a ""war zone"".
""We're going to have to regain trust,"" he said.
Missouri Highway Patrol's Captain Ron Johnson, who grew up nearby, has taken charge of the operation.
He lost no time in making his presence felt, escorting a peaceful march through the streets of Ferguson on Thursday evening, shaking hands with protesters.
The tension in Ferguson was sparked by the death of Michael Brown, 18, on Saturday afternoon.
{A vigil and a moment of silence in his honour}<hyperlink=""http://www.bbc.com/news/world-us-canada-28797284""> has been scheduled in cities across the US at 19:00 EST (00:00 GMT).
Details about the incident have been disputed but eyewitnesses said the unarmed teenager had his arms raised when he was shot multiple times by a police officer.
Police say there was a struggle and the officer suffered facial injuries.
The authorities have yet to release the officer's name, saying they are worried that his life and that of his family could be in danger.
But this decision has provoked anger from the two-thirds black community of Ferguson against the majority white police force.
The online hacker group Anonymous earlier released what they believed was the name of the police shooter. It was later dismissed as incorrect by police.",NA,NA,NA,NA
BBC,bbc9,http://www.bbc.com/news/world-us-canada-28809385,Michael Brown shooting: Ferguson officer identified,NA,8/15/2014,11/5/2015,"The police officer who killed an unarmed black teenager, sparking days of protests in Ferguson, Missouri, has been identified as Darren Wilson.
Michael Brown, 18, was shot on Saturday in an incident widely seen as an act of police brutality.
Darren Wilson is a six-year veteran of the police force with no disciplinary record, Chief Thomas Jackson said.",NA,NA,NA,NA
BBC,bbc10,http://www.bbc.com/news/blogs-echochambers-28796822,"A new, complicated chapter opens in Ferguson",Anthony Zurcher,8/15/2014,11/5/2015,"Friday morning's revelation by Ferguson, Missouri, police Chief Thomas Jackson that Michael Brown was a suspect in a convenience store robbery hours before he was shot and killed by police officer Darren Wilson could change everything.
Or it changes nothing.
Shortly after Mr Wilson was identified as the officer involved in an apparent attempt to apprehend Mr Brown, the internet erupted in reaction - exposing a fault line in opinion that will be difficult to bridge.
First and foremost, however, comes the question of why it took so long for this new information to come out.
""This by no means justifies what happened to Brown,"" {writes}<hyperlink=""http://talkingpointsmemo.com/edblog/what--7""> Talking Points Memo's Josh Marshall. ""But it seems to bring home in an entirely new way just how unprepared and frankly clueless the Ferguson police department is that they're only managing to mention this part of the story after days of war-zoning the city streets.""
Ed Morrissey of Hot Air blog {agrees}<hyperlink=”http://hotair.com/archives/2014/08/15/ferguson-police-identify-officer-in-michael-brown-shooting/"">: ""If the Ferguson police had been more forthcoming about the incident up front, much of this week's drama might have been avoided, or at least somewhat mitigated.""
For some, the information provided by the police is evidence of a rush to judgment on the part of protesters, activists and the media.                                                                                                                                                                  ""Facts don't matter,"" {tweets}<hyperlink=”https://twitter.com/benshapiro/status/500287196666925056%5C""> conservative columnist Ben Shapiro. ""Media, pols report that every shooting by a white cop of a black unarmed suspect reflects generalised American racism.""
""We still don't know what went down with cop and Michael Brown,"" he adds. ""But we can say that the 'gentle giant' stuff seems over the top.""
The Daily Caller's Jim Treacher {tweets}<hyperlink=”https://twitter.com/jtLOL/status/500309416571199490"">: ""And yet another leftist narrative starts to unravel. But the important thing, for them, is to establish it in the first place.”                         Others say the St Louis County police are only muddying the waters by releasing information that has no direct bearing on whether Mr Wilson was justified in shooting Brown.
""Ferguson police chief gave the officer a week to clean up his internet history, then released a report unrelated to the shooting,"" {tweets}<hyperlink=”https://twitter.com/Green_Footballs/status/500306221291683841""> Charles Johnson of the Little Green Footballs blog. ""{This seems like}<hyperlink=”https://twitter.com/Green_Footballs/status/500306593502609409"">  an attempt to poison the well, not clarify anything.""                                                                                                           ""Thanks for the pics of alleged convenience store shoplifting,"" {tweets}<hyperlink=”https://twitter.com/embeedub/status/500302868084445185""> Salon's Mary Beth Williams. ""Where are the ones of the cop shooting an unarmed man, again?""                                                                                                      David Corn of Mother Jones {tweets}<hyperlink=”https://twitter.com/jtLOL/status/500309416571199490"">: ""Bottom line: cops are supposed to use deadly force only when lives are at risk. You don't shoot robbery suspects.""
Only that may not be the case according to Missouri law.
The Federalist's Sean Davis {notes}<hyperlink=”https://twitter.com/seanmdav/status/500286071801126912""> that the state's relevant statute allows law enforcement officers to use deadly force ""when he reasonably believes that such use of deadly force is immediately necessary to effect the arrest and also reasonably believes that the person to be arrested … has committed or attempted to commit a felony.""
If Mr Wilson reasonably believed Mr Brown committed a strong-armed robbery felony, which is alleged in this case, it could give the officer legal cover.
If such a charge for swiping a box of cigars and shoving a store clerk seems extreme, it's not without precedent. In 2007 another Missouri man {faced robbery}<hyperlink=”http://jonathanturley.org/2007/12/31/donut-theft-spared-30-years-receives-five-year-suspended-sentence-plus-90-days-in-county-jail/""> charges and up to 30 years in prison for stealing a 50-cent doughnut and shoving a store employee. (The story made national headlines, and the perpetrator ended up receiving a five-year suspended sentence and 90 days in jail.)
As if there was any question, the Ferguson case - and the controversy surrounding it - is far from over. And it may be starting a new, highly charged chapter.
""Let me be very clear,"" {tweets}<hyperlink=”https://twitter.com/AfricanaCarr/status/500299227969646592""> Greg Carr, chairman of the Howard University Department of Afro American Studies. ""The Ferguson police and America are playing with fire if there is an attempt to justify the murder of Mike Brown.""",106,NA,NA,NA
