Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
BlackAmericaWeb,baw1,http://blackamericaweb.com/2014/08/13/roland-martin-talks-to-wesley-lowery-of-the-washington-post-about-the-unrest-in-ferguson-missouri/,"Roland Martin Talks To Wesley Lowery Of The Washington Post About The Unrest In Ferguson, Missouri",Roland Martin,08/13/14,06/09/16,"Roland Martin talks to Wesley Lowery of the Washington Post about the new findings in the shooting of Michael Brown case in Ferguson, Missouri.

“On the scale of the scale of what we’ve seen has been a little bit of unrest,” Lowery says. “The gospel praise rally kept most of the people off the street last night.”

Click the link above to hear the entire interview.",NA,NA,NA,"Number of “reads” is mentioned in every article.
1 reads"
BlackAmericaWeb,baw2,http://blackamericaweb.com/2014/08/19/police-kill-another-man-near-ferguson-say-he-brandished-knife/,"Police Kill Another Man Near Ferguson, Say He Brandished Knife",NewsOne Staff,08/19/14,06/09/16,"Reports are coming in that yet another man was shot and killed by police in St. Louis, Missouri Tuesday afternoon. The event happened just days after 18-year-old Michael Brown was killed not far from St. Louis in Ferguson, Missouri.

St. Louis police reportedly shot and killed a young black man Tuesday after, they say, he brandished a knife.

“The suspect, who right now is described as a 23-year-old African American, was acting erratically — walking back and forth up and down the street,” St. Louis Police Chief Sam Dotson told reporters. “As officers arrived, the suspect turned towards the officers and started to walk towards them clutching his waistband. He then pulled out a knife … and told the officers, ‘Shoot me now. Kill me now.’”

Dotson went on to say that officers told the man to stop and drop the knife but he soon advanced toward, coming within about four feet of one of the officers. That’s when, Dotson said, both officers then fired their weapons.

There is no word yet, however, on how many times the unnamed man was shot or if the officers were still in their vehicle.",NA,NA,NA,0 reads
BlackAmericaWeb,baw3,http://blackamericaweb.com/2014/08/14/exclusive-wesley-lowery-washington-post-reporter-arrested-in-ferguson-speaks-to-the-tjms/,"EXCLUSIVE: Wesley Lowery, Washington Post Reporter Arrested In Ferguson, Speaks To The TJMS [LISTEN]",Krystal Franklin,08/14/14,06/09/16,"Washington Post reporter Wesley Lowery was a guest on the Tom Joyner Morning Show on Wednesday, August 14th and hours later he was arrested at a nearby McDonalds in Ferguson, Missouri. He was there covering the story of unrest, following the fatal shooting of unarmed teen Michael Brown by police over the weekend. “Officers say, you should get out of here, things are getting crazy. If you choose to stay here we’re not going to be able to protect you but they weren’t satisfied that we were going to stay and cover the riot,” Lowery says. What he says next will surprise you! Click the link above to hear the entire interview or read it below!

TOM JOYNER:  Wesley Lowery from The Washington Post is on the phone and out of jail.  What’s happening?

WESLEY LOWERY:  (Laugh) Thank you, Tom.

TOM JOYNER:  (Laugh) Not you too, you’re a journalist.

WESLEY LOWERY:  My objective facts tell me that I can do all these other interviews, but the day I go on Tom Joyner.  (Laughter)

TOM JOYNER:  Come on, Wesley, not you too.  All right, Wesley, what happened?

WESLEY LOWERY:  So, for people not on the ground here in Ferguson, the main stress where everything’s happening, where the initial shooting of Michael Brown happened, where the protests have been happening, are on what essentially is a main thoroughfare off of a, like a freeway, actually.  So you actually can imagine you got gas stations, as we’ve seen the one that was burned, McDonald’s, The Dollar Store, and so it was during the afternoon, there was a massive afternoon protest, largely peaceful afternoon protest, the police came out in a massive show of force. For myself and many other reporters it was all hands on deck, we were all covering this live from the sites, tweets, a lot of live updates, a lot of pictures, because this isn’t the first time the full SWAT and riot team had showed up during the daylight.  And so here we are documenting this and independently of each other, Ryan Riley, from The Huffington Post, the other reporter and his team, our phones were dying.

So what we did was we walked about two blocks, there’s a McDonald’s.  This has basically been the media center of all of Ferguson.  Any reporter here, he’ll tell you that, because as everybody knows that McDonald’s are definitely Wi-Fi.  And so for reporters who are typing and filing, anytime I’m on the road I think I need to find a McDonald’s or a Starbucks.  And so we’re in the McDonald’s writing the reporting, like a lot of reporters have been.  I believe him and I were the only two reporters at that moment because everything was topping off.  We had to pull ourselves out for a second because our phones were dead.  And so we’re the only two reporters in there, we’re working and filing, there’s maybe half a dozen people in there.  And at one point I look up and I see that there are six or seven officers now in the McDonald’s, you know, with their large weapons walking around and they’re talking to some of the patrons saying you should get out of here, things are getting crazy down there, you should get out of there.  So obviously I went on high alert. You know, I started to try to take pictures of what was going on in the McDonald’s, tweeting that; hey, officers have just shown up and they’re now evacuating us.

All of the sudden the story had come to our little alcove where we thought we had escaped it.  But at the time they did not order us to leave.  They said if you just choose to stay here we’re not going to be able to protect you.  If you call 911 we’re not going to answer, we’re not going to show up here, we told you; you need to leave.  Like, all right, cool.  They walk back to the front, they were not satisfied with the idea that we were willing to brave whatever it was, that we weren’t scared by the idea of a riot, in fact we were here to cover if there was going to be a riot.  So then they went to the manager to try to talk him into kicking us out.  Tried to talk him into giving them authority to evacuate the place or whatnot.

I had no idea whether or not that was granted but what I do know was a few moments later some of the officers re-approached us and said we’re evacuating, now you have to get out of here, you’ve got to get out of here. I’ve got my phone in my hands, so I hit record on my video, because, again, we’re being evacuated from a McDonald’s, this is going to be good video no matter what happens.  This is going to be something, this is going to help show what was going on in the ground, at which point an officer with a large assault weapon says to me; stop recording, turn that off.  And I said, as I’m walking backwards, still recording him, trying to get to my stuff, because I have no intention of staying in this McDonald’s they’re evacuating.

I said; Officer, don’t I have a first amendment right to record you?  He didn’t like that, but he didn’t directly respond to it.  He just said; move it, move it, move it.  So here I am holding in my left hand, it’s why my video has my fingers all over it, because I don’t really know how to hold these in my left hand, but with my right hand I’m trying to pack up my stuff, and, for some context, and I’m kind of going long here, but some context right before that, because my phone was dead, I was sitting there letting it charge, but also trying to do a little bit of a Twitter Q&A with people. I’ve been on the ground for a few days here, so I know there are some people who aren’t in Ferguson had some questions I might have answers to because they might’ve missed it.

So I was going back and forth.  I have all of my notebooks spread across this entire desk.  I was digging through my notes trying to be able to answer questions for people.  And so it’s taking me a little while with one hand to pack everything up, unplug computers, unplug things, load them up, try to zip up my bag.  Meanwhile, as he’s saying move, he’s gesturing with his weapon, which for me, I’ll be honest, it means, I might have been a little less attentive to packing and a little more attentive to this large weapon being gestured at me.

And so as I’m trying to pack my stuff up, I get up, I put my backpack on, I start walking towards the door, and I say; sir, am I going to be able to get my car, or do I need to walk out?  I don’t have time for your questions.  I don’t have time – I said; sir, I’m trying to leave, I need to know, can I go to my car?  Or should I just walk out?  And, again, this is not some type of urgent situation; they’re evacuating a McDonald’s two blocks away from the action.

They could’ve taken 20 minutes to do it, it wouldn’t have made any difference, there was no immediate threat to anyone inside that McDonald’s. And so here we are, and so I have my bag over one shoulder, and finally he says; yeah, you can go to your car.  So I’m walking towards that door, at which point another officer approaches me from that direction and says; you can’t go out that door, go out the other one.  I said okay, sir, so I just; can you tell me what door to go out?  I’ll go out it.  But the two of you are giving me opposite instructions.

They confer for a quick moment, they point me in the other direction, so as I turn around, my backpack, which is slung over just one shoulder, because, again, I’ve got my phone in my hand, begins to slide off of my shoulder.  I say; Officer, just give me one second, I just got to readjust this bag.  I didn’t want them to think I was stopping or defying their orders, that I need to readjust this bag, it’s about to fall, everything’s going to spill; you’re going to be upset.  That’s when they said; okay, let’s take him.  They threw me up against the …

TOM JOYNER:  Threw you up against the …

WESLEY LOWERY:  Up against the fountain soda machine, at which point, at which point I knew I was being arrested, I knew that was going to happen.  And so I …

TOM JOYNER:  Now this is Ferguson Police?

WESLEY LOWERY:  This is Ferg—well, it’s a combination, it’s was county police, there was, I believe there was some Ferguson Police, and also some other state agencies, I mean …

TOM JOYNER:  And all of them white?

WESLEY LOWERY:  I believe all of them inside of McDonald’s white.  At one point we saw a black officer outside while they were holding us, but all these officers in the McDonald’s are white.  So they throw me off, my phone is still recording in my left hand, but I dropped everything else in my right hand and I’m saying to them; I’m not going to resist, you can arrest me, I’m not resisting, I’m not resisting.  And they’re saying to me; you are resisting, stop resisting.  And that, frankly, was the most horrified I’ve been, because I’ve just seen too many videos of people who were allegedly resisting arrest/not resisting arrest, these things happening.  And so I’m telling them, I’m not resisting …

TOM JOYNER:  This sounds like a foreign countr …

WESLEY LOWERY:  I’m not resisting, I’m not resisting, I’m not, you can arrest me, my hands are behind my back.  I know that I’m going to be fine as long as nothing happens to me physically.  And so I’m telling them; I’m not resisting, you can arrest me.  So then …

SYBIL WILKES:  Are you still recording at this time?

WESLEY LOWERY:  I recorded through most of it.  So the video we posted, I think there are maybe five or ten seconds after that that I think our video editors cut out.  But for the most part, until they physically threw me it recorded.  And then I, the phone dropped out of my hand as the Coke started splashing on my arm, because I was up against the fountain soda machine.  And so I have some of this recorded, at least the audio of it, it goes black.  But then they, they take me outside, and as I’m walking out I see Ryan’s still in the corner having more of a verbal conversation, I was telling him; tweet that they’re arresting me, tweet that they’re arresting me.

He didn’t have that opportunity; moments later they’re slamming him into something, putting him in cuffs bringing him out. As we’re coming out some of the res—some of the people who had been in the McDonald’s, actually some nice, we had some very nice conversations with some of the, there was a woman that came up to me right bef—a few minutes before; hey, are you with the media?  I see your, and we had a kind of nice back and forth, not an interview, we were just chatting.  You know, civil.  And she’s screaming out to me; why are they arresting you?

And I said; for videotaping them.  And that alerted a few journalists who were in a broader area; I think there was a picture of Ryan taken in his cuffs.  We are standing outside at this point, outside the McDonald’s in the middle of the street, and they have a police tank, you know, one of the big trucks they use to transport people.  And as we’re, and initially they want to put us in this and they open the back door and there are two people in there.

There’s one sitting on one of the benches, there are benches on both sides, and then the other person is this large, large black man, had to be well over 250, probably 300, 350 pounds, who cannot sit on the bench …

TOM JOYNER:  Wait a minute, Wesley, Wesley, Wesley, Wesley …

WESLEY LOWERY:  Yes?

TOM JOYNER:  I’m, I’m, I’m out of time.

WESLEY LOWERY:  Oh, you’re out of time?  (Laugh)

TOM JOYNER:  I’m so out of town.

WESLEY LOWERY:  This man was screaming for paramedics and they refused to give him one.  That’s the end of my story.  That’s the end of that story.  Imagine the Eric Garner video.  That is what happened in front of us, the guy was locked up.

TOM JOYNER:  But you are all right?

WESLEY LOWERY:  I am all right physically, and like I said before a few times, I’ve seen residents of Ferguson be actually injured.  I am not injured.  I’m fine.  We’re going to be fine.  This story shouldn’t be about me, but in a same way this is an anecdote about what’s going on in the ground here.  If I was dealt with this way, another reporter was dealt with this way, imagine residents who don’t have the legal power of The Washington Post behind them, who don’t have people noticing them being arrested and tweeting; hey, is that reporter getting arrested?  So that’s why, listeners who aren’t here and aren’t seeing this, that’s the context I get from this, I don’t want people to feel sorry for me.  I’m in the field right now reporting on it.

TOM JOYNER:  All right.  Well, God bless, Wesley.",NA,NA,NA,4 reads
BlackAmericaWeb,baw4,http://blackamericaweb.com/2014/08/18/nelly-and-t-i-speak-on-mike-brown-case-and-start-scholarship-teens-name/,Nelly And T.I. Speak On Mike Brown Case And Start Scholarship Teen’s Name,Jazmine Pendleton,08/16/14,06/09/16,"According to {TMZ,}<hyperlink=""http://www.tmz.com/2014/08/16/nelly-st-louis-riots-michael-brown-shooting-death-protesters/""> ST. Louis native son rapper/actor Nelly spoke about the Mike Brown case and what he feels needs to happen next.

Said Nelly,

“I understand the frustration, but we have to strategize before we overreact … We don’t get no do-over on sh*t like this, so we have to do it right the first time. Ain’t nothing happen no different that hasn’t been happening … At the end of the day, we should have waited to strategize first and take all the right steps to organize.”

T.I. also weighed in on the matter saying,

“We needed to play chess instead of checkers. We should have waited to see if justice was going to be served first … We shouldn’t have played our strongest hand first.”

Nelly wanted to do something constructive to help so he just started a scholarship fund in Mike Brown’s name with help of T.I., Kevin Hart and NBA star Al Jefferson. The 4 celebrities each pledged $15,000 a year in college tuition to teens chosen by the Brown Family.

18-year-old Mike Brown was to have started his first week of college this week. He was shot dead by Ferguson Police Officer Darren Wilson in the middle of the street just days before his first day of school.",NA,NA,NA,1 reads
BlackAmericaWeb,baw5,http://blackamericaweb.com/playlist/justice-for-mike-brown-powerful-pictures-from-the-ferguson-police-protests-photos/item/424358,Justice For Mike Brown: Powerful Pictures From The Ferguson Police Protests (PHOTOS),Jazmine Pendleton,08/09/14,06/09/16,NA,0,22,NA,NA
BlackAmericaWeb,baw6,http://blackamericaweb.com/2014/08/11/mike-brown-shooting-protest-turns-into-riots-looting-social-media-outrage-updates/,"Mike Brown Shooting Protest Turns Into Riots, Looting, Social Media Outrage [UPDATES]",The Associated Press; Tonya Pendleton,08/11/14,06/09/16,"FERGUSON, Mo. (AP) — A candlelight vigil for an unarmed black man who was fatally shot by a suburban St. Louis police officer was followed by unrest as crowds looted and burned stores, vandalized vehicles and taunted officers who tried to block access to parts of the city.

St. Louis County police spokesman Brian Schellman said 32 people were arrested for various infractions including assault, burglary and theft. Schellman said two officers suffered minor injuries and that there were no reports of civilians hurt.

The tensions erupted after a candlelight vigil Sunday night for 18-year-old Michael Brown, who police said was shot multiple times Saturday in a scuffle with an officer. The investigation into what led to the shooting was ongoing.

Though police have said that Brown was involved in a scuffle with the officer who shot him, other reports say eyewitnesses at the scene and the friend with him said that Brown was confronted by police, words were exchanged and he was shot while his hands were up.

Photos on social media show an uncovered Brown dead in the street for a undetermined time, as police blocked access to the apartment buildings where Brown was shot. Twitter users in Ferguson as well as a local reporter highlighted the unrest, as well as the call for an investigation that finds out exactly what happened.

County Police Chief Jon Belmar said that on Saturday, an officer encountered Brown and another man outside an apartment complex in Ferguson. One of the men pushed the officer into his squad car and they struggled. Belmar said at least one shot was fired from the officer’s gun inside the police car. Ferguson Police Chief Tom Jackson said authorities were still sorting out what happened inside the police car. It was not clear if Brown was the man who fought with the officer.

The struggle spilled out into the street, where Brown was shot multiple times. Belmar said the exact number of shots wasn’t known and that all shell casings at the scene matched the officer’s gun. Police were investigating why the officer shot Brown, who police have confirmed was unarmed.

Jackson said the second person has not been arrested or charged and it wasn’t clear if he was armed.

Eyewitnesses dispute this account, saying that the police version of events is not what happened.

Ferguson Police Chief Tom Jackson told KSDK-TV there’s no video footage of the shooting from the apartment complex, or from any police cruiser dashboard cameras or body-worn cameras that the department recently bought but hasn’t yet put to use.

Jackson said blood samples were taken from Brown and the officer who shot him. Toxicology tests can take weeks to complete.

In the ensuing protest, several businesses were looted, including a check-cashing store, a boutique and a small grocery store. People took items from a sporting goods store and a cellphone retailer, and carted rims away from a tire store. Some climbed atop police cars as the officers with riot shields and batons stood stoic nearby, trying to restrict access to the most seriously affected areas.

Deanel Trout, a 14-year resident of Ferguson, said he was convinced the troublemakers were largely from outside Ferguson and that they had used Brown’s death and the vigil as an opportunity to steal.

“Most came here for a peaceful protest but it takes one bad apple to spoil the bunch. … I can understand the anger and unrest but I can’t understand the violence and looting,” Trout, 53, said.

St. Louis County Executive Charlie Dooley said there were no reports of injuries as of about 11 p.m. But there were scattered reports of assaults into the very early morning. Pat Washington, a spokeswoman for Dooley, said tear gas had been used. Authorities would not immediately confirm media reports of gunfire.

“The small group of people are creating a huge mess,” Mayor James Knowles said. “Contributing to the unrest that is going on is not going to help. … We’re only hurting ourselves, only hurting our community, hurting our neighbors.”

Earlier Sunday, a few hundred protesters gathered outside Ferguson Police headquarters. Some marched into an adjacent police building chanting “Don’t shoot me” while holding their hands in the air. Officers stood at the top of a staircase, but didn’t use force; the crowd eventually left.

In a new development, the shadowy Internet hactivist group {Anonymous}<hyperlink=""https://en.wikipedia.org/wiki/Anonymous_(group)""> says they will be monitoring the behavior of the police dealing with protesters in the incidents and will attack Ferguson’s police department web and technology accounts if they don’t treat protestors to the letter of the law. They have also tweeted their support of the unoffical version of the shooting thus far.

An Internet hashtag #IfWeWereGunnedDown is trending in response to the Brown shooting. It is young people showing pictures of themselves doing various things – smoking, having fun, looking “menacing” next to graduation pictures, military pictures in uniform and more, to make the point that the media may misrepresent them to suit an agenda if they were killed.

Brown’s mother, Lesley McSpadden, said she didn’t understand why police didn’t subdue her high school graduate son with a club or stun gun, and that the officer involved should be fired and prosecuted.

“I would like to see him go to jail with the death penalty,” she said, fighting back tears.

The killing drew criticism from some civil rights leaders, who referred to the 2012 racially charged shooting of 17-year-old Trayvon Martin by a Florida neighborhood watch organizer who was acquitted of murder charges.

“We’re outraged because yet again a young African-American man has been killed by law enforcement,” said John Gaskin, who serves on both the St. Louis County and national boards of directors for the NAACP.

Ferguson’s population of about 21,000 people is almost 70 percent black. The race of the officer has not been disclosed. He has been placed on paid administrative leave.

St. Louis County Police Department is in charge of the investigation, and Dooley said he will request an FBI investigation. The U.S. Justice Department said Attorney General Eric Holder instructed staff to monitor developments.",NA,NA,NA,2 reads
BlackAmericaWeb,baw7,http://blackamericaweb.com/2014/08/14/twitter-drags-nelly-for-ill-timed-tweet-phaedra-parks-meets-mike-browns-family/,"Twitter Drags Nelly For Ill-Timed Tweet, Phaedra Parks Meets Mike Brown’s Family",Tonya Pendleton,08/14/14,06/09/16,"If you had to choose between St. Louis-born rapper Nelly and Real Housewives of Atlanta star Phaedra Parks to comment publicly on the Mike Brown murder in Ferguson, Missouri, surely you’d figured Nelly would be the one.

You’d be entirely wrong. Phaedra, apparently on her own accorded headed down to Ferguson with no camera crew in two to provide some comfort to the McSpadden/Brown families in the wake of the loss of their firstborn son.

She was photographed with Delsurea Harris, Michael Brown’s grandmother at a news conference earlier in the week. Parks later tweeted:

During my St. Louis visit, I had the pleasure of meeting #MichaelBrown’s mother Lesley McSpadden. Although, we come from different places & backgrounds, we are very much alike-We are both black women & mothers who deeply love our sons. Unfortunately, she is planning her son’s funeral while I struggle to make sure my sons never know her son’s fate. #fixitjesus #JusticeforMikeBrown #Ferguson #prayforpeace #prayforstlouis #StopPoliceBrutality

Click over to see what made Nelly’s fans so mad.

Nelly however, had been silent about the case (along with most of hip-hop who responded more to the Robin Williams death than Mike Brown’s) until he made the mistake of posting about his new Cheerios commercial as a #TBT  in the midst of the unrest in Ferguson, Missouri. (WARNING: EXPLICIT LANGUAGE)

Since Nelly is repping the Lou when he’s rapping, his fans felt the owed the Brown family and the city of Ferguson a little bit more support. Several of his followers pointed out that he talked to Lesley McSpaddden, Brown’s mother and to his credit he did not do so for the publicity.

But should he have said more? Or do we expect too much from celebs when it comes to politics?",NA,NA,NA,38 reads
BlackAmericaWeb,baw8,http://blackamericaweb.com/2014/08/19/in-solidarity-sybrina-fulton-pens-open-letter-to-michael-browns-family/,In Solidarity: Sybrina Fulton Pens Open Letter To Michael Brown’s Family,NewsOne Staff,08/19/14,06/09/16,"Sybrina Fulton, mother of slain teen Trayvon Martin, who at 17-years-old was profiled, stalked and shot to death by George Zimmerman in Stanford, Fla. on February 26, 2012, has penned an open letter to Lesley McSpadden, mother of 18-year-old Michael Brown, who was executed in broad daylight by Ferguson, Missouri police officer Darren Wilson on August 9.

Both teens were unarmed.

In the heartbreaking and powerful letter, published on {Time.com,}<hyperlink=""http://time.com/3136685/travyon-sybrina-fulton-ferguson/""> Fulton urges McSpadden not to allow the character assassination of her son perpetuated by some media outlets and law enforcement, to define who he was:

Facts, myths, and flat out lies are already out there in Michael’s case. Theories, regardless of how ridiculous, are being pondered by the pundits. My advice is to surround yourselves with proven and trusted support. Through it all, I never let go of my faith, my family, or my friends. Long after the overwhelming media attention is gone, you will need those three entities to find your ‘new normal.’ Honor your son and his life, not the circumstances of his alleged transgressions. I have always said that Trayvon was not perfect. But no one will ever convince me that my son deserved to be stalked and murdered. No one can convince you that Michael deserved to be executed.

A recently released autopsy reports shows that Officer Wilson shot Michael Brown at least 6 times, at least twice in the head, before leaving him uncovered on the pavement.

The Ferguson police department refused to release his name for 5 days, even though it’s legally a matter of public record. And once Wilson’s identity was revealed, it was also discovered that he had been allowed to leave town on paid administrative leave.

Read Ms. Fulton’s entire letter at {Time.com.}<hyperlink=""http://time.com/3136685/travyon-sybrina-fulton-ferguson/"">",NA,NA,NA,1 reads
BlackAmericaWeb,baw9,http://blackamericaweb.com/2014/08/13/who-is-anonymous-and-why-do-they-care-about-mike-brown/,Who Is Anonymous – And Why Do They Care About Mike Brown?,Eurweb.com,08/13/14,06/09/16,"Who is behind the shadowy Internet hacker collective Anonymous? We have no idea.

All we know if that they are a loose collective of cyber hackers who sometimes step into volatile situations where hacking might make a difference.  They were involved in the Steubenville rape case, as much of the evidence was disseminated via social media. They started in 2003, and have also been involved in denial of service attacks on government and corporate websites in the hopes of sabotaging or dismantling governments, agencies or corporations that they feel are harmful or oppressive.

A few years ago, several hackers alleged to be their main crew {were arrested and charged with various computer crimes,}<hyperlink=""http://www.huffingtonpost.com/2013/08/21/anonymous-arrests-fbi_n_3780980.html""> but apparently some new people have taken their place. Calling their campaign #OpFerguson, the “hactivists” are working toward the cause of justice in Ferguson, Missouri in the wake of 18-year-old Mike Brown’s shooting by police this past weekend. Protesters have descended on the small town, and several nights of looting and unrest have followed. Brown was unarmed and an eyewitness says he was shot several times even after his hands were up.

{Gawker is reporting}<hyperlink=""http://gawker.com/anonymous-vows-to-id-michael-browns-killer-1621016789?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+gawker%2Ffull+%28Gawker%29""> Anonymous says they plan to publicly identify the Ferguson, Mo., police officer who shot and killed  Brown over the weekend. They have already released audio that purports to be of the police radio on the night of the day of the shooting.

Ferguson Police Chief Jon Belmar has refused to divulge over fears for the officer’s safety. Belmar has been specifically targed by the group who is alleging some shady goings-on in the department as well as Belmar’s personal life.

{Mother Jones’ Josh Harkinson writes:}<hyperlink=""http://www.motherjones.com/politics/2014/08/anonymous-ferguson-police-killing-unarmed-michael-brown"">

I traded emails last night with one of the half-dozen core Anonymous members working on Operation Ferguson, as the group’s effort to pressure and shame the local police department is known. They were still working to verify the identity of the shooter. “I can only tell you that our source is very close personally to the officer who killed Mike Brown, and that this person is terrified to be our source,” said the anon, whom I will call Fawkes. He added that the source “reached out to us, we did not seek out this person.”

Harkinson’s source said that Anon members were firmly united behind the group’s recent efforts in Ferguson:

Per Harkinson:

It has been a busy few days for Operation Ferguson. The hackers shut down the city’s website for a few hours on Sunday night and Tuesday morning, posted the home address and number of police chief John Belmar, and dropped an email bomb that crammed city and police inboxes with junk messages. The goal was “to get journalists like you to do interviews with us, and incidentally maybe talk about the issue at hand in the process,” Fawkes told me. “Looks like it worked.” Early this morning, the allied Twitter account @TheAnonMessage announced that it had access to emergency response recordings related to Brown’s death.",NA,NA,NA,2 reads
BlackAmericaWeb,baw10,http://blackamericaweb.com/2014/08/15/say-what-draya-michele-calls-browns-death-an-accidental-killing/,Say What?! Draya Michele Calls Michael Brown’s Death An ‘Accidental Killing’,Eurweb.com,08/15/14,06/09/16,"The death of Mike Brown and the outrage and turmoil in Ferguson, MO has triggered a slew of reaction from everyone on social media.

And reality star Draya Michele is no different as she took to Instagram to air out her feelings regarding the tragedy.

Maybe she shouldn’t have bothered.

The following are Draya’s comments on the Mike Brown situation:

“To keep seeing things escalate makes me upset…I don’t know what I can do with my voice other than make other people aware… I wish #MichaelBrown was alive to tell his side of the story, somehow we never get to hear the other side when things like this happen. I don’t think it’s a race thing, I think the police training is outdated, I don’t know maybe the sensitivity has risen due to 9/11 but I really think it’s time for new procedures based on all these accidental killings. #PrayforFerguson.”

Needless to say, Draya got a lot of backlash from what she posted. Which is why she went on Twitter to smooth things over

“And yeah I was just saying, we can’t fix the race issues… But we can train the people to protect and serve us better procedures,” the reality TV star tweeted. “Poor choice of words saying accidental :: I meant homicides that just shouldn’t have happened . I apologize. Sincerely,” Draya said while addressing the haters and the dust up over her Instagram post. “You use voices for whatever you want on your own page… Talking @ me, isn’t going to do much.

“I don’t know how that came off ignorant … But ok… Screaming out racism isn’t going to change what’s inside these people’s head,” she continued.
OK, there you have it straight from Draya Michelle. What say ye? Sound off below.

{Famous Celebrity Feuds}<hyperlink=""http://blackamericaweb.com/playlist/fightin-words-famous-celebrity-feuds/item/98029/"">

{Celebrities React To the Zimmerman Verdict Via Twitter}<hyperlink=""http://blackamericaweb.com/playlist/celebs-more-react-to-the-zimmerman-verdict-via-twitter/item/146103/"">",NA,NA,NA,13 reads
