Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
Bossip,boss1,https://bossip.com/1017468/what-were-you-thinking-keke-palmer-wears-high-heels-and-a-skirt-to-ferguson-march-and-gets-blasted/,What Were You Thinking??? KeKe Palmer Wears High Heels And A Skirt In Ferguson And Gets Blasted!,Bossip Staff,08/18/14,02/07/17,"{Here we go again}<hyperlink=”https://bossip.com/1017179/the-female-tyrese-keke-palmer-makes-dumb-azz-comments-on-the-mike-brown-shooting-before-traveling-to-ferguson-to-protest/”>…

KeKe Palmer Wears High Heels To Ferguson

After traveling to Ferguson Missouri to protest the unarmed shooting death of {Mike Brown}<hyperlink=”https://bossip.com/1017388/will-there-be-justice-autopsy-shows-unarmed-black-teen-mike-brown-was-shot-at-least-6-times-by-ferguson-cop/”>, {KeKe Palmer}<hyperlink=”https://bossip.com/1010695/black-excellence-keke-palmer-cast-as-broadways-first-black-cinderella/”> got BLASTED on Twitter for her seemingly ridiculous decision to wear high-heels to march with the people.

As previously reported KeKe is trying to show her support for peaceful protests and hit the streets this weekend with her mother who was actually {shot with pellets by police}<hyperlink=”https://bossip.com/1017179/the-female-tyrese-keke-palmer-makes-dumb-azz-comments-on-the-mike-brown-shooting-before-traveling-to-ferguson-to-protest/”>.

On Sunday however when photos were released of KeKe, people noticed that instead of dressing down to march for justice, KeKe looked like she was ready for a night at the club complete with a short skirt and high heels.

But wait, not so fast…KeKe apparently wasn’t marching in her heels, she was reportedly leaving church and stopped to give a fan an autograph.

Twitter (OF COURSE) reacted to the photos not knowing that she wasn’t marching for the people in her summer sandals and slammed the talk show host for getting her photo opp on.

SMH…

What do YOU think about KeKe’s march attire??? Are people being too harsh on her considering that other celebrities aren’t even there????",138,NA,NA,No social media info on Bossip.
Bossip,boss2,https://bossip.com/1016995/do-you-agree-nelly-t-i-say-ferguson-community-reacted-to-soon-we-have-to-strategize-before-we-overreact/,Do You Agree? Nelly & T.I. Say Ferguson Community Reacted To Soon – “We Have To Strategize Before We Overreact”,Bossip Staff,08/16/14,02/07/17,"Nelly And T.I. Speak Out On Ferguson Reaction To Mike Brown Murder 

Veteran rapper and St. Louis native Nelly is speaking out with his two cents on how the city of Ferguson has reacted to the unjust killing of Mike Brown. Nelly, along with long-time friend and fellow rapper T.I. feel that the residents may have reacted too soon. 

via {TMZ}<hyperlink=”http://www.tmz.com/2014/08/16/nelly-st-louis-riots-michael-brown-shooting-death-protesters/”> 

Nelly has a message for protesters in his hometown … cut the crap! 

The King of St. Louis finally talked publicly about the shooting death of Michael Brown … saying the people of Ferguson jumped the gun by protesting too early, contributing to the violence. 

Nelly tells TMZ … “I understand the frustration, but we have to strategize before we overreact … We don’t get no do-over on sh*t like this, so we have to do it right the first time.” 

The rapper adds, “Ain’t nothing happen no different that hasn’t been happening … At the end of the day, we should have waited to strategize first and take all the right steps to organize.” 

T.I. had similar thoughts, telling us … “We needed to play chess instead of checkers. We should have waited to see if justice was going to be served first … We shouldn’t have played our strongest hand first.” 

Nelly tells us he wants to do something constructive, so he’s starting a scholarship fund in Michael Brown’s name. Nelly, T.I., Kevin Hart and NBA star Al Jefferson are the first 4 celebs pledging $15,000 a year in college tuition to teens chosen by the Brown family. 

Do you agree with any of what Nelly and T.I. had to say?",511,NA,NA,NA
Bossip,boss3,https://bossip.com/1018462/troubled-words-from-the-trouble-man-t-i-releases-instagram-rant-about-unrest-in-ferguson-look-at-us-were-the-monster/,Troubled Words From The Trouble Man: T.I. Releases Instagram Rant About Unrest In Ferguson “Look At Us…We’re The Monster”,Bossip Staff,08/19/14,02/08/17,"“We’re {the monster}<hyperlink=”https://bossip.com/999124/my-mother-could-be-a-monster-nina-simones-daughter-tells-the-truth-about-her-mother/”> now that refuses to be dismissed, overlooked & ignored…” 

T.I. Rants About Ferguson On Instagram 

After at first saying protestors were {too quick to react}<hyperlink=”https://bossip.com/1016995/do-you-agree-nelly-t-i-say-ferguson-community-reacted-to-soon-we-have-to-strategize-before-we-overreact/”> to the unarmed shooting death of Mike Brown, T.I. has released a lengthy rant about black people becoming a “monster” based on years of oppression and racism in America. 

Tip used the now iconic image of Twitter user @EyeFloodPanties (SMH) throwing tear gas back at police while wearing an American flag shirt to emphasize his point. 

Wow! Y’all wanted celebrities to speak out and Tip’s given a full dissertation. What do YOU think about his rant about the unrest in Ferguson???",191,NA,NA,NA
Bossip,boss4,https://bossip.com/1017573/justiceformikebrown-more-powerful-images-from-the-ferguson-protests/,#JusticeForMikeBrown: More Powerful Images From The #Ferguson Protests,Bossip Staff,08/18/14,02/08/17,"More Gripping Photos From Inside Ferguson, Missouri

It’s been 10 days since protests erupted in Ferguson after the {heartbreaking shooting death of unarmed teen Michael Brown}<hyperlink=”https://bossip.com/1017388/will-there-be-justice-autopsy-shows-unarmed-black-teen-mike-brown-was-shot-at-least-6-times-by-ferguson-cop/”>. At this point, there’s no escaping this pivotal story that seems destined to inspire change in our broken system. 

Hit the flip for more powerful images from the {Ferguson protests}<hyperlink=”https://bossip.com/1015250/justiceformikebrown-a-gallery-of-powerful-images-from-the-ferguson-protests/”>.",23,NA,NA,NA
Bossip,boss5,https://bossip.com/1015250/justiceformikebrown-a-gallery-of-powerful-images-from-the-ferguson-protests/  ,#JusticeForMikeBrown: A Gallery Of Powerful Images From The #Ferguson Protests,Bossip Staff,08/13/14,02/08/17,"Gripping Photos From Inside Ferguson, Missouri

All eyes are on the St. Louis suburb of {Ferguson}<hyperlink=”https://bossip.com/1013630/hackers-threaten-ferguson-police-department-and-rioting-ensues-after-mike-brown-killing-video/”> where another unarmed Black teen named Michael Brown was recently gunned down by police in the streets. For the past few days, we’ve watched the local police force attempt to bully Ferguson residents who have shown incredible strength and courage with peaceful protests in honor of the slain teenager.

Hit the flip for powerful images from the {Ferguson protests}<hyperlink=”https://bossip.com/1014351/its-real-in-ferguson-a-gallery-of-images-and-video-of-police-breaking-up-peaceful-protest-for-mikebrown-photo-video-43081/”>.",23,NA,NA,NA
Bossip,boss6,https://bossip.com/1018138/bish-whet-watch-black-cnn-news-anchor-errol-barnett-side-eye-co-anchor-for-suggesting-police-use-water-cannons-on-ferguson-protesters-video/,"Bish, WHET? Watch Black CNN News Anchor Errol Barnett Side-Eye Fellow Anchor For Suggesting Police Use Water Cannons On Ferguson Protesters [Video]",Bossip Staff,08/19/14,02/08/17,"A side-eye speaks a thousand words…

CNN Anchor Suggests Police Use Water Cannons On Ferguson Protesters

As yet another day has gone by without an arrest being made {in connection with the senseless murder of unarmed St. Louis teenager Mike Brown}<hyperlink=”https://bossip.com/1018024/trayvon-martins-mother-pens-open-letter-to-mike-browns-mother-for-time-magazine-if-they-refuse-to-hear-us-we-will-make-them-feel-us/”>, who was shot 6 times by a police officer following a confrontation earlier this month, protesters in Ferguson, MO are continuing to rally for justice.

In the {midst of reporting on the scene in Ferguson}<hyperlink=”https://bossip.com/1018054/what-the-hell-kkk-headed-to-ferguson-to-support-cop-who-killed-mike-brown-we-cant-have-blacks-robbing-and-murdering-innocent-whites/”>, earlier this morning, one CNN news anchor is getting much deserved backlash after suggesting that police use water cannons {as a “less harmful” way to deal with the protesters}<hyperlink=”https://bossip.com/1018080/justiceformikebrown-2-shot-31-arrested-in-ferguson/”>, ….and her co-anchor Errol Barnett seems to share the sentiment of the masses.

Uh oh! We’re having technical difficulties.

Well done, sir. Well done.",228,NA,NA,NA
Bossip,boss7,https://bossip.com/1014351/its-real-in-ferguson-a-gallery-of-images-and-video-of-police-breaking-up-peaceful-protest-for-mikebrown-photo-video-43081/,It’s Real In Ferguson: A Gallery Of Images And Video Of Police Breaking Up Peaceful Protest For #MikeBrown [Photo + Video],Bossip Staff,08/12/14,02/08/17,"{Take it to the streets}<hyperlink=” https://bossip.com/1013630/hackers-threaten-ferguson-police-department-and-rioting-ensues-after-mike-brown-killing-video/”>

Last night, Twitter was emotionally charged over a variety of issues. While some mourned Robin Williams, others opined on the situation in Gaza and Iraq, but the most compelling content came via the angry black men and women in Ferguson, MO where Mike Brown was senselessly gunned down by police. After ugly incidents of rioting and looting that occurred the day previous in the St. Louis suburb, the emotions of the community were still brimming and they again took the streets to voice their displeasure. This time in a more peaceful manner.

Unfortunately, the effort to maintain peace and obey the law was no consolation to the Ferguson Police, they came to the party heavily armed with machine guns, tear gas, and tanks in an hyperbolic effort to establish control and in some cases inflict pain on those “animals” (see, “black people”) who were attempting to exercise their first amendment rights.

While most mainstream media spent the night talking about depression and President Obama, Twitter, Vine, and Instagram acted as the hood news network and provided us with an excellent perspective on the tension on the streets of Ferguson.

This brotha took a rubber bullet to the face as the Ferguson Police tried to put the kibosh on the peaceful protest. Sadly, he wasn’t the only one injured and/or threatened by a police department that appeared to be doing a lot more “serving” than “protecting”.

It’s only right we take a moment to recognize Antonio French, Alderman of the 21st Ward in St. Louis, who risked arrest, bodily harm, and worse in order to document the night’s activities.

Flip the page over to see some of the first hand videos and photos from the historic night in Missouri.",62,NA,NA,NA
Bossip,boss8,https://bossip.com/1017388/will-there-be-justice-autopsy-shows-unarmed-black-teen-mike-brown-was-shot-at-least-6-times-by-ferguson-cop/,Will There Be Justice?? Autopsy Shows Unarmed Black Teen Mike Brown Was Shot At Least 6 Times By Ferguson Cop,Bossip Staff,08/18/14,02/10/17,"Meanwhile, {the officer who killed Mike Brown}<hyperlink=”https://bossip.com/1017057/shook-ones-officer-who-killed-mike-brown-left-town-days-before-name-was-revealed/”> is on paid vacation…

Mike Brown Shot At Least Six Times By Ferguson Police

{Michael Brown, the unarmed black teenager who was killed by a police officer}<hyperlink=”https://bossip.com/1013630/hackers-threaten-ferguson-police-department-and-rioting-ensues-after-mike-brown-killing-video/”>, sparking protests around the nation, was shot at least six times, including twice in the head, a preliminary private autopsy performed on Sunday found.

Via {NY Times}<hyperlink=”https://mobile.nytimes.com/2014/08/18/us/michael-brown-autopsy-shows-he-was-shot-at-least-6-times.html?smid=tw-bna&_r=0&referrer=”> reports:

One of the bullets entered the top of Mr. Brown’s skull, suggesting his head was bent forward when it struck him and caused a fatal injury, according to Dr. Michael M. Baden, the former chief medical examiner for the City of New York, who flew to Missouri on Sunday at the family’s request to conduct the separate autopsy. It was likely the last of bullets to hit him, he said.

Mr. Brown, 18, was also shot four times in the right arm, he said, adding that all the bullets were fired into his front.

The bullets did not appear to have been shot from very close range because no gunpowder was present on his body. However, that determination could change if it turns out that there is gunshot residue on Mr. Brown’s clothing, to which Dr. Baden did not have access.

Attorney General Eric H. Holder Jr. said Sunday that the Justice Department would conduct its own autopsy, in addition to the one performed by local officials and this private one because, a department spokesman said, of “the extraordinary circumstances involved in this case and at the request of the Brown family.”

The preliminary autopsy results are the first time that some of the critical information resulting in Mr. Brown’s death has been made public. Thousands of protesters demanding information and justice for what was widely viewed as a reckless shooting took to the streets here in rallies that ranged from peaceful to violent.

Mr. Brown died last week in a confrontation with a police officer here in this suburb of St. Louis. The police department has come under harsh criticism for refusing to clarify the circumstances of the shooting and for responding to protests with military-style operational gear.

“People have been asking: How many times was he shot? This information could have been released on Day 1,” Dr. Baden said in an interview after performing the autopsy. “They don’t do that, even as feelings built up among the citizenry that there was a cover-up. We are hoping to alleviate that.”

Dr. Baden said that while Mr. Brown was shot at least six times, only three bullets were recovered from his body. But he has not yet seen the X-rays showing where the bullets were found, which would clarify the autopsy results. Nor has he had access to witness and police statements.

Dr. Baden provided a diagram of the entry wounds, and noted that the six shots produced numerous wounds. Some of the bullets entered and exited several times, including one that left at least five different wounds.

“This one here looks like his head was bent downward,” he said, indicating the wound at the very top of Mr. Brown’s head. “It can be because he’s giving up, or because he’s charging forward at the officer.”

He stressed that his information does not assign blame or justify the shooting.

“We need more information; for example, the police should be examining the automobile to see if there is gunshot residue in the police car,” he said.

Dr. Baden, 80, is a well-known New York-based medical examiner, who is one of only about 400 board-certified forensic pathologists in the nation. He reviewed the autopsies of both President John F. Kennedy and the Rev. Dr. Martin Luther King Jr., and has performed more than 20,000 autopsies himself.

Dr. Baden said that because of the tremendous attention to the case, he waived his $10,000 fee.

Prof. Shawn L. Parcells, a pathologist assistant based in Kansas, assisted Dr. Baden.

“You do this for the families,” Mr. Parcells said.

Mike Brown has been dead for over a week, and we know exactly who slaughtered him yet there have no resolutions or indictments brought forth. Will there ever been justice for Michael??",399,NA,NA,NA
Bossip,boss9,https://bossip.com/1017353/famous-people-on-ferguson/,You’re Not Helping: 14 Famous People Who Are Trolling Us About Ferguson,Bossip Staff,08/18/14,02/10/17,"We all know better than to look for {celebrities to give us words of wisdom}<hyperlink=”https://bossip.com/1016248/uhhh-wut-15-reasons-why-celebs-probably-shouldnt-speak-on-social-issues/”> in a time of crisis.

Celebrities Talking Out Of Turn On Ferguson

This Ferguson, Missouri ordeal is no exception. But for some reason the famous folks always want to speak out anyway.

Here are 14 famous names who could have kept it to themselves.",39,NA,NA,NA
Bossip,boss10,https://bossip.com/1015889/where-is-president-barack-obama-potus-takes-major-heat-for-radio-silence-during-ferguson-police-riots-43081/,Where Is President Barack Obama?! POTUS Takes Major Heat For Radio Silence During #Ferguson Police Riots,Bossip Staff,08/14/14,02/10/17,"We need a lion and Barry-O actin’ like a lamb…

Obama Slammed For Not Speaking About Ferguson Riots

As the black community watched the armor-clad, tear gas tossin’, gun totin’ police department in the town of Ferguson, Missouri time-warp back to the 1950’s last night, many voices were heard via television and social media. One very conspicuously absent voice was that of our 44th President, Barack Hussein Obama.

We’re still not sure what he was doing that was more important, but apparently he’ll be made aware of the state of his country today.

{Via ABC}<hyperlink=”http://abcnews.go.com/Politics/Election”>

The White House says President Barack Obama is being briefed on the situation in a St. Louis suburb where police used tear gas and smoke bombs to repel protesters.

The protests in Ferguson, Missouri, have been sparked by the death of an unarmed teenager who was shot by a police officer. The officer is white and 18-year-old Michael Brown was black.

The White House says Obama was briefed late Wednesday night by Attorney General Eric Holder and senior adviser Valerie Jarrett. Obama is vacationing on the Massachusetts island of Martha’s Vineyard, as are Holder and Jarrett.

The White House says Obama has another briefing scheduled for Thursday morning.

Earlier in the week, the president issued a statement saying that Brown’s death is stirring “strong passions,” and he appealed for reflection.

Yeah, well, the only thing “reflecting” was the flash from the tear gas grenades that police hurled at the enraged-yet-peaceful people of Ferguson.

Criticism of the President ranged from vitriolic to despondent, but the underlying sentiment was “where IS Barack Obama when we need him?!?”

Flip the page to read the pointed Presidential potshots.",200,NA,NA,NA
