Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
BusinessInsider,bus1,http://www.businessinsider.com/r-missouri-teen-shot-dead-by-police-had-assaulted-officer-police-2014-10,Missouri Teen Shot Dead By Police Had Assaulted Officer: Police,Jon Herskovitz,8/10/2014,10/28/2015,"(Reuters) - The shooting death of a black teenager that sparked anger in a St. Louis community was started by a fight between the victim and an officer in a squad car that quickly escalated, police said on Sunday.

Police said Michael Brown, 18, physically assaulted the officer from the Ferguson police, who then fired multiple shots at Brown after he left the car on Saturday. The officer, who was not identified, is a six-year veteran and has been put on administrative leave, St. Louis County Police Chief Jon Belmar told a news conference.

""It is our understanding at this point in the investigation, that within the police car, there was a struggle over the officer's weapon,"" Belmar told reporters as voices from demonstrators shouting outside the building could be heard.

Belmar said it appeared one shot was fired during the struggle in the police car.

A crowd of some 200 people gathered at the site of the shooting on Saturday, some of them shouting ""kill the police"" and yelling profanities, a county police spokesman said.

""Emotions were running very high,"" Belmar said.

St. Louis County police said Brown was unarmed and they would turn over investigation findings of what happened in Ferguson, northwest of St. Louis, to local prosecutors.

Brown's mother told local TV broadcaster KSDK that her son was a good child getting ready to go to college and was visiting his grandmother when the incident took place.

""He didn't bother nobody,"" she said. ""They told me how many times my son was shot - eight,"" she added, and then directed her comments at police.

""You not God. You not decide you are going to take somebody from her,"" she said in an interview with KSDK.

The St Louis County branch of the civil rights group NAACP has said it wants the U.S. Federal Bureau of Investigation to look into the case, with many in the community telling media that race played a factor in the shooting.

The race of the officer was not released.",0,NA,NA,Reuters
BusinessInsider,bus2,http://www.businessinsider.com/ferguson-mo-michael-brown-shooting-2014-8,"Chaos, Looting In Ferguson, Missouri, After Teen Is Killed By Police",Dina Spector,8/11/2014,10/28/2015,"The fatal shooting Saturday of an unarmed teenager in Ferguson, Missouri, sparked outrage Sunday night as stores near the scene of the incident, including a liquor store and gas station, were looted while police in riot gear tried to control the crowd, CNN reported. 

""Witnesses reported seeing people vandalize police cars and kick in windows,"" the Associated Press said. ""Television footage showed windows busted out of a TV station van.""

FOX 2 News in St. Louis has live footage from the ground. 

Antonio French, an alderman of the 21st Ward in St. Louis, has been tweeting video and photos from the demonstrations. 

The protests come after thousands of people gathered Sunday night at a candlelight vigil for 18-year-old Michael Brown, who police say assaulted an officer before he was shot to death, according to CNN. 

Witnesses dispute that account — they say Brown was unarmed and had his hands up when a police officer fired. 

""I saw him turn around with his arms up in the air and they shot him in his face and chest and he went down unarmed,"" bystander Piaget Crenshaw told ABC News. 

Meanwhile, images and video streaming in from social media paint a picture of complete chaos on the streets of Ferguson. 

Robert Cohen, a photojournalist from the St. Louis Dispatch, captured this image of a QuickTrip gas station burning. 

Brown, who was set to begin college on Monday, was walking to his grandmother's house when the shooting happened. Brown's family and other residents are now calling for a full investigation into the incident. ",65,NA,NA,NA
BusinessInsider,bus3,http://www.businessinsider.com/10-most-important-things-in-the-world-right-now-august-11-2014-2014-8,The 10 Most Important Things In The World Right Now,Dina Spector,8/11/2014,10/28/2015,"Good morning! Here's what people will be chatting about on Monday.

1. An {Iraqi Shi'ite coalition is close to nominating a prime minister}<hyperlink=”http://www.businessinsider.com/iraqi-prime-minister-maliki-defiant-as-allies-call-for-his-ouster-2014-8”>, Iraq's deputy speaker Haider al-Abadi said in a tweet on Monday, meaning that prime minister Nuri al-Maliki may have to give up his bid for a third term. This comes after Maliki gave a surprise television speech Sunday night filing a complaint against president Fuad Masum for violating the constitution. 

2. The second three-day cease-fire between Israel and Hamas has taken effect in Gaza. If the truce holds, ""Israel will send negotiators to Cairo on Monday for talks on a longer-term deal,"" {the BBC said}<hyperlink=”http://www.bbc.com/news/world-middle-east-28736053”>. 

3. The streets of Ferguson, Missouri, descended into chaos Sunday night following the {fatal shooting of a teenager by a police officer}<hyperlink=”http://www.businessinsider.com/ferguson-mo-michael-brown-shooting-2014-8”>. Protesters smashed windows and looted stores after a candlelight vigil for 18-year-old Michael Brown, who witnesses say was unarmed when the shooting occurred. 

4. Tens of thousands of members from the Yazidi community who escaped to the Sinjar mountains in Northwestern Iraq made their {way to a Syrian refuge camp Sunday night}<hyperlink=”http://www.nytimes.com/2014/08/11/world/middleeast/scrambling-down-an-iraqi-mountain-yazidi-families-search-for-missing.html ”>. Thousands of Yazidis remain trapped in the mountains, where the minority group has been seeking safety from ISIS militants for several weeks. 

4. Oil-and-gas pipeline company Kinder Morgan plans to spend $44 billion to buy out all its subsidiaries in the second-largest deal in the energy sector, {The Financial Times said}<hyperlink=”http://www.ft.com/intl/cms/s/be2da9a8-20d4-11e4-b8f4-00144feabdc0,Authorised=false.html?_i_location=http%3A%2F%2Fwww.ft.com%2Fintl%2Fcms%2Fs%2F0%2Fbe2da9a8-20d4-11e4-b8f4-00144feabdc0.html&_i_referer=http%3A%2F%2Fwww.businessinsider.com%2F99bca88181affdc5be7821b0108b0b9b&classification=conditional_standard&iab=barrier-app#axzz3A3vqNRBc”>. Kinder currently manages 80,000 miles of pipeline in North America. 

5. Investigators have not ruled out criminal charges in the fatal collision that occurred Saturday night in which {NASCAR champion Tony Stewart struck and killed}<hyperlink:”http://www.businessinsider.com/video-shows-nascar-driver-tony-stewarts-car-striking-and-killing-young-driver-on-dirt-track-2014-8”> 20-year-old driver Kevin Ward Jr. A former state and federal prosecutor {told the Associated Press}<hyperlink=”http://hosted.ap.org/dynamic/stories/U/US_TONY_STEWART_CRASH?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2014-08-10-23-28-38”>: ""I think even with the video, it's going to be tough to prove that this was more than just an accident and that it was even culpable negligence, which he should've known or should've believed that by getting close to this guy, that it was going to cause the accident,"" he said.

6. Venture capital firm Andreessen Horowitz has announced a $50 million investment in BuzzFeed, placing the value of the company at $850 million, {The New York Times reported}<hyperlink=”http://www.nytimes.com/2014/08/11/technology/a-move-to-go-beyond-lists-for-content-at-buzzfeed.html”>. The money will be used to make ""several major changes, including introducing new content sections, creating an in-house incubator for new technology and potential acquisitions, and putting far more resources toward BuzzFeed Motion Pictures,"" The Times said. 

7. Prime Minister Tayyip Erdogan won Turkey's first presidential election by popular vote, holding onto to his 12-year reign in office. The outcome ""cements [Erdogan's] position as Turkey's most powerful ruler since the Republic's founder, Mustafa Kemal Atatürk, was president in the 1930s,"" {The Wall Street Journal said}<hyperlink=”http://www.wsj.com/articles/turks-cast-votes-in-presidential-election-with-erdogan-primed-for-win-1407658125?mod=WSJ_hpp_MIDDLENexttoWhatsNewsThird”>. 

8. Rory McIlroy {won the PGA championship}<hyperlink=”http://edition.cnn.com/2014/08/10/sport/golf/golf-pga-mcilroy-mickelson/”> in Valhalla on Sunday. The 25-year-old from Northern Ireland has secured his status as world number one with his second straight major title. 

9. Sky watchers around the world were {treated to a supermoon Sunday night}<hyperlink=”http://www.huffingtonpost.co.uk/2014/08/10/the-supermoon-lights-up-the-world_n_5666551.html”>, when the full moon appears bigger and brighter than normal because it has reached the point in its orbit closest to earth. If you missed this supermoon, don't worry, {there's another one Sept. 9}<hyperlink=”http://science.nasa.gov/science-news/science-at-nasa/2014/10jul_supermoons/”>. 

10. MPs are calling for mandatory health warnings on bottles of wine, beer, and spirits to combat alcohol abuse in Britain and raise awareness about the dangers of excessive drinking, {The Guardian reported}<hyperlink=”http://www.theguardian.com/society/2014/aug/11/alcohol-abuse-health-warnings-labels”>. An advocacy group for alcohol misuse says the labels should display written warnings as well as caloric information. 

And finally...

Actors Shailene Woodley and Ansel Elgort of ""The Fault in Our Stars"" were the big winners of {Sunday night's Teen Choice Awards}<hyperlink=”http://uk.eonline.com/news/567932/2014-teen-choice-awards-the-fault-in-our-stars-win-big-maid-in-manhattan-reunion-more-highlights”>. Both took home an award for Choice Move Drama and shared an award for Choice Movie Chemistry. ",1,NA,NA,2 of the links are dead
BusinessInsider,bus4,http://www.businessinsider.com/ferguson-missouri-has-turned-into-a-war-zone-2014-8,"Ferguson, Missouri, Has Turned Into A 'War Zone' As Riots Over Police Shooting Take Hold Of The Town",Pamela Engel; Michael B Kelley,8/11/2014,10/28/2015,"A St. Louis suburb has turned into a ""war zone"" amid riots over the police shooting of an unarmed black teenager.

Police are reportedly {firing tear gas and rubber bullets}<hyperlink=”http://www.usatoday.com/story/news/nation/2014/08/11/st-louis-teen-police-shooting/13884695/”> at protesters who are gathered outside, according to local media reports.

Riots {first broke out Sunday night}<hyperlink=”http://www.businessinsider.com/ferguson-mo-michael-brown-shooting-2014-8”> after thousands of people turned up for a candlelight vigil for 18-year-old Michael Brown. Police say that Brown assaulted an officer before he was shot to death, but witnesses say he was unarmed and had his hands up when police fired.

Crowds broke car windows, set a building on fire, and looted stores during the Sunday night protests, {according to}<hyperlink=”http://www.reuters.com/article/2014/08/15/us-usa-missouri-shooting-idUSKBN0GA0Q420140815”> Reuters. 

The city of about 20,000 people has since devolved into chaos.

Police are being accused of racism, and the FBI has opened a probe into the shooting. 

Here are some dispatches from reporters on the scene:

[tweetbegin 498997606606196737 tweetend]
[tweetbegin 498998969100681217 tweetend]
[tweetbegin 498999766333022208 tweetend]
[tweetbegin 499008195319582720 tweetend]
[tweetbegin 499018559075651584 tweetend]
[tweetbegin 499021308936859648 tweetend]
[tweetbegin 499020009692483584 tweetend]
[tweetbegin 499013750712569857 tweetend]
[tweetbegin 499013325939036160 tweetend]
[tweetbegin 499021729898196994 tweetend]
[tweetbegin 499026265312333824 tweetend]

This video shows some of Monday night's crowds:

And here's a short video of what the police response looked like:

As the night wore on, protesters gradually dispersed.

The officer who shot Brown has been put on administrative leave.

The {police said}<hyperlink=”http://www.reuters.com/article/2014/08/15/us-usa-missouri-shooting-idUSKBN0GA0Q420140815”> Monday night's crowds were smaller than Sunday's but that the situation was still tense.",29,NA,NA,One of the tweets is unavailable
BusinessInsider,bus5,http://www.businessinsider.com/twitter-hashtag-shows-how-media-manipulates-peoples-images-2014-8,Powerful Hashtag Shows How The Media Portrays Young Black Men Who Are Gunned Down,Pamela Engel,8/12/2014,10/28/2015,"A hashtag that has become popular on Twitter calls attention to how the media often portrays slain black men like Trayvon Martin and Michael Brown, the Missouri teenager {who was killed in a police shooting this past weekend}<hyperlink=”http://www.businessinsider.com/ferguson-missouri-has-turned-into-a-war-zone-2014-8”>.

People tweeting with the hashtag #IfTheyGunnedMeDown have been posting photos illustrating how easily someone's image can be manipulated by the media.

The tweets typically include two photos — one that shows the person looking innocent and another that, taken out of context, could be used to demonize them.

The juxtaposition of the photos is powerful:

{#IfTheyGunnedMeDown}<hyperlink:”https://twitter.com/hashtag/IfTheyGunnedMeDown?src=hash”> Which One Would They Use ? 👮🔫 pic.twitter.com/2Dso3nGuXO

— YoungRichNigga (@_Drew1k) {August 12, 2014}<hyperlink=”https://twitter.com/_Drew1k/statuses/499193941066256384”>

[tweetbegin 498584169065091072 tweetend]
[tweetbegin 499124088980635648 tweetend]
[tweetbegin 498869725431332864 tweetend]
[tweetbegin 498641196839735297 tweetend]
[tweetbegin 498623810132647936 tweetend]
[tweetbegin 498618644189175809 tweetend]
[tweetbegin 498575149185388545 tweetend]

In the case of slain Florida teenager Trayvon Martin, {several photos appeared online and in the media}<hyperlink=”http://www.businessinsider.com/trayvon-martin-shown-holding-guns-blowing-smoke-2013-5”> showing him allegedly blowing smoke, holding a gun, and looking tough while wearing gold grills. Other photos showing Martin looking more innocent and child-like also circulated online.

Michael Brown, who was 18 years old when he was {shot and killed by police in Ferguson, Missouri}<hyperlink=”http://www.businessinsider.com/ferguson-missouri-has-turned-into-a-war-zone-2014-8”>, is getting a similar treatment.

One photo shows him assuming a tough-looking stance:

[tweetbegin 498526729728565250 tweetend]

And another shows him looking like a normal kid:

[tweetbegin 498893379552309248 tweetend]

As Business Insider's Nicholas Carlson {pointed out in 2012}<hyperlink=”http://www.businessinsider.com/just-so-were-clear-this-picture-says-nothing-about-trayvon-martin-2012-3”> when photos of Martin looking tough were circulating online, these photos provide little to no context about a person's true character.

Teenagers in particular often post photos of themselves trying to look ""cool"" or ""tough"" online. See: ""white chicks and gang signs"":

It's easy for people to seize on certain images in the midst of a controversial event like this, but it's important to keep in mind that select photos rarely tell the full story.",48,NA,NA,NA
BusinessInsider,bus6,http://www.businessinsider.com/ferguson-missouri-riots-continue-2014-8,Tensions Still High In Missouri 'War Zone' After Monday's Riots,Carey Gillam,8/12/2014,10/28/2015,"FERGUSON Mo. (Reuters) - An uneasy calm settled over Ferguson, Missouri, early Tuesday after a second night of violent clashes between law enforcement and residents protesting the police shooting of an unarmed black teenager, with another demonstration planned for mid-morning.

So far, more than 50 people have been arrested in protests following the death of Michael Brown, 18, in a largely black St. Louis suburb on Saturday after what police officials said was a struggle with a gun in a squad car.

The FBI has opened a civil rights investigation into the racially charged case, and St. Louis County is also investigating the shooting.

Police have not said why Brown was in the police car. At least one shot was fired during the struggle, and then the officer fired more shots before leaving the car, police said.

Chanting ""hands up, don’t shoot,"" protesters overnight challenged police trying to seal off the neighborhood where Brown was shot, a low-income, high-crime area east of downtown Ferguson. Some protesters said they were outraged that Brown appeared to have been shot while holding his hands up in surrender, calling the shooting the latest in a long history of police harassment of area minorities.

""They brought this on themselves,"" said 25-year-old Adam Burcher of Ferguson, who stood outside the Ferguson Police Department on Monday night with a sign reading ""Stop Killing.""

Later on Tuesday, a protest is expected outside the St. Louis County prosecutor's office in Clayton, Missouri, and officials are also expected to identify the police officer involved in the shooting.

Brown's family has hired Benjamin Crump, an attorney who represented the family of Trayvon Martin, an unarmed black teenager whose fatal shooting in Florida by a neighborhood watch volunteer in 2012 triggered nationwide protests.

""To bring further calm, and for people to have confidence, we need the Justice Department to take over this investigation completely and not rely on the St. Louis police,"" Crump told CNN in an interview on Tuesday.

Brown’s parents have called for calm, but demonstrations have turned violent. More violence ensued on Monday night as officers in riot gear, armed with rifles and accompanied by dogs tried to secure the area.

Some protesters said they were trying to honor Brown’s memory. A memorial of flowers, notes and candles grew near the apartment building where Brown reportedly was walking to see his grandmother before he became involved with police.

""We aren't going to let this one go,"" said 18-year-old Dreya Harris of St. Louis. ""People feel like in the Trayvon Martin case that there was no justice.""

Ferguson Police Chief Tom Jackson has said officers are determined to keep a lid on the simmering tensions.

The expected announcement identifying the officer involved in the shooting also could escalate tensions in an area that has seen a stark demographic shift in recent decades.

Officials, who so far have not disclosed the officer's race, have said the six-year police veteran is on administrative leave pending the investigation. About two-thirds of Ferguson's 21,000-strong population are black, while 50 of the 53 members of its police department members are white.

Most of the communities around Ferguson have gone from white to mostly black in the last 40 years, said Terry Jones, political science professor at University of Missouri-St. Louis.

""There's a long history of racial injustice,"" said Jones. ""Slowly and not so surely, the St. Louis metropolitan area has been trying to figure out a way forward. As the Michael Brown shooting indicates, there are often setbacks.""",19,NA,NA,Reuters
BusinessInsider,bus7,http://www.businessinsider.com/police-havent-spoken-witness-saw-ferguson-shooting-2014-8,The Investigation Into A Teen's High-Profile Death In Missouri May Be Missing A Crucial Piece,Adam Chandler,8/12/2014,10/28/2015,"As tears, rage, and protests {accompany the fallout}<hyperlink=”http://www.thewire.com/national/2014/08/another-night-of-chaos-and-anger-in-ferguson-missouri/375908/”> from the shooting death of Michael Brown, an unarmed 18-year-old Missouri teenager, the investigation seems to be missing a crucial piece. Even as the Ferguson Police Department has turned over its investigation to St. Louis County police and the FBI {has opened up}<hyperlink=”http://www.nbcnews.com/news/us-news/fbi-investigating-ferguson-police-shooting-teen-michael-brown-n177761”> a parallel investigation into the shooting, no official has spoken with Dorian Johnson, who was with Brown at the time of the shooting.

MSNBC's Trymaine Lee {spoke with}<hyperlink=”http://www.msnbc.com/msnbc/eyewitness-michael-brown-fatal-shooting-missouri”> Johnson, who described the episode in which Brown was reportedly accosted, assaulted, and shot by a police officer just days before he was set to begin college.

Freeman Bosley, Johnson’s attorney, told msnbc that the police have yet to interview Johnson. Bosley said that he offered the police an opportunity to speak with Johnson, but they declined.

“They didn’t even want to talk to him,” said Bosley, a former mayor of St. Louis. “They don’t want the facts. What they want is to justify what happened … what they are trying to do now is justify what happened instead of trying to point out the wrong. Something is wrong here and that’s what it is.”

St. Louis County Police Chief Jon Belmar says the incident began when Brown {attacked}<hyperlink=”http://www.wtsp.com/story/news/2014/08/11/trayvon-martin-family-attorney-to-represent-slain-missouri-teen/13882389/”> the unnamed police officer and was shot in an ensuing scuffle.

Saturday's shooting set off riots and looting in which dozens were arrested and some injured, including a few members of the nearly 300 police dispatched to contain the crowds with tear gas and rubber bullets.

The Brown family {has reportedly hired}<hyperlink=”http://www.wtsp.com/story/news/2014/08/11/trayvon-martin-family-attorney-to-represent-slain-missouri-teen/13882389/”> Benjamin Crump to represent the slain teenager. Crump served as the family attorney in the Trayvon Martin case last year.",0,NA,NA,The Wire
BusinessInsider,bus8,http://www.businessinsider.com/police-militarization-ferguson-2014-8,This Is The Terrifying Result Of The Militarization Of Police,Paul Szoldra,8/12/2014,10/28/2015,"While serving as a U.S. Marine on patrol in Afghanistan, we wore desert camouflage to blend in with our surroundings, carried rifles to shoot back when under enemy attack, and drove around in armored vehicles to ward off roadside bombs.
We looked intimidating, but all of our vehicles and equipment had a clear purpose for combat against enemy forces. So why is this same gear being used on our city streets?

On Saturday, a police officer in Ferguson, Missouri, shot and killed 18-year-old Michael Brown, an unarmed black man. In the days that have followed, the town with a population of about 21,000 has seen massive protests in response to the shooting, as some witnesses said Brown had his hands up when he was killed.

Putting aside what started the protests for a moment, it's worth discussing the police response to the outrage. In photos taken Monday, we are shown a heavily armed SWAT team.

They have short-barreled 5.56-mm rifles based {on the military M4 carbine}<hyperlink=”https://en.wikipedia.org/wiki/M4_carbine”>, with scopes that can accurately hit a target out to 500 meters. On their side they carry pistols. On their front, over their body armor, they carry at least four to six extra magazines, loaded with 30 rounds each.

Their uniform would be mistaken for a soldier's if it weren't for their ""Police"" patches. They wear green tops, and pants fashioned after the U.S. Marine Corps MARPAT camouflage pattern. And they stand in front of a massive uparmored truck called a {Bearcat}<hyperlink=”http://www.lencoarmor.com/law-enforcement/bearcat-variants/g3/”>, similar in look to a mine-resistant ambush protected vehicle, or as the troops who rode in them call it, the MRAP.

[tweetbegin 499266796638461955 tweetend]
[tweetbegin 499291681221783552 tweetend]

When did this become OK? When did ""protect and serve"" turn into ""us versus them""?

""Why do these cops need MARPAT camo pants again,"" I {asked}<hyperlink=”https://twitter.com/PaulSzoldra/status/499248416946671616”> on Twitter this morning. One of the most interesting responses came from a follower who says he served in the Army's 82nd Airborne Division: ""We rolled lighter than that in an actual warzone.""

Let's be clear: This is not a war zone — even if the FAA {banned}<hyperlink=”https://twitter.com/rlippmann/status/499275476364308480”> flights under 3,000 feet. This is a city outside of St. Louis where people on both sides are angry. Protesters have looted and torched a gas station, and shots were fired at police, {according}<hyperlink=”https://www.washingtonpost.com/news/storyline/wp/2014/08/12/why-the-police-shooting-riots-in-ferguson-mo-had-little-to-do-with-ferguson/”> to The Washington Post.

The scene is tense, but the presence of what looks like a military force doesn't seem to be helping.

""Bring it. You fucking animals, bring it,"" one police officer {was caught on}<hyperlink=”http://www.vox.com/2014/8/11/5988925/mike-brown-killing-shooting-case-ferguson-police-riots-st-louis?utm_name=share-button&utm_content=buffer4bed0&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer”> video telling protesters. In Ferguson and beyond, it seems that some police officers have shed the blue uniform and have put on the uniform and gear of the military, bringing the attitude along with it.

Matt Ford, the social-media editor at The Atlantic, summed it up well:

[tweetbegin 499267136150585344 tweetend]

And here's journalist Radley Balko, author of ""{Rise of the Warrior Cop}<hyperlink=”http://www.amazon.com/Rise-Warrior-Cop-Militarization-Americas/dp/1610392116?tag=bisafetynet-20”>"":

[tweetbegin https://twitter.com/radleybalko/status/499282827738120192?ref_src=twsrc%5Etfw tweetend]

In Afghanistan, we patrolled in big, armored trucks. We wore uniforms that conveyed the message, ""We are a military force, and we are in control right now."" Many Afghans saw us as occupiers.

And now we see some of our police officers in this same way. ""The militarization of law enforcement is counter-productive to domestic policing and needs to stop,"" {tweeted}<hyperlink=”https://twitter.com/ExumAM/status/499251663707074560”> Andrew Exum, a former Army infantry officer.

If there's one thing I learned in Afghanistan, it's this: You can't win a person's heart and mind when you are pointing a rifle at his or her chest.",308,NA,NA,NA
BusinessInsider,bus9,http://www.businessinsider.com/obama-responds-to-michael-brown-shooting-2014-8,Obama Makes Statement On 'Heartbreaking' Police Shooting That Led To Riots In Missouri,Hunter Walker,8/12/2014,10/28/2015,"President Barack Obama issued a statement Tuesday responding to the fatal shooting of an African-American teenager Michael Brown by police in Ferguson, Missouri on Saturday. Obama called the incident ""heartbreaking"" and alluded to the riots that subsequently {engulfed the town}<hyperlink=”http://www.businessinsider.com/ferguson-mo-michael-brown-shooting-2014-8”> by calling on people to respond ""in a way that heals, not in a way that wounds.""

""The death of Michael Brown is heartbreaking, and Michelle and I send our deepest condolences to his family and his community at this very difficult time. As Attorney General Holder has indicated, the Department of Justice is investigating the situation along with local officials, and they will continue to direct resources to the case as needed,"" said Obama. ""I know the events of the past few days have prompted strong passions, but as details unfold, I urge everyone in Ferguson, Missouri, and across the country, to remember this young man through reflection and understanding. We should comfort each other and talk with one another in a way that heals, not in a way that wounds. Along with our prayers, that’s what Michael and his family, and our broader American community, deserve.""

Police have said Brown, who was 18-years-old and unarmed, assaulted an officer before his death. On Monday evening, police {fired rubber bullets and tear gas}<hyperlink=”http://www.businessinsider.com/ferguson-missouri-has-turned-into-a-war-zone-2014-8”> at members of the largely African-American community who were protesting over Brown's death. ",12,NA,NA,NA
BusinessInsider,bus10,http://www.businessinsider.com/10-most-important-things-in-the-world-right-now-august-13-2014-2014-8,The 10 Most Important Things In The World Right Now,Dina Spector,8/13/2014,10/28/2015,"Good morning! Here's what people will be chatting about on Wednesday. 

1. The international community is {increasing efforts to help thousands of Yazidi refugees}<hyperlink=”http://www.bbc.com/news/world-middle-east-28767183”> trapped on Mount Sinjar in Iraq by ISIS militants. The U.S. sent more than 100 military advisers to northern Iraq on Tuesday, while Britain has dispatched Chinook helicopters to airlift some refugees. 

2. American actress Lauren Bacall died {Tuesday at age 89}<hyperlink=”http://www.businessinsider.com/lauren-bacall-dead-2014-8”>. Bacall got her breakout role at age 19 in the 1944 film ""To Have and Have Not,"" starring alongside legendary actor Humphrey Bogart, whom she later married. 

3. Canada said it would {donate around 1,000 doses of an experimental Ebola vaccine}<hyperlink=”http://www.cbc.ca/news/health/canada-offers-experimental-ebola-vaccine-vsv-ebov-to-west-africa-1.2734681”> to the World Health Organization. This comes after the {health agency said it was ethical}<hyperlink=”http://www.who.int/mediacentre/news/statements/2014/ebola-ethical-review-summary/en/”> to offer ""unproven interventions"" as ""potential treatment or prevention"" of the Ebola virus outbreak.

4. The Ukraine government said it {may block a Russian convoy of trucks carrying humanitarian aid to the country's eastern region}<hyperlink=”http://uk.reuters.com/article/2014/08/13/uk-ukraine-crisis-russia-aid-idUKKBN0GC08O20140813”>.""We will not allow any escort by the emergencies ministry of Russia or by the military (onto Ukrainian territory),"" Ukraine deputy head Valery Chaly said, according to Reuters. ""Everything will be under the control of the Ukrainian side,"" he added. 

5. Police said they will {not release the name of the officer}<hyperlink=”http://hosted.ap.org/dynamic/stories/U/US_POLICE_SHOOTING_MISSOURI?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2014-08-13-00-22-20”> who shot and killed an unarmed teen in a suburb of St. Louis because of concers for the officer's safety. Three nights of violent protests and looting in Ferguson, Missouri, have followed the fatal shooting of 18-year-old Michael Brown. 

6. The {Japanese economy shrank 6.8% in the second quarter}<hyperlink=”http://www.businessinsider.com/japan-q2-gdp-2014-8”>, the sharpest fall since the 2011 tsunami. The GDP decline is the result of a national sales tax that reduced consumer spending. 

7. Police have {confirmed that Robin Williams' death was a suicide}<hyperlink=”http://uk.reuters.com/article/2014/08/14/uk-people-robinwilliams-idUKKBN0GB28720140814”>. The actor hanged himself in his California home. He was found dead on Monday at age 63. 

8. Egypt plans to {broker a long-term cease-fire between Israel and Hamas}<hyperlink=”http://www.jpost.com/Operation-Protective-Edge/Egypt-presents-plan-for-long-term-cease-fire-370902”> as the second 72-hour truce is set to expire on Thursday. 

9. A {5.1-magnitude earthquake in Ecuador killed at least two people}<hyperlink=”http://www.weather.com/news/news/quito-ecuador-earthquake-20140812”> in the capital city of Quito. The quake set off landslides that blocked roads and trapped several people. 

10. An Iranian professor from Stanford University is the {first woman to receive the Fields Medal}<hyperlink=”http://www.theglobeandmail.com/news/world/iranian-is-first-woman-to-win-top-mathematics-prize/article20028065/”> — the ""mathematics equivalent to the Nobel prize"" according to Reuters — since the award was established in 1936. Prizes were handed out in Seoul on Wednesday by the International Congress of Mathematicians. 

And finally...

A China zoo showed off {three new panda cubs for the first time}<hyperlink=”http://www.theguardian.com/world/2014/aug/12/panda-triplets-birth-chinese-zoo”>. The world's longest-surviving panda triplets were born on July 29 and initially placed in incubators. Check them out. They're super cute. ",1,NA,NA,NA
