Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
Buzzfeed,buzz1,http://www.buzzfeed.com/jimdalrympleii/blacks-overwhelmingly-get-stopped-by-the-police-in-ferguson#.uugJnkaq,"Black Residents In Ferguson, Missouri, Are Stopped And Arrested Far More Than Whites",Jim Dalrymple II,8/11/2014,2/17/2016,"But a higher percentage of white residents have contraband, according to a racial profiling report from the Missouri Attorney General’s Office.

Violence {erupted}<hyperlink=""http://www.buzzfeed.com/mbvd/vigils-and-vandalism-in-a-st-louis-suburb-after-police-shot""> Sunday night in Ferguson, Missouri, a day after {police killed}<hyperlink=""http://www.buzzfeed.com/jimdalrympleii/police-in-missouri-reportedly-shot-and-killed-an-unarmed-tee""> an 18-year-old identified by local media as Michael Brown.

Though police have not yet provided details about the killing, witness reports indicated Brown was unarmed. The ensuing chaos Sunday included looting and vandalism. Police responded by deploying SWAT teams, tear gas, and hundreds of officers.

Much of the outrage after Brown’s killing focused on race. The St. Louis area — which includes Ferguson — has a long history of racial tension and strife, and the local president of the NAACP issued a statement after Brown’s killing saying he was “slaughtered” by law enforcement.

A {racial profiling report}<hyperlink=""http://ago.mo.gov/VehicleStops/2013/reports/161.pdf""> from the {Missouri Attorney General’s Office}<hyperlink=""http://ago.mo.gov/VehicleStops/""> offers a glimpse into the way different races are treated by police in Ferguson.

The results seem to show that, at least when it comes to vehicle stops, black residents are disproportionately targeted by police.

The data — which comes from {the U.S. Census}<hyperlink=""http://quickfacts.census.gov/qfd/states/29/2923986.html""> — also shows that the city is almost one-third white, with small percentages of other races.

That means blacks represent 86% of all traffic stops last year. And despite representing nearly a third of Ferguson’s population, whites only made up 12.7% of the stops performed by Ferguson police. The remaining stops involved people of other races.

The report reveals that there were 521 arrests in 2013. Of those, 483, or 92.7%, involved blacks. A mere 6.9% involved whites, according to the report.

The contraband hit rate for the general population in Ferguson is 22.59%. The rate for blacks, however, is slightly lower, at 21.71%. That means about one in five blacks who are stopped are caught with contraband.

But whites have a significantly higher contraband hit rate: 34.04%. That means more than one in three whites who are stopped get busted for contraband.

The report does not offer explanations for these numbers, but does offer racial breakdowns for things like charges, searches, and other things. Read the full report {here}<hyperlink=""http://ago.mo.gov/VehicleStops/2013/reports/161.pdf"">.",17,NA,NA,last hyperlink doesn't work / Ferguson site:buzzfeed.com daterange:2456878-2456889.5 
Buzzfeed,buzz2,http://www.buzzfeed.com/chrisgeidner/amnesty-international-takes-unprecedented-us-action-in-fergu#.hh7Ml4BJ,Amnesty International Takes “Unprecedented” U.S. Action In Ferguson,Chris Geidner,8/17/2014,2/17/2016,"Amnesty International has taken “unprecedented” action to deal with the situation in Ferguson, Missouri, by sending resources the human rights group has never before deployed inside the United States.

The organization has been on the ground in Ferguson since Thursday. It sent a 13-person human rights delegation to the city in the wake of the Aug. 9 police shooting death of Michael Brown.

Jasmine Heiss, a senior campaigner with Amnesty and part of the team in Ferguson, said the use of the “cross-functional team” — which she said included community trainers, researchers, and human rights observers — was “unprecedented” within the U.S. for the group.

On Saturday, after Missouri Gov. Jay Nixon declared a state of emergency and put a curfew in place in Ferguson, Amnesty International USA’s executive director, Steven W. Hawkins, issued a scathing statement.

“We criticize dictators for quelling dissent and silencing protestors with tactics like curfews, we’ll certainly speak out when it’s happening in our own backyard,” he said. “The people of Ferguson have the right to protest peacefully the lack of accountability for Michael Brown’s shooting.”

[tweetbegin 500838813833637889 tweetend]

In an interview Sunday afternoon, Heiss said because of limits police placed on Amnesty’s access, “It was very difficult to see anything once the curfew went into effect last night.”

It was “impossible,” she said, for Amnesty to make any sort of judgment about whether actions taken by the police after the midnight curfew went into effect were proportional or necessary. She called it emblematic of “the overall lack of transparency in this investigation.”

Heiss noted the group’s long focus on criminal justice, including the use of excessive force, in the U.S. The group’s {Rights for All}<hyperlink=""http://www.amnesty.org/en/library/asset/AMR51/035/1998/en/0440cd04-da99-11dd-80bc-797022e51902/amr510351998en.pdf""> effort in 1998, which included {follow-up proposals}<hyperlink=""http://www.amnesty.org/en/library/info/AMR51/147/1999/en""> for change in 1999, preceded specific investigations into the {Los Angeles}<hyperlink=""http://www.amnesty.org/en/library/asset/AMR51/076/1992/en/d2ae229d-f6f3-458a-ab03-666a103e7382/amr510761992en.pdf""> and {Chicago}<hyperlink=""http://www.amnesty.org/en/library/asset/AMR51/168/1999/en/6911d657-e013-11dd-adf6-a1bae6c1ea26/amr511681999en.pdf""> police operations.

In terms of specific cases, she noted that the group called for similar action by officials after the killing of Trayvon Martin in Florida. The group there, she said, had called for a “thorough, impartial, swift investigation — with transparency,” emphasizing that a key tenet of that is “the family is kept informed” about the investigation.

On Sunday, after the team examined the situation in Ferguson, Amnesty International USA released three recommendations going forward:

• A prompt, thorough, independent, and impartial investigation into the shooting of Brown must take place. Brown’s family must be kept informed throughout the investigation. Under international law, police officers suspected of having committed unlawful acts must be held to account through effective investigation, and where warranted, prosecuted.

• All police departments involved in policing the ongoing protests in Ferguson in response to Brown’s death must act in accordance with international human rights standards. Any human rights abuses in connection with the policing of protests must be independently and impartially investigated, and those responsible held accountable.

• A thorough review of all trainings, policies, and procedures with regards to the use of force and the policing of protests should be undertaken.

",32,NA,NA,NA
Buzzfeed,buzz3,http://www.buzzfeed.com/tasneemnashrulla/powerful-images-from-ferguson-after-the-death-of-michael#.birZx9r8,32 Powerful Images From Ferguson After The Death Of Michael Brown,Tasneem Nashrulla,8/12/2014,2/17/2016,NA,40,NA,NA,NA
Buzzfeed,buzz4,http://www.buzzfeed.com/lisatozzi/live-coverage-fury-in-ferguson#.fgg65RPRYv,Missouri Governor Sends National Guard To Ferguson As Unrest Continues,"Lisa Tozzi, Mike Hayes,
Jim Dalrymple II,
Ali Vingiano,
Joel Anderson,
Alan White,
Claudia Koerner,
Michelle Broder Van Dyke,
Francis Whittaker
",08/14/14,02/29/16,"St. Louis County medical examiner will not confirm the report that Michael Brown had marijuana in his system when he died.

The St. Louis County medical examiner’s officer told BuzzFeed Monday that their autopsy showed Michael Brown died from gunshots wounds, but “we’re not confirming the number, direction, or toxicology.”

{The Washington Post is reporting}<hyperlink=""http://www.washingtonpost.com/news/post-nation/wp/2014/08/18/county-investigation-michael-brown-was-shot-from-the-front-had-marijuana-in-his-system/"">In a statement, Gov. Jay Nixon said there will not be a curfew Monday night and the National Guard’s mission will be “limited.”
Last night, Ferguson, Missouri experienced a very difficult and dangerous night as a result of a violent criminal element intent upon terrorizing the community. As long as there are vandals and looters and threats to the people and property of Ferguson, we must take action to protect our citizens.
Following coordinated attacks last night both on civilians and law enforcement officers, I signed an executive order directing the Missouri National Guard to help restore peace and order in Ferguson. The Guard’s immediate and limited responsibilities under the direction of Colonel Ron Replogle of the Missouri State Highway Patrol, are to provide protection, and ensure the safety of our Unified Command Center, which was the target last night of a coordinated attack. The Guard will concentrate its resources on carrying out this limited mission.
Missouri National Guard Brigadier General Gregory Mason will oversee Guard operations in Ferguson under the overall command of the Missouri State Highway Patrol.

With these additional resources in place, the Missouri State Highway Patrol and local law enforcement will continue to respond appropriately to incidents of lawlessness and violence, and protect the civil rights of all peaceful citizens to make their voices heard. We will not use a curfew tonight.
Again, I join the people of Ferguson, and all Missourians, in strongly condemning the violent acts we saw last night, including the firing upon law enforcement officers, the shooting of a civilian, the throwing of Molotov cocktails, looting and a coordinated attempt to overrun the unified Command Center.

We are all frustrated and looking for justice to be achieved regarding the shooting death of Michael Brown. As the dual investigations continue into what happened nine days ago at Canfield Green, we must defend Ferguson from these violent interlopers so that the peaceful protests can operate in peace and the search for answers and justice can continue. that Michael Brown had marijuana in his system when he died according to a person “who spoke on the condition of anonymity because of the ongoing investigation.”

The St. Louis County medical examiner said they were aware of the article, but would not confirm the report that Michael Brown had marijuana in his system when he died.

",43,NA,NA,broken insta link
Buzzfeed,buzz5,http://www.buzzfeed.com/joelanderson/what-it-was-like-in-the-streets-on-fergusons-worst-night#.bolPnkoK1,What It Was Like In The Streets On Ferguson’s Worst Night,Joel Anderson ,08/18/14,02/29/16,"It was a little after 9 p.m., and I was in the McDonald’s parking lot, standing by my car. A police helicopter circled overhead, its spotlight sweeping back and forth.

Then I heard the sound of shattering glass: A rubber bullet had been fired through a window of McDonald’s, which until then, had been one of the few sanctuaries on West Florissant Avenue.

Now I didn’t feel safe anywhere.

State troopers in riot gear and armored trucks moved south on West Florissant, firing flash grenades and tear gas canisters at a crowd of protesters who only minutes before had been chanting, “Fuck the police.”

In a panic, I turned to the crowd of officers behind me — some with arms folded, others holding batons — and sought an explanation: The state-imposed curfew wasn’t set to begin for another three hours. Where were we supposed to go?

The response: “You better get the fuck out of here.”

I’m a reporter, not a revolutionary, so I fumbled around for my car keys, yelled out to my friend and former colleague Justin, and we hopped into my rental car. Leaving through the front entrance wasn’t going to work: The streets were roiling with hundreds of panicked people and the flash bombs were even closer now. So I tried an escape route behind the restaurant, hoping I could slip down a back street that would lead us away. But a dumpster prevented our exit. We would have to get out of this on foot.

In the parking lot, a teenage boy in a white T-shirt and long black sweatpants was writhing around in pain. He screamed that he was on fire. A woman tried pouring water on his face, but it didn’t work. A smell like a fevered man’s sweat hung in the air — tear gas.

An older black man, probably in his fifties, a hat somehow still perched on his head, protested to no one in particular: “They didn’t give us no warning. They just started shooting. There’s babies in the street.”

It was true: Families and older protesters, who usually left around this time on previous nights, were caught in the crossfire. No longer were the police making a distinction between peaceful protesters and the younger, rowdier mobs that took over the street after nightfall. We were all potential anarchists and hooligans.

Days earlier, Missouri State Highway Patrol Capt. Ronald Johnson, a black native of Ferguson who had been put in charge of the police response, promised to enforce the curfew without trucks and tear gas. And even though police had broken that promise on Saturday night, Johnson remained popular on these streets. Sunday morning, he had apologized to the family of Michael Brown, the black teenager who was fatally shot last week by Ferguson police officer Darren Wilson. It was a moving speech that earned him widespread praise. Even in this community, grown so cynical about the police, Johnson was credibly selling himself as an agent of change. What had happened?

I fell into the teeming mass of people, most of them black, all of them confused. We were being flash-bombed and teargassed back to the south on West Florissant, giving us few options for escape. The most hotly contested sections of the street — in and around the QuikTrip that was burned down during a riot here last week — have no side streets and have been lined with metal gates that penned us in like cattle.

Most of us continued our retreat on West Florissant, the bombs and gas chasing us to some undetermined location. Some peeled off and ran to their homes in the neighborhoods that line the street. A relative handful — teenagers hopped up on adrenaline and hatred for cops — advanced forward. “We ready!” one yelled, “I’m gonna shoot one of these motherfuckers.”

In the commotion, I was separated from all of my friends and colleagues, and my phone ran out of power (I had gone to McDonald’s to recharge it). The streets seemed unusually dark, the lights coming mostly from car headlights. It had been an awfully long time since I felt that vulnerable.

By now, no one cared that I was a member of the media. I was just a black man among hundreds of them. I looked at their faces, scanning for anyone I might know. Some of them had tattoos, or gold teeth, or extravagantly manicured beards. They reminded me of my cousins or friends that I lost touch with. I wondered what police saw when they looked these men in their faces? Did they bother to look them in their faces? I wondered if the police could tell any of us apart.

Ahead of us (or behind us, as it were) was Chambers Road. At the intersection, I could see the flashing lights of police vehicles — another group of officers were, as Johnson would later say, acting to “protect lives and property.”

Just then, Justin tapped me on the shoulder, and, for a moment, I felt relief. We spotted a middle-aged white man with glasses and a notepad — a member of the media. I told Justin we should stick close to him. Our proximity to his whiteness might get us out of this, safely. I asked him where he worked. He offered a curt response then assiduously avoided us.

We were almost at Chambers. The officers who were stationed at a nearby convenience store were yelling at us. “Stop running or we will shoot you!” They pointed their guns. I slowed down and raised my arms. “I’m with the media!” I yelled. “What do you want us to do?”

Justin and I crossed to the far side of the street — to make it harder for them to shoot us if they got an itchy trigger finger. I grew increasingly desperate as I realized that nothing could protect me, not even those sworn to do so.

Alongside us was a black couple, likely in their forties. The man led the woman by the arm and made panicked arrangements for a ride. “Please, Jesus, come get us. Now!” Behind us was a group of boys, none older than 18, who took the opportunity to smash the glass of an auto parts store.

“Damn!” I yelled at them. “Don’t do that shit. They’re going to shoot us.” The officers kept their guns on us as we walked briskly into the parking lot of a large grocery store. People were hurriedly getting into their cars, skidding their tires to get the hell out of there. I realized then that we didn’t have a way to escape. Or even a way to call someone for help — Justin’s cell was also out of juice.

I saw a blonde white woman getting into a minivan. Something about her — the well-worn sweatsuit? the lack of makeup? — made me think she was a mother. I approached: “Can you please help us?” She didn’t even hesitate: “Get on in.”

Her name is Stacy Graham. She and her three children — ages 14, 9, and 7 — live 35 miles away in Jerseyville, Ill. “So much for the curfew, bitches,” she joked when we got into the car.

Stacy had come to Ferguson to visit her family and show her support for the Brown family. She was wearing a T-shirt that had Brown’s face on the front and the slogan “Murder is murder” on the back. Her support comes by blood: A black man, currently serving a nine-year prison sentence, is the father of her three children. “I worry that society has already deemed them doomed because of the color of their skin,” she said.

When we arrived in front of the hotel, I offered Stacy $10 for gas and for all the trouble. “It’s not about that,” she told me. I insisted and put the money in her ashtray. She got out of her minivan and hugged us long and hard. “If you need anything, call me.” We said that to each other.

About an hour later, Justin and I caught the end of Johnson’s press conference on cable news. He offered thanks to his troops for a job well done. Then he read from a script and rarely looked into the cameras.",40,NA,NA,NA
Buzzfeed,buzz6,http://www.buzzfeed.com/joelanderson/is-race-an-issue-in-ferguson-depends-on-who-you-ask#.yfEzRQoxP,Is Race An Issue In Ferguson? Depends On Whom You Ask,Joel Anderson ,08/16/14,02/29/16,"In that book and a follow-up edition that focused on life in town after the 1920s, the black contributions to Ferguson receive only a few passing mentions: slaves freed by merciful plantation owners, a Baptist church founded by former slaves in 1880, and a school that opened for black students in 1885 — though high school-aged children were forced to travel nearly 20 miles because the local high school wouldn’t accept blacks.

Mostly, the books are a tribute to the prominent white families and business owners in town: the Schmidt Bros Confectionary on Church Street, Bindbeutel’s Market, Kienstra Coal and Feed Company, to name a few. Only three black people, none of them identified, none of them women, can be found on the pages of those books.

The town’s white majority didn’t begin to dwindle until the 1970s, when white residents fled St. Louis and its inner suburbs, including Ferguson. By 2000, blacks made up half of the city’s population, and whites had dropped to 44%. Those trends continued through the 2010 Census, which found that more than two-thirds of the city was black and that whites made up less than 30%.

“I grew up here, and it’s always been a very diverse community,” said James Knowles, mayor of Ferguson since 2011, who is white. “So for people to come out and say that there’s some long-standing anger or there’s a history of racial tension is absolutely ridiculous,” he said. “There’s not a black-white divide in Ferguson.”

The mayor and the rest of the local government epitomize the black struggle to have a voice. Ferguson has rarely had more than one black city council member at a time. In April, voters elected the first black school board member — but earlier in the year, the then all-white board had ousted the area’s first black superintendent.
“The power structure is run by pretty much all white people,” said Don Calloway, a former Missouri state representative who is black and whose district included part of Ferguson. “All of these black people are basically under white rule.”

But it’s Ferguson’s police department that has received the most scrutiny, in part because of its paltry number of black officers and documented racial disparities in traffic enforcement. Last year, Missouri’s attorney general found that blacks made up 86% of all traffic stops in Ferguson despite being roughly two-thirds of the driving population. That data also showed Ferguson police officers were twice as likely to search and arrest blacks during these stops as they were whites.

“It’s part of the overall system letting us know that there’s no love for black people here,” said Kerry Woods, who lives in nearby Jennings but came out for Wednesday’s protest. “It’s a good ole boys system.”

On the other side of town, along a street with only a handful of black homeowners, Don Chisholm empathized with the desire for justice in the investigation into Brown’s death but was pained by the racial tension surrounding the case.

“I think the race relationships have always been good here,” said Chisholm, who has lived in Ferguson since 1965. “There’s no strife between the races. And I think these protests are going to damage that.”

Chisholm then echoed a sentiment common among nearly a dozen white residents interviewed by BuzzFeed over the past few days: “I wonder, are these professional protesters or people who really live here in Ferguson?”

The protesters, Tries reasoned, “they aren’t Ferguson residents.”

To counter the image of Ferguson as a town beset with racial division, sisters Laura and Elizabeth Knight staged their own demonstration along North Florissant Road on Thursday. About a mile away from where Brown supporters were rallying outside of the city’s police station, they hoisted “I heart Ferg” signs at passing motorists.

“This isn’t directed at any person,” said Laura, a recent graduate of Knox College in Illinois who hopes to move back to Ferguson. “I just love my community, and I’m proud to come from here. We’ve seen a lot of things on TV, but we don’t see enough positive.”

“I think you can be angry at things going on in a place without being angry at the place you live,” Elizabeth said.

Mayor Knowles did acknowledge one division in his town: that between homeowners and renters. “We have a divide, unfortunately, between people who stay here and people who live here,” he said. “We’ve got to find a way to integrate those people into the fold.”

Brown was fatally shot at a large apartment complex, Canfield Green, just off West Florissant Avenue. Brown was on his way to visit his grandmother, who lives in an apartment there.

Back at Prime Time, barber Toriano Johnson and others remembered Brown — a regular customer — as a lumbering teenager who didn’t say much. But at 6-foot-4, and built like an offensive lineman, Brown was hard to miss when he came through the doors of the shop.

What did Johnson think would come of Brown’s death? “I think it’s going to lead to the dismantling of the police department and the city government,” Johnson said. “Then we can start over. That’s what’s got to happen for us to all come together.”",32,NA,NA,NA
Buzzfeed,buzz7,http://www.buzzfeed.com/claudiakoerner/photos-capture-intense-scene-in-ferguson-as-police-protester#.jirjBrp2n,"Photos Capture Intense Scene In Ferguson As Police, Protesters Continue To Clash",Claudia Koerner ,08/13/14,02/29/16,"[tweetbegin 499744688107446272 tweetend]

[tweetbegin 499754224134012928 tweetend]

[tweetbegin 499751349630668800 tweetend]

[tweetbegin 499751098266435584 tweetend]",31,NA,NA,NA
Buzzfeed,buzz8,http://www.buzzfeed.com/evanmcsan/republicans-after-ferguson#.vt4D8kw2Y,Ferguson Is The Beginning Of The End For Conservatives’ “War On Crime”,Evan McMorris-Santoro ,08/19/14,02/29/16,"The crisis in Ferguson, Missouri has become the unlikely coming of age moment for the growing portion of the conservative movement that sees heavy-handed police forces, and their expensive military-style equipment, as the latest target in their half-century campaign against big government.

Libertarian Kentucky Senator Rand Paul stunned many on the ground in Missouri when he denounced the killing of 18-year-old Michael Brown in the pages of {Time}<hyperlink=""http://time.com/3111474/rand-paul-ferguson-police""> last week, writing that “if I had been told to get out of the street as a teenager, there would have been a distinct possibility that I might have smarted off. But, I wouldn’t have expected to be shot.”

His words built on a decade’s intellectual foundation laid by conservatives like the anti-tax campaigner Grover Norquist, one of the leaders in a campaign to break with decades of tough-on-crime posturing, and the race-baiting that has at times accompanied it, and to instead make common cause with liberals and black leaders to slash budgets for arming police and jailing young men for non-violent offenses.

The movement, led by the Texas-based Right on Crime, has helped pass bipartisan prison sentencing and recidivism legislation — mostly in red states — that has drawn {praise and support}<hyperlink=""http://www.buzzfeed.com/evanmcsan/inside-the-weirdly-bipartisan-very-optimistic-world-of-priso#2miyq0m""> from progressives. But Ferguson has given its leaders the opportunity to draw a surprising line in the sand, and in interviews with BuzzFeed Monday, its leading figures sided clearly with the largely peaceful protesters even as much of the conservative media focuses on images of violence and looting in the St. Louis suburb.

“What’s happened recently and recent events — tragic as they are — you’re beginning to see a national discussion and reevaluation of what makes sense, what works,” said Chuck DeVore, a former California Republican legislator, tea party Senate candidate, and current top official at the Texas Public Policy Foundation, which houses Right On Crime.

“I think if you were to go to Ferguson, it would be interesting to find out how many of these young men have been in prison, or have family family members who have been to prison, or friends who have been in prison,” DeVore said, citing large-scale imprisonment as a factor in the frustration at the justice system exploding in Ferguson.

Norquist, the president of Americans for Tax Reform and a central strategist in the long conservative campaign to cut government spending, said the campaign against steroidal policing is a natural fit for the movement.

“On the right on this one, they’re saying, ‘I don’t know that’s happening here…and by the way what are all those things that look like tanks doing?’” Norquist said of Ferguson.

He also said Republicans like Paul have a political opportunity that Democrats lack — to ignore the tough-on-crime constituency of police and prosecutors.

“On the crime stuff, a Republican can stand up and challenge the aggressiveness of the cops,” said Grover Norquist, top dog at Americans For Tax Reform and a supporter of criminal justice changes. “Democrats are surrounded by the images of people who defend Mumia or whoever that guy is who killed those cops.”

Criminal justice issues also offer a rare slice of possible common ground for America’s divided, paralyzed legislature, though the impact of the past week in Ferguson on Washington’s legislative calendar remains hard to predict. Members of Congress coming back to Washington from their August recess will face a number of legislative efforts to demilitarize police forces on both the {federal}<hyperlink=""http://www.buzzfeed.com/evanmcsan/democratic-congressman-will-introduce-police-demilitarizatio#2miyq0m""> and {state level}<hyperlink=""http://www.buzzfeed.com/evanmcsan/conservatives-pushing-to-disarm-federal-agencies-hope-democr#2miyq0m""> stemming from Ferguson.

But for Washington’s Republican debate over criminal justice, Ferguson is already altering the landscape, say conservative supporters of shorter prison sentences, an end to the drug war, and an end to militarized police forces. Since the Republicans took control of the House in 2010, the libertarian-leaning conservative wing of the party that’s successfully pushed criminal justice system changes on the states has been shut out of the Washington debate for the most part by {powerful veterans}<hyperlink=""http://www.buzzfeed.com/evanmcsan/younger-republicans-try-to-drag-their-party-into-the-21st-ce#2miyq0m""> with 1980s “tough-on-crime” pasts. Now, the Right on Crime lobby sees a shot at a defining moment.

“If our policies were in place,” DeVore said, Ferguson might not have some of the divides he sees as at the root of the turmoil this week.

“Perhaps there would be lower unemployment,” he said. “Perhaps there would be more two-parent households.”",12,NA,NA,NA
Buzzfeed,buzz9,http://www.buzzfeed.com/mbvd/protesters-rally-in-cities-across-the-us-in-solidarity-with#.xsXqL2mVo,Protesters Rally In Cities Across The U.S. In Solidarity With Ferguson,Michelle Broder Van Dyke ,08/15/14,02/29/16,"People across the U.S. rallied together Thursday for a national moment of silence for Michael Brown, the unarmed teen who was shot by police on Saturday in Ferguson, Mo.

[tweetbegin 498516462324449280 tweetend]

According to {The Root}<hyperlink=""http://www.theroot.com/blogs/the_grapevine/2014/08/_nmos14_tonight_nationwide_vigils_will_honor_victims_of_police_brutality.html"">, the event, known as #NMOS14, was initiated by @FeministaJones, who described it as a way to come together “to remember the forgotten, ignored, killed, and abused.”

Photos from across the country showed people protesting in solidarity with the slain Ferguson teen.

[tweetbegin 499887069209305090 tweetend]

San Francisco

Philadelphia
#NMOS14 #Philly
— Bam (@Bamcmxci)

Peaceful protest in Philadelphia against police brutality. #NMOS14 #Ferguson
— Josh Kruger (@jawshkruger)

[tweetbegin 500098458989395968 tweetend]

#NMOS14 #Philly
— Bam (@Bamcmxci)

[tweetbegin 500106590759161857 tweetend]

Milwaukee

[tweetbegin 500101997115097088 tweetend]

[tweetbegin 500099040088829953 tweetend]

[tweetbegin 500099450463731712 tweetend

[tweetbegin 500105702560378881 tweetend]

Chicago

[tweetbegin 500081368177856512 tweetend]

[instabegin https://www.instagram.com/p/rsqHLOHrJK/ instaend]

[tweetbegin 500108143112622080 tweetend]

Colorado Springs

Indianapolis

[tweetbegin 500060788263231488 tweetend]

[tweetbegin 500054569003810816 tweetend]

Phoenix

[tweetbegin 500102451886690305 tweetend]

[tweetbegin 500083989596483585 tweetend]

[tweetbegin 500092465869619201 tweetend]

Miami

[tweetbegin 500062447659921408 tweetend]

In Miami, eight people were arrested by U.S. Marshals for protesting inside the federal courthouse, NBC News reported.
Los Angeles

Seattle

[tweetbegin 500069220281901056 tweetend]

[tweetbegin 500073146733432833 tweetend]

Washington, D.C.

[tweetbegin 500055570335145985 tweetend]

[tweetbegin 500073183366901760 tweetend]

[tweetbegin 500074907976609793 tweetend]

[instabegin https://www.instagram.com/p/rsusrmSFjV/ instaend]

[tweetbegin 500067806583746561 tweetend]

Eugene, Ore.

[tweetbegin 500104734666014720 tweetend]

[tweetbegin 500103442908454913 tweetend]

Detroit

Detroit Strong for #Ferguson #NMOS14
— Big Dumb Idiot (@mikexmoynihan)

[tweetbegin 500067794411851776 tweetend]

[tweetbegin 500067499468419072 tweetend]

Denver

[tweetbegin 500105498075467777 tweetend]

[tweetbegin 500122791870730241 tweetend]

Nashville

[tweetbegin 500073097253224448 tweetend]

[tweetbegin 500058109977853952 tweetend]

[tweetbegin 500058078205988864 tweetend]

[tweetbegin 500077407844708352 tweetend]

Baltimore

[tweetbegin 500092720527179776 tweetend]

[tweetbegin 500092026789330946 tweetend]

Montgomery, Ala.

Oakland

[tweetbegin 500058303377203200 tweetend]

#NMOS14 #Oakland #JusticeForMikeBrown
— Chauncey K. R. (@UnapologeticCKD)

Pittsburgh

[tweetbegin 500092993266008064 tweetend]

[tweetbegin 500063861085843457 tweetend]

Des Moines

[tweetbegin 500072263224668160 tweetend]

#NMOS14 Des Moines
— . (@Rrrrnessa)

Brooklyn

Portland, Ore.

[tweetbegin 500091962943602688 tweetend]

[tweetbegin 500095185619914754 tweetend]

Atlanta
Atlanta #NMOS14 - solidarity and love #HandsUpDontShoot
— Lisa (@Smooshettina)

[tweetbegin 500074273554579456 tweetend]

San Diego

[tweetbegin 500063570860998657 tweetend]

[tweetbegin 500087607385010177 tweetend]

[tweetbegin 500080527110844417 tweetend]

[tweetbegin 500074692569743362 tweetend]

San Diego is in solidarity. #NMOS14 #ferguson #BMOC #MikeBrown #TrayvonMartin #EricGarner
— Lesliee (@_LeslieRenteria)

Orlando

Austin
#NMOS14 Austin, TX: ""No justice, no peace...""
— spelled like: Ché (@soundslikeshay)

[tweetbegin 500096049315188737 tweetend]

Burlington, Vt.

[tweetbegin 500059580596908033 tweetend]

Boston

[tweetbegin 500061395413897216 tweetend]

[tweetbegin 500067856584040448 tweetend]

[tweetbegin 500059730489126913 tweetend]

Minneapolis

[tweetbegin 500080067402539010 tweetend]

[tweetbegin 500075788054831104 tweetend]

[tweetbegin 500090475572129792 tweetend]

New Orleans
#NMOS14 #NOLA
— Afro-Latina (@PlMPCESS)

[tweetbegin 500092905877295105 tweetend]

[tweetbegin 500073482500468736 tweetend]

Manhattan

[tweetbegin 500065166248398848 tweetend]

[tweetbegin 500058724099444736 tweetend]

[tweetbegin 500056184511295488 tweetend]

[tweetbegin 500080944532168704 tweetend]

[tweetbegin 500081401300271104 tweetend]",54,NA,NA,NA
Buzzfeed,buzz10,http://www.buzzfeed.com/tasneemnashrulla/25-images-from-the-worst-night-of-violence-in-ferguson#.cyrrKX4XzM,25 Images From The Worst Night Of Violence In Ferguson,Tasneem Nashrulla ,08/18/14,03/02/16,"The worst violence in a week rocked Ferguson, Mo., Sunday night.

Police and protesters clashed again Sunday, hours before midnight curfew went into effect.

Armed riot police fired tear gas and rubber bullets to disperse a large group of protestors who marched toward a police command center in the parking lot of a shopping mall. Protesters threw back gas canisters and rocks at the police. Police responded to reports of multiple shootings, looting, and throwing of Molotov cocktails.

The violent chaos prompted Missouri Gov. Jay Nixon to {deploy the National Guard}<hyperlink=""http://www.buzzfeed.com/lisatozzi/live-coverage-fury-in-ferguson""> early Monday to help “restore peace and order.”

Following are scenes from Sunday:



",58,NA,NA,NA
