Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
Chron,chron1,http://www.chron.com/default/article/Mayhem-Is-Erupting-Again-In-Ferguson-As-Police-5694836.php,Mayhem Is Erupting Again In Ferguson As Police And Protesters Clash,Brett LoGiurato,08/17/2014,02/12/2016,"The National Guard has been {called to Ferguson, Missouri}<hyperlink=” https://www.washingtonpost.com/national/justice-department-orders-new-autopsy-of-michael-browns-body/2014/08/18/023a4d12-2694-11e4-958c-268a320a60ce_story.html>, where protests have escalated over the past two days after a midnight curfew was imposed by Gov. Jay Nixon. 

The St. Louis suburb has been the {site of racially charged protests}<hyperlink=” http://www.businessinsider.com/state-of-emergency-declared-in-ferguson-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals> since the Aug. 9 shooting of 18-year-old Michael Brown by Ferguson police officer Darren Wilson. Clashes between protesters and police had calmed as the week progressed but have ramped up again over the weekend.

Nixon imposed the curfew on Saturday at a {rowdy press conference}<hyperlink=”http://www.businessinsider.com/state-of-emergency-declared-in-ferguson-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”> during which Capt. Ron Johnson tried to assuage fears that police would use force to enforce it.""

""We won't enforce it with trucks, with tear gas. We will communicate ... Because someone is standing in the street, there is not going to be an armored truck come out,"" he said.

Despite these assurances, there were numerous reports of police firing tear gas into crowds marching toward a police command center on Sunday night, hours before the curfew was set to be imposed. St. Louis County police {said}<hyperlink=”https://twitter.com/stlcountypd/status/501189523091361792”> Molotov cocktails were being thrown at police.""

""It really is just pure chaos down here,"" Brian Schellman, a St. Louis County Police spokesman, {told KSDK News}<hyperlink=”https://twitter.com/RobertDEdwards/status/501216267097751553”>.

Many protesters disputed the police account that Molotov cocktails had been thrown at the police.""

""That is a lie. It was no fight — it was no shots fired,"" {protester Lisha Williams told CNN}<hyperlink=”http://www.cnn.com/2014/08/17/us/missouri-teen-shooting/index.html?hpt=hp_t1”>. ""The only ones who fired was police. All we did was march to the command center to fall to our knees and say, 'Don't shoot.' And they started shooting.

""The clashes came on the same night The New York Times {released the results}<hyperlink=”http://www.nytimes.com/2014/08/18/us/michael-brown-autopsy-shows-he-was-shot-at-least-6-times.html?smid=tw-bna&_r=1”> of a private autopsy report conducted on behalf of Brown's family. According to the report, Brown was shot six times in the fatal incident, including twice in his head. The bullets that entered his body did not appear to have been fired from very close range, according to the report.

An autopsy conducted by local officials had still not been completed. Meanwhile, Attorney General Eric Holder said Sunday that the Justice Department would conduct its own autopsy because of what spokesman Brian Fallon said was ""due to the extraordinary circumstances involved in this case and at the request of the Brown family.

""Police also clashed with members of the press. One journalist from Argus Radio {captured video}<hyperlink=”https://www.youtube.com/watch?v=razYgZ0P1KY”> of a person he identified as a police officer telling him to ""get the f--- out of here ... or you're getting shelled with this.”

""Nixon declared a state of emergency and {imposed the midnight curfew in Ferguson on Saturday}<hyperlink=”http://www.businessinsider.com/state-of-emergency-declared-in-ferguson-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”>. One person was shot and seven were arrested Saturday night.

Below are some more images from the scene:""",0,NA,NA,NA
Chron,chron2,http://www.chron.com/default/article/Missouri-Governor-Calls-Off-Curfew-In-Ferguson-5696333.php,Missouri Governor Calls Off Curfew In Ferguson After Two Nights Of Mayhem,Brett LoGiurato,08/18/2014,02/12/2016,"Missouri Gov. Jay Nixon (D) on Monday lifted a midnight curfew in the beleaguered town of Ferguson, Missouri, in which there have {been two consecutive, chaotic nights of protest}<hyperlink=”http://www.businessinsider.com/ferguson-protests-mike-brown-shooting-curfew-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”>.

In a statement released Monday afternoon, Nixon also outlined why he was sending members of the Missouri National Guard to the town, saying he was doing so to ""provide protection"" and ensure the safety of a police command center that was attacked Sunday night.

Ferguson, a St. Louis suburb, has been the {site of racially charged protests}<hyperlink=”http://www.businessinsider.com/state-of-emergency-declared-in-ferguson-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”> since the Aug. 9 shooting of 18-year-old Michael Brown by Ferguson police officer Darren Wilson. Clashes between protesters and police had calmed as the week progressed, but they ramped up again over the weekend.

""With these additional resources in place, the Missouri State Highway Patrol and local law enforcement will continue to respond appropriately to incidents of lawlessness and violence and protect the civil rights of all peaceful citizens to make their voices heard. We will not use a curfew tonight,"" Nixon said in the statement.

Witnesses reported police firing tear gas into crowds marching toward a police command center on Sunday night. Echoing what Missouri State Highway Patrol Capt. Ron Johnson told reporters early Monday morning, Nixon said protesters threw Molotov cocktails and fired gunshots at law-enforcement officers. Nixon said a civilian had also been shot Sunday night.

""Again, I join the people of Ferguson, and all Missourians, in strongly condemning the violent acts we saw last night, including the firing upon law enforcement officers, the shooting of a civilian, the throwing of Molotov cocktails, looting and a coordinated attempt to overrun the unified Command Center,"" his statement continued.

""We are all frustrated and looking for justice to be achieved regarding the shooting death of Michael Brown. As the dual investigations continue into what happened nine days ago at Canfield Green, we must defend Ferguson from these violent interlopers so that the peaceful protests can operate in peace and the search for answers and justice can continue.""

Also on Monday, attorneys representing Brown's family {released the results}<hyperlink=”http://www.businessinsider.com/michael-brown-ferguson-arrest-autopsy-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”> of a private autopsy report conducted on Brown. The report said Brown was shot at least six times — including twice in the head. Pathologist Michael Baden, who conducted the autopsy at the family's request, said two of the bullets might have ricocheted and re-entered Brown's body.The attorneys representing Brown's family said the autopsy provided ""ample evidence"" that Wilson should already be arrested.

Attorney General Eric Holder has ordered a federal autopsy to be conducted on Brown, in addition to the one requested by the family and one conducted by St. Louis County. Holder met Monday at the White House with President Barack Obama to receive an update on the situation in Ferguson.",0,NA,NA,NA
Chron,chron3,http://www.chron.com/default/article/Police-Captain-Blames-A-Lot-Of-The-Press-For-5698231.php,Police Captain Blames 'A Lot' Of The Press For 'Glamorizing' Ferguson Protests,Colin Campbell,08/19/2014,02/13/2016,"}<hyperlink=””>
ferguson site:chron.com daterange:2456878-2456889.5

The police leader with authority over the policing effort of the {racially-charged protests}<hyperlink=”http://www.businessinsider.com/ferguson-protests-police-tear-gas-michael-brown-shooting-death-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”> in Ferguson, Missouri, thinks ""a lot"" of the media has played a part in enabling the violence.

In an interview with MSNBC on Tuesday morning, Missouri Highway Patrol Captain Ron Johnson accused reporters of swarming around agitators, giving ""them a platform and glamoriz[ing] their activity.""

""We have a lot of media that have not done a great job. Last night, when crowds were walking and small groups — and they got larger, and they were just walking — and then when a certain element — that criminal element, that got out here with masks on, that wanted to agitate and build up the crowd, would stop in front of the media — the media would swarm around them, give them a platform and glamorize their activity,"" Johnson said, according to {a Mediaite video}<hyperlink=”http://www.mediaite.com/tv/cpt-johnson-some-of-the-media-glamorizing-ferguson-violence/”> of the interview.

When the media promotes the disruptive protesters, Johnson argued, the more violent demonstrators rush to the scene.

""And then before we knew it, the crowd was 100. Now it’s 200. Now it’s 300,"" Johnson said. ""And now those criminals began to start throwing things out of the crowd that was standing within the media.""

Johnson was recently named to manage the police response to the protests, which began when 18-year-old Michael Brown was shot and killed during an Aug. 9 encounter with police. The demonstrations have also resulted in an aggressive police crack down. Officers have repeatedly arrested journalists covering the event, including {four reporters and photographers}<hyperlink=”http://talkingpointsmemo.com/livewire/four-more-journalists-arrested-monday-ferguson”> Monday night.

Johnson also made sure to praise another segment of the media — but ""not all,"" he was sure to note — which he felt has been doing its job responsibly.

""We had a number of journalists — and not all, I want to say that now — the journalists have been on our side, they have been our partners in reporting,"" he said. ""You know I get home each morning, I look at the news and I am really grateful to the media for what they’ve done.""",0,NA,NA,NA
Chron,chron4,http://www.chron.com/default/article/Ferguson-Police-Call-For-End-To-Night-Protests-5686265.php,Ferguson Police Call For End To Night Protests After Shooting,Colin Campbell ,08/13/2014,02/16/2016,"The Ferguson, Missouri police department is calling on residents to cease protesting during the night after increasingly raucous protests and a military-style response from the police have left parts of the city {reminiscent of a war zone}<hyperlink=”http://www.businessinsider.com/police-militarization-ferguson-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”>.

""We ask that any groups wishing to assemble in prayer or in protest do so only during daylight hours in an organized and respectful manner. We further ask all those wishing to demonstrate or assemble to disperse well before the evening hours to ensure the safety of the participants,"" the police statement said.It was the first statement since the Michael Brown, an unarmed African-American teen, died after an encounter with the police last Saturday. The death has led to a round of racially-charged protests as police, armed in camo gear and military-style rifles, have cracked down on the demonstrators.The Ferguson police blamed the disruption on ""those who wish to co-opt peaceful protests.""

""Unfortunately, those who wish to co-opt peaceful protests and turn them into violent demonstrations have been able to do so over the past several days during the evening hours. These events are not indicative of the City of Ferguson and its residents,"" the statement continued. ""We look forward to your cooperation and support.""

The full statement, {via KMOV reporter}<hyperlink=”https://twitter.com/LauraKHettiger/”> Laura Hettiger, can be viewed below:

""The City of Ferguson mourns the loss of Michael Brown’s life that occurred this past Saturday. We understand members of our community, and those nationwide, are grieving with us. We have worked diligently to provide an opportunity for our residents to both grieve and voice frustrations through prayer vigils and peaceful protests.

We would like to extend our gratitude to the St. Louis County Police Department, the St. Louis City Police Department, the Missouri Highway Patrol, and numerous local law enforcement agencies for their assistance over the past several days. These officers have worked throughout the night to quell violent outbursts and restore calm to our City.

We are working to restore confidence in the safety of our community and our neighborhoods so that we may begin the healing process. We have heard the community’s cries for justice and assure the public that the Ferguson Police Department will continue to cooperate fully in the investigations led by the St. Louis County Police Department, the Federal Bureau of Investigation, and the Justice Department.We ask that any groups wishing to assemble in prayer or in protest do so only during daylight hours in an organized and respectful manner. We further ask all those wishing to demonstrate or assemble to disperse well before the evening hours to ensure the safety of the participants and the safety of our community. Unfortunately, those who wish to co-opt peaceful protests and turn them into violent demonstrations have been able to do so over the past several days during the evening hours. These events are not indicative of the City of Ferguson and its residents.

The City of Ferguson has been through tough situations in the past, albeit nothing to this magnitude, but will continue to display resilience and fortitude. The Mayor and City Council are committed to taking the necessary steps to rebuild and strengthen our community. We look forward to your cooperation and support.""",0,NA,NA,NA
Chron,chron5,http://www.chron.com/default/article/CNN-s-Jake-Tapper-Is-Verbally-Disgusted-By-The-5697058.php,CNN's Jake Tapper Is Verbally Disgusted By The Police's Show Of Force In Ferguson,Brett LoGiurato,08/18/2014,02/16/2016,"""CNN's Jake Tapper became verbally exasperated on air late Monday night, as protesters and police engaged in a standoff in a {third consecutive night of tension in Ferguson}<hyperlink=”http://www.businessinsider.com/ferguson-curfew-violence-protests-michael-brown-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”>, Missouri. 

Tapper displayed a sense of disgust when describing the overall absurdity of the situation, especially the police's show of force toward protesters who didn't appear to be doing anything threatening. He twice compared the situation to times he reported from a war zone in Afghanistan.

""""The protesters have moved all the way down there,"""" Tapper said on air, pointing to a clear distance between police and protesters.  """"Nobody is threatening anything. Nobody is doing anything. None of the stores here that I can see are being looted. There is no violence.""""

Tapper then took his cameraman to examine the police's show of force.

""""Now I want you to look at what is going on in Ferguson, Missouri — in downtown America, OK?"""" he said. """"These are armed police, with semi-automatic rifles, with batons, with shields, many of them dressed for combat.

""""Now why they’re doing this? I don’t know. Because there is no threat going on here. None that merits this. There is none, OK? Absolutely there have been looters. Absolutely, over the last nine days there's been violence. But there is nothing going on on this street right now that merits this scene out of Bagram. Nothing.

""""So if people wonder why the people of Ferguson, Missouri, are so upset, this is part of the reason. What is this? This doesn’t make any sense.""""

Monday night was the first in three nights that there wasn't a midnight curfew in Ferguson, after {Missouri Gov. Jay Nixon (D) lifted it earlier in the day}<hyperlink=”http://www.businessinsider.com/ferguson-curfew-violence-protests-michael-brown-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”>. Nixon also announced he sent members of the National Guard to Ferguson in an attempt to """"provide protection"""" and ensure the safety of a police command center in the town.

The curfew imposed by Nixon had re-ignited violence in the town after relative calm during the latter portion of the week. Ferguson, a St. Louis suburb, has been the {site of racially charged protests}<hyperlink=”http://www.businessinsider.com/ferguson-curfew-violence-protests-michael-brown-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”> since the Aug. 9 shooting of 18-year-old Michael Brown by Ferguson police officer Darren Wilson.

Watch video below, {via @Jose3030}<hyperlink=”https://twitter.com/jose3030/”>:""",0,NA,NA,NA
Chron,chron6,http://www.chron.com/default/article/FOX-NEWS-Ferguson-Protesters-Forgetting-MLK-s-5689952.php,FOX NEWS: Ferguson Protesters 'Forgetting MLK's Message',Colin Campbell ,08/14/2014,02/17/2016,"During a {""Fox & Friends""}<hyperlink=”http://video.foxnews.com/v/3729748748001/should-protesters-in-ferguson-take-page-from-mlk/?playlist_id=930909787001#sp=show-clips”> interview on the ongoing protests in Ferguson, Missouri, Fox News channel ran a headline declaring that the predominately African-American demonstrators were ""FORGETTING MLK'S MESSAGE.""

In the Thursday interview, civil rights icon Martin Luther King's niece, Alveda King, strongly criticized any violence in the protests, which have {ravaged the city}<hyperlink=”http://www.businessinsider.com/eric-holder-ferguson-police-should-consider-becoming-more-racially-diverse-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”> since 18-year-old Michael Brown was shot and killed during a police encounter last weekend.

""There must be justice, absolutely. This action is wrong. I am so saddened by seeing our young people attacked like this. African-American young men need to live and not die,"" King said. ""I think this is tragic. We must pray. But we must be peaceful. We must be nonviolent.""

Co-host Brian Kilmeade remarked that he was disappointed the demonstrators had not yet embraced the concept of peaceful protests.

""That is your message,"" he told her. ""Unfortunately so far we have not seen that message play out.""",0,NA,NA,NA
Chron,chron7,http://www.chron.com/default/article/These-Maps-Tracking-Botched-Raids-Show-The-5696599.php,These Maps Tracking 'Botched' Raids Show The Troubling Law Enforcement Trends Culminating In Ferguson,Jeremy Bender,08/18/2014,02/17/2016,"""The Ferguson, Missouri police department's heavy-handed response to protests over the killing of an unarmed teenager follows a long-standing trend of strong-arm, military-style police tactics. 

Journalist Radley Balko, now with the Washington Post, covered the """"militarization of the police"""" in his 2013 book """"{Rise of the Warrior Cop}<hyperlink=”http://www.amazon.com/Rise-Warrior-Cop-Militarization-Americas/dp/1610394577/ref=sr_1_1?ie=UTF8&qid=1408389631&sr=8-1&keywords=warrior+cop”>."""" Balko also helped produce an interactive map online at the {CATO Institute}<hyperlink=”http://www.cato.org/raidmap”>, which records instances of botched paramilitary police raids across the nation. Both SWAT and paramilitary police actions are included in his research. 

Balko deems a raid as being """"botched"""" when it is conducted on an innocent suspect, results in the death or injury of a police officer or nonviolent offender, targets a doctor or a sick person, or otherwise involves excessive force. 

Examples of paramilitary police excess include the use of a flash grenade that caused burns on a toddler, the deaths of household pets, and numerous other violent and non-violent examples of police abuse.

Balko's interactive map spans from 1985 to 2014. Here are some of its more interesting findings — evidence that America's police forces were taking on a more military character long before events in Ferguson brought the issue to the national stage.""",0,NA,NA,NA
Chron,chron8,http://www.chron.com/default/article/Eric-Holder-Orders-Federal-Medical-Examiner-To-5694153.php,"Eric Holder Orders Federal Medical Examiner To Take Another Look At Ferguson, Missouri Teen's Death",Colin Campbell ,08/17/2014,02/17/2016,"""U.S. Attorney General Eric Holder has taken another step in his investigation into the shooting of 18-year-old Michael Brown, whose death has {led to fierce protests}<hyperlink=”http://www.businessinsider.com/state-of-emergency-declared-in-ferguson-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”> in the relatively small city of Ferguson, Missouri.

Holder's office released a statement Sunday morning declaring the """"extraordinary circumstances"""" involved in the case have caused him to order Justice Department officials to perform a second autopsy by a federal medical examiner.

""""Due to the extraordinary circumstances involved in this case and at the request of the Brown family, Attorney General Holder has instructed Justice Department officials to arrange for an additional autopsy to be performed by a federal medical examiner. This independent examination will take place as soon as possible,"""" the statement said.

The St. Louis County Medical Examiner's office has {already examined}<hyperlink=”http://legacy.ksdk.com/story/news/local/2014/08/12/michael-brown-preliminary-autopsy-results/13961385/”> Brown's body, which concluded the young African-American teen had died of gunshot wounds after his encounter with the police just over one week ago. The local community has {rallied since the death}<hyperlink=”http://www.businessinsider.com/state-of-emergency-declared-in-ferguson-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”>, alleging police bias amid an aggressive crackdown on the demonstrations.

Despite the push for a second look at Brown's body, Holder's office said the investigation won't discount the local medical examiner's analysis.

""""Even after it is complete, Justice Department officials still plan to take the state-performed autopsy into account in the course of their investigation,"""" the statement said.""",0,NA,NA,NA
Chron,chron9,http://www.chron.com/default/article/ERIC-HOLDER-The-Amount-Of-Sensitive-Information-5696591.php,ERIC HOLDER: The Amount Of Sensitive Information That's Been Released About Michael Brown Is 'Troubling',Brett LoGiurato,08/18/2014,02/17/2016,"""U.S. Attorney General Eric Holder said Monday evening that he was troubled by the amount of """"sensitive"""" information pertaining to the fatal Aug. 9 shooting of 18-year-old Michael Brown that he said has been """"selectively released"""" over the past week. 

Holder's sentiment came as part of a lengthy statement updating the status of the federal civil rights investigation into the shooting, which took place in the St. Louis suburb of Ferguson, Missouri. He urged patience from the public on the federal investigation, which he said would take time to complete.

""""I realize there is tremendous interest in the facts of the incident that led to Michael Brown’s death, but I ask for the public’s patience as we conduct this investigation. The selective release of sensitive information that we have seen in this case so far is troubling to me,"""" said Holder, who {President Barack Obama announced would travel to Ferguson on Wednesday}<hyperlink=”http://www.businessinsider.com/obama-statement-ferguson-protests-iraq-michael-brown-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”>.

""""No matter how others pursue their own separate inquiries, the Justice Department is resolved to preserve the integrity of its investigation. This is a critical step in restoring trust between law enforcement and the community, not just in Ferguson, but beyond.""""

Ferguson has been the {site of racially charged protests}<hyperlink=”http://www.businessinsider.com/state-of-emergency-declared-in-ferguson-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”> since the Aug. 9 shooting of Brown by Ferguson police officer Darren Wilson. Clashes between protesters and police had calmed as the week {progressed but ramped up again over the weekend}<hyperlink=”http://www.businessinsider.com/ferguson-protests-mike-brown-shooting-curfew-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”>.

Holder said the Justice Department began conducting its federal autopsy of Brown's body on Monday, which he said was being performed by """"one of the most experienced medical examiners in the United States military."""" Holder announced Sunday that the federal government would conduct its own autopsy, hours before Brown's family released an autopsy conducted on their behalf. That autopsy showed Brown was {shot at least six times, including at least twice in the head}<hyperlink=”http://www.businessinsider.com/michael-brown-ferguson-arrest-autopsy-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”>.

Holder also said that as part of the investigation, more than 40 FBI agents continued conducting new interviews and canvassing the neighborhood where Brown was shot. Holder said that as part of his trip to Ferguson on Wednesday, he intends to meet with FBI investigators and other federal law-enforcement officials.

Two days ahead of his trip, Holder urged calm from both law-enforcement officials and protesters in Ferguson. """,0,NA,NA,NA
Chron,chron10,http://www.chron.com/default/article/Taser-Shares-Are-Going-Nuts-And-Analysts-Are-5696330.php,Shares Of The Company That Makes Wearable Police Cameras Go Bonkers Again (TASR),Myles Udland,08/19/2014,02/17/2016,"""Shares of TASER International rallied for the third straight day on Tuesday, climbing 9% as Ferguson, Missouri officials announced they would raise funds to secure dash and vest cams for Ferguson police officers.

TASER International makes wearable police cameras, and in the last five trading days, the stock has gained 30%.

A {Bloomberg report last Friday}<hyperlink=”http://www.bloomberg.com/news/articles/2014-08-15/taser-gains-as-shooting-spurs-calls-for-police-cameras”> quoted an analyst who said that shares of TASER were trading higher on speculation that more officers will be wearing cameras, saying the advance is, """"directly related to what's happening in Missouri.""""

On Monday, TASER shares gained 5%, which followed a more than 9% gain on Friday. 

Tuesday's advances comes after an announcement by Ferguson officials, {posted by The Wire}<hyperlink=”http://www.thewire.com/national/2014/08/city-of-ferguson-pledges-to-foster-diverse-police-force-and-vest-cameras/378778/”>, comes after {another tough night in Ferguson on Monday}<hyperlink=”http://www.businessinsider.com/ferguson-protests-police-tear-gas-michael-brown-shooting-death-2014-8?utm_source=hearst&utm_medium=referral&utm_content=allverticals”>, which saw police fire several rounds of tear gas and stun grenades into a crowed of protestors.""",0,NA,NA,NA
