Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
Essence,ess1,http://www.essence.com/2014/08/12/how-media-missed-mark-coverage-michael-brown%E2%80%99s-killing,How the Media Missed the Mark in Coverage of Michael Brown’s Killing,Nikole Hannah-Jones,08/12/2014,05/04/2016,"On Saturday, August 9, the national media began to report on an unarmed black teenager killed by the police in Ferguson, Mo., a small, predominately Black suburban St. Louis town. Michael Brown was an 18-year-old shot down two days before he was supposed to start college. The police officer who killed him is {part of a law enforcement agency currently being investigated}<hyperlink=”http://www.stltoday.com/news/local/crime-and-courts/naacp-files-civil-rights-complaint-against-st-louis-county-police/article_5e3ddfee-b883-55a1-bf08-948f74c96e47.html”> for civil rights violations. It’s the type of story the media should devour.

Yet by Monday morning, the national coverage was dominated not by hard-hitting reporting of how a weaponless young man walking down the street could be shot multiple times by law enforcement, but of scenes of Black residents looting items from store shelves and a burned-out convenience store set aflame by rioters in response to the teen’s killing.

The coverage since Monday has obsessed about the rioting. Nearly every story I saw about Brown’s death yesterday led with unidentified Black men and women grabbing loot, not with photos or video of Brown or his grieving family, or of the peaceful protests outside the Ferguson law enforcement building.

As a journalist, I get it. The images of the rioting were gripping. But coverage of the riots should not overshadow the cause of the riots. The real story has taken a backseat to the sensational.

A young Black man lost his life in a confrontation with police under very controversial circumstances. Ferguson is policed by a {nearly all-White police force}<hyperlink=”http://www.reuters.com/article/us-usa-missouri-shooting-idUSKBN0GA0Q420140812”>. This context has been missing in too many of these stories. And in the eyes of many people commenting on social media, this type of reporting has rendered the destruction of property more important than the destruction of Black life.

Our nation has long history of riots in impoverished Black communities after instances of perceived police brutality and misconduct. It also has a long history of mainstream media sensationalizing them. In 1968, {the Kerner Commission}<hyperlink=”http://historymatters.gmu.edu/d/6545/”>, a panel convened by President Lyndon B. Johnson to study the causes of three years of urban riots, released its report. It called out mainstream media’s role in stirring the flames:
""We have found a significant imbalance between what actually happened in our cities and what the newspaper, radio and television coverage of the riots told us happened,"" the commission wrote. The media ‘sensationalized the disturbances, consistently overplaying violence and giving disproportionate amounts of time to emotional events.’

Many of the inaccuracies of fact, tone and mood were due to the failure of reporters and editors to ask tough enough questions about official reports, and to apply the most rigorous standards possible in evaluating and presenting the news. Reporters and editors must be sure that descriptions and pictures of violence, and emotional or inflammatory sequences or articles, even though ‘true’ in isolation, are really representative and do not convey an impression at odds with the overall reality of events.’”
Forty-six years later, we are repeating those mistakes. 

The reporting thus far has offered no tallies of the destruction. We don’t know how many businesses were destroyed or looted, whether the destruction was limited or widespread. Were most of the Ferguson protestors participating, or just a few? Facts are always critical in reporting, but even more so in stories so rife with racial tension.

The anger in Ferguson is fueled by rumors that Brown was shot in the face, in the back, and that he’d had his hands raised in the air when law enforcement opened fire. Yet somehow, with all the national reporters on the ground in Ferguson covering the vandalism and looting, we still do not know basic facts about how this recent high school graduate ended up dead at the hands of police. We still do not know the name of the officer who killed Brown. We still don’t know why police stopped Brown in the first place. We don’t even know how many times the teen was shot.

What we have gotten, largely is the official police version of what happened: There was a confrontation, Brown tried to grab an officers gun, a shot was fired in the police car, Brown ran and a police officer shot him, according to St. Louis Police Chief Jon Belmar, {“more than a couple of times.” }<hyperlink=”http://newsnyork.com/st-louis-police-chief-says-fight-over-cops-gun-led-to-fatal-shooting-of-unarmed-teen/”> The reliance on law enforcement to provide the official record of a shooting it was involved in is highly problematic. Over and over again, we’ve seen the first reports on police shootings contain errors or just be plain wrong. For instance, in the July death of Eric Garner in New York, {an internal police report did not mention the chokehold used on Garner and said that Garner was not in “great distress.” }<hyperlink=”http://www.nydailynews.com/new-york/exclusive-internal-nypd-report-staten-island-dad-not-mention-chokehold-article-1.1875221”> Video of the incident, which surfaced after police wrote the report, showed not only officers using a chokehold, but Garner yelling that he couldn’t breathe before going completely still. 

Good reporting could deepen the sense of injustice felt in Ferguson and across the nation, or could explain that which at this point makes no sense. 

The shooting happened in a street in the daytime. There is also cell phone video. Good reporters are adept at getting law enforcement to talk off the record. The coroner should have examined Brown’s body by now. There are witnesses. This morning, {MSNBC published}<hyperlink=”http://www.msnbc.com/msnbc/eyewitness-michael-brown-fatal-shooting-missouri”> a devastating interview with the friend who was with Brown at the time. 

If the media weren’t so focused on images of lawlessness, we’d know more about this case. Far more important than the spontaneous outbursts of angry people is the potential story of official misconduct and racially biased policing that ended in a death. Reporters should be demanding answers. A kid lost his life. What story is more important than that?",0,NA,NA,NA
Essence,ess2,http://www.essence.com/2014/08/10/st-louis-fatal-police-shooting-unarmed-teen-michael-brown,"St. Louis Community Reacts to Fatal Police Shooting of Unarmed Teen, Michael Brown",Yolanda Sangweni,08/10/2014,05/04/2016,"Hundreds of residents in Ferguson, St. Louis gathered on the streets last night to protest the fatal shooting of Michael “Mike, Mike” Brown, who was shot by a police officer. 

Brown was unarmed. 

The 18-year-old recently graduated from high school and was preparing to start classes at Vatterott College on Monday, reports the {St. Louis Post Dispatch}<hyperlink=”http://www.stltoday.com/news/local/crime-and-courts/calm-returns-to-scene-of-ferguson-shooting/article_04e3885b-4131-5e49-b784-33cd3acbe7f1.html”>.

Brown’s mother, Lesley McSpadden, said the shooting occurred as her son walked to his grandmother’s house. A witness said she saw an officer trying to place Brown into a squad car. The teen then attempted to flee, at which point the officer shot him as he ran. 

“He (the officer) shot again and once my friend felt that shot, he turned around and put his hands in the air,” {said}<hyperlink=”http://newsone.com/3042999/missouri-crowd-after-shooting-kill-the-police/”> Brown’s friend, Dorian Johnson, who said he was with the slain teen when the shooting occurred. 

“He started to get down and the officer still approached with his weapon drawn and fired several more shots.” 

The shooting ignited protests in the predominantly Black suburb outside of St. Louis as residents confronted officers, reportedly shouting, “Kill the police.”

Brown’s stepfather, Louis Head, could be seen holding {a sign}<hyperlink=”https://www.instagram.com/p/rfXZtyirhl/?modal=true”> that read: “Ferguson police just executed my unarmed son!!!”

“We are hurt to hear that yet another teenaged boy has been slaughtered by law enforcement especially in light of the recent death of Eric Garner in New York who was killed for selling cigarettes,” St. Louis County NAACP President Esther Haywood said in a statement. “We plan to do everything within our power to ensure that the Ferguson Police Department as well as the St. Louis County Police Department releases all details pertinent to the shooting.”

The Ferguson Police Department has yet to release the officer’s name, but Chief Tom Jackson {said}<hyperlink=”http://www.kmov.com/news/local/Heavy-police-presence--270609091.html”> he has been put on paid administrative leave.",0,NA,NA,There's a photo that doesn't show up and instead says “content unavailable”
Essence,ess3,http://www.essence.com/2014/08/19/essence-poll-do-you-respect-celebrities-more-when-they-speak-about-social-issues,ESSENCE Poll: Do You Respect Celebrities More When They Speak Up About Social Issues?,Lauren Turner,08/19/2014,05/04/2016,"A week after the tragic events surrounding Michael Brown's death, celebrities are stepping up to show their support. Rapper  J. Cole wrote a song titled ""Be Free"" in {honor of Brown}<hyperlink=”http://www.essence.com/2014/08/18/lebron-james-announces-daughters-name”> and all of the others slain by the police. Grey's Anatomy star Jesse Williams spoke up for Brown on CNN. {Keke Palmer}<hyperlink=”http://www.philly.com/philly/blogs/entertainment/celebrities_gossip/20140817_WENN_Keke_Palmer_and_J__Cole_show_support_to_protesters_in_Missouri.html”>, J. Cole and {Nelly}<hyperlink=”http://www.usatoday.com/media/cinematic/video/14275719/nelly-joins-protesters-in-ferguson-missouri-usa-now/”> traveled to Ferguson, to take part in protests and listen to the protestor's stories. 

Of course, this isn't the first time celebs have gone beyond their tweets to show support. Last year, the Trayvon Martin case sparked cries of outrage, and support for his family, from {a myriad of celebrities}<hyperlink=”http://www.essence.com/galleries/celebrity-reactions-trayvon-martin-tragedy”>. As far back as the civil rights era, entertainers like Harry Belafonte, Ossie Davis and Ruby Dee stood at the forefront with Dr. Martin Luther King, Jr. and Malcolm X. 

Most often, their support is appreciated, but to some critics, it feels like celebrities are overstepping their boundaries when they speak up. Do you respect them more when they suppport social issues? Or do you think it just complicates things? Take our poll and share your thoughts with us.",0,NA,NA,NA
Essence,ess4,http://www.essence.com/2014/08/14/howard-university-students-join-dont-shoot-protest,Howard University Students Join 'Don't Shoot' Protest,Sylvia Obell,08/14/2014,05/04/2016,"Howard University students came together yesterday to lend their voices — and hands — to the ""don't shoot"" {demonstrations}<hyperlink=”https://twitter.com/search?q=%23DontShoot&src=typd”> taking place both in Ferguson and on social media (#dontshoot) in response to the fatal shooting of Michael Brown.

According to an eyewitness, Brown was holding his hands up in the air yelling ""don't shoot"" when the police officer took his life on August 9.

""Powerful picture we took today at Howard University #DONTSHOOT,"" {tweeted}<hyperlink=”https://twitter.com/The_Blackness48/status/499714499688300545/photo/1”> Howard University student Megan Sims following a rally on campus on Wednesday.",0,NA,NA,NA
Essence,ess5,http://www.essence.com/2014/08/19/5-ways-extend-your-twitter-activism-mike-brown,5 Ways to Extend Your Twitter Activism for Mike Brown,Lauren N. Williams,08/19/2014,05/04/2016,"Janaye Ingram, acting executive director of the National Action Network, spoke to ESSENCE.com about how civilians around the country can get involved in the movement happening in Ferguson.

Donate money to Mike Brown’s family. “The family is accepting donations at {http://www.gofundme.com/justiceformikebrown}<hyperlink=”https://www.gofundme.com/justiceformikebrown”>. What they’re facing, in pursuit of justice for their son, is going to take a toll on their finances. They’ll have to be out of work when (and I’m going to say “when”) this officer goes to trial. We absolutely should lift up the family during this time.”

Send medical supplies to Ferguson for the protestors on the ground. “We’re seeing a lot of images of police using tear gas on civilians. The people who are standing in protest will need medical care—maybe not a hospital visit, but some way to treat themselves. For instance, people are using milk to help deal with the tear gas. People can send medical supplies to the church where NAN is operating.”

The Flood Christian Church
Attn: Rev. Carton Lee
National Action Network
7413 W. Florissant Avenue
St. Louis, MO 63136

3. Organize a protest in your own community. “We know people have jobs and can’t travel for a variety of reasons. But they can show solidarity by organizing peaceful protests in their own communities.”

4. Stay involved on social media. “There are a lot of images coming out of Ferguson. Continue to post them, along with news articles, to show people that this is an ongoing issue. Not everyone wakes up and turns on the news—they tap into social media first. It’s a way to keep people informed even though we all can’t be there.”
5. Train people in your neighborhood on how to interact with police. “Mike Brown and a lot of other cases, including Eric Garner, have shown us that even if you think you’re doing the right thing, it can be interpreted as something totally different. How should people respond? There should be some engagement with law enforcement. Figure out if there’s a community outreach representative in the police department that can engage and help deal with racial profiling and inherent bias. We shouldn’t just wait until the next incident happens to start having those conversations.”",0,NA,NA,NA
Essence,ess6,http://www.essence.com/2014/08/18/retired-nypd-sergeant-speaks-michael-brown-eric-garner-and-ending-police-brutality,"Retired NYPD Sergeant Speaks On Michael Brown, Eric Garner, and Ending Police Brutality",Sylvia Obell,08/18/2014,05/04/2016,"Noel Leader spent more than two decades as an officer in the NYPD. During his career, he experienced firsthand the racial tensions that exist between law enforcement officers and the Black communities they serve. In 1995, Leader co-founded 100 Blacks In Law Enforcement Who Care, as a way to give back to the neighborhoods he felt were being abused and misguided. Here, we talk to Leader about police brutality and what this country must do to improve relations between African-Americans and the police.

ESSENCE.com: What are your thoughts on the Mike Brown and Eric Garner cases? 

NOEL LEADER: In both cases, the police violated what is supposed to be our number one priority—the preservation of human life. Unfortunately, in the case of Mike Brown we don’t know too much, but the community’s response is an indication that they really believe this was unjustified. Fortunately, in the Eric Garner case we have a video of the police using a chokehold—an unlawful tactic and a direct violation of the New York Police Department guidelines—and are able to see exactly what happened. Had it not been for videotape, the official police explanation probably would have read: “There was an attempt to make an arrest, the individual resisted, and he succumbed to previous medical problems, i.e. asthma, heart attack, etc.”

ESSENCE.com: What needs to happen in federal law to forbid situations like these from happening again? 

LEADER: The primary thing that has to happen is for these officers to get prosecuted. You have to send a message that excessive force will not be tolerated. The government needs to not only take them to trial, but to convict and to sentence them when it is apparent that they have violated the primary objective of each police agency—to preserve human life. 

ESSENCE.com: The scene in Ferguson looks like a war zone. We’ve seen images of police in military body armor, armed with rifles, riding around in armored vehicles, using tear gas, etc. Do you think that police squads have become militarized? 

LEADER: I don’t think they have, I know they have.... The response of these public servants to a civilian population is preposterous. 

ESSENCE.com: What are your thoughts on the overall relationship between the Black community and police? 

LEADER: The problem isn’t with the Black community; the problem is with the police force and their treatment of the Black community. People don’t hate police if they do their job and save civilians from harm. The problem begins when officers aren’t public servants, but become an occupying force. They become disrespectful, abusive—that’s what the community hates. Officers who act that way need to be terminated. Police departments also need to reflect their community. In Ferguson the community is 65 percent Black and the police department only has three Black police officers. That shouldn’t be tolerated.

ESSENCE.com: How has 100 Blacks In Law Enforcement Who Care worked to repair that relationship?

LEADER: It was important for the people to hear from Black police officers. We often feel the same way as our community, because we still have family members who are or could be subjected to police mistreatment. So we work in Black neighborhoods to get criminals off the street. We hold workshops to teach youth how to react when they’re pulled over or detained by police. We also try to get the facts out to the public when we know they’re being fed misinformation about high-profile cases. Every person is a potential juror.

ESSENCE.com: What will it take to end the unrest in Ferguson?

LEADER: Justice. If you have justice, then you’ll have peace. If you want this to stop, give the people justice.",0,NA,NA,NA
Essence,ess7,http://www.essence.com/2014/08/12/michael-browns-parents-never-thought-wed-be-planning-funeral,Michael Brown's Parents: 'Never Thought We'd 'Be Planning a Funeral',Sylvia Obell,08/12/2014,05/04/2016,"Michael Brown's mother Lesley Lesley McSpadden says she’s doing the best she can to cope with the shooting of her unarmed son, Michael Brown, by a police officer in Ferguson, Missouri this past weekend. Brown’s parents made their second TV appearance last night for an interview with CNN’s Don Lemon. 

In what Lemon himself described as heartbreaking interview, McSpadden and Brown's father, Michael Brown, Sr, described the slain teen as their best friend and a sweet loving person who worked hard to finish high school.

""He was spending the summer at his grandmother's house. Never did we think we would be planning a funeral, we were waiting on his first day of school, they robbed us of that,"" she said before breaking down in tears.

Brown Sr. described the loss of his son as hard. 

“He was my best friend too,” he said.",0,NA,NA,NA
Essence,ess8,http://www.essence.com/galleries/star-gazing-81914,STAR GAZING 8.19.14,NA,08/19/2014,05/04/2016,NA,0,NA,NA,"This one is kind of weird. There's no article text, but there is a title; it just looks like it's the title of a gallery"
Essence,ess9,http://www.essence.com/2014/08/13/eyewitness-details-michael-browns-shooting,Eyewitness Details Michael Brown's Shooting,Sylvia Obell,08/13/2014,05/04/2016,"Dorian Johnson, 22, told {MSNBC}<hyperlink=”http://www.msnbc.com/msnbc/eyewitness-michael-brown-fatal-shooting-missouri”> Tuesday that he and Michael Brown were walking down the street when an officer pulled up to them and demanded they “get the f— on the sidewalk” last Saturday.

Johnson is the closest witness to the altercation between Brown and an officer that led to the 18-year-old’s shooting death down just two days before he was to start college.

Johnson said he and Brown told the police officer, whose name has not been released, that they were close to their destination and then attempted to continue toward Johnson’s apartment nearby.  

By Johnson’s account, the officer then reversed his car toward them asking them to repeat what they said while pushing his car door open.  He then grabbed Brown by the neck and the two engaged in a “tug of war,” which Johnson claims consisted of the officer pulling on Brown’s shirt as Brown attempted to pull away. 

It was then that Johnson saw the officer pull out his gun and shoot Brown in his right side. He then released Brown who took off running along with Johnson, who managed to duck behind a row of cars before seeing Brown get shot a second time in the back. 

Johnson said Brown stopped running, turned around with his hands up in the air and said, ‘I don’t have a gun, stop shooting!’ However, the officer still shot Brown several more times.

“After seeing my friend get gunned down, my body just ran,” said Johnson, who retreated to his apartment following Brown’s killing.

Johnson said he returned to the scene five minutes later and saw Brown dead in the middle of the street surrounded by a growing crowd of neighbors who were shouting and taking photos with their cell phones.

Johnson’s eyewitness account is crucial in an investigation where no police car dash camera was used, and one involved party cannot defend himself because he is dead. But according to Johnson’s attorney, former mayor of St. Louis, Freeman Bosley, Jr., the Ferguson police have declined Johnson’s offer to speak to them.

The FBI is assisting in the investigation and looking into possible civil rights violations in the shooting of Brown. ",0,NA,NA,NA
Essence,ess10,http://www.essence.com/2014/08/15/essence-poll-what-was-your-best-mistake,"ESSENCE Poll: What Was Your ""Best Mistake""?",Lauren Turner,08/15/2014,05/04/2016,"Mistakes aren't usually good things. We regret them, try not to mention them and put them on our list of ""worst mistakes"" ever made. 

Usher was {recently talking}<hyperlink=”http://www.eonline.com/news/569261/usher-s-best-mistake-was-getting-married-at-28”> about his marriage, and subsequent divorce, saying that it was the best mistake he's ever made. ""Most people probably think I regret it because I ended up getting divorced, but it helped me learn that sometimes I think I know more than I actually do,"" said Usher. 

When put that way, there are plenty of ""best mistakes"" that can be made everyday. Things that aren't usually seen as good, but have a totally positive impact on your life.

What was your ""best mistake""? Leave your comments below and tell us about your mistake gone right.",0,NA,NA,NA
