Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
EurWeb,eur1,http://www.eurweb.com/2014/08/nelly-not-down-with-ferguson-protesters-creates-mike-brown-scholarship-program/,Nelly & T.I. Not Down with Ferguson Protesters,EurPublisher,08/17/14,06/15/16,"What a difference a day makes.

It was just 24 hours ago that {Black Twitter}<hyperlink=""http://www.eurweb.com/2014/08/beanie-sigel-released-from-prison-black-twitter-blasts-nelly/""> was going in on St. Louis rapper {Nelly}<hyperlink=""http://www.eurweb.com/tag/nelly/""> for being MIA as far as what’s going on with the Mike Brown situation.

Like we said, that was then. Now he has something to say such as folks in Ferguson may have jumped the gun by protesting too early, contributing to the violence.

“I understand the frustration, but we have to strategize before we overreact,” the “Country Grammar” performer told {TMZ.}<hyperlink=""http://www.tmz.com/#ixzz3AdCOKiF0""> “We don’t get no do-over on sh*t like this, so we have to do it right the first time.”

“Ain’t nothing happen no different that hasn’t been happening … At the end of the day, we should have waited to strategize first and take all the right steps to organize,” added Nelly.

T.I. is chiming in as well with his thoughts on the subject and would you believe, he’s on the same page as Nelly:

“We needed to play chess instead of checkers. We should have waited to see if justice was going to be served first … We shouldn’t have played our strongest hand first.”

Nelly says he wants to do something constructive, so he’s starting a scholarship fund in Michael Brown’s name. So he, along with T.I., Kevin Hart and NBA star Al Jefferson are the first 4 celebs to pledge $15,000 a year in college tuition to teens chosen by the Brown family.",29,703,St. Louis Rapper Creates Mike Brown Scholarship Program,NA
EurWeb,eur2,http://www.eurweb.com/2014/08/robbery-in-ferguson-mo-relevant-to-mike-brown-homicide-case-says-law-professor/,"Robbery in Ferguson, MO, Relevant to Mike Brown Homicide Case Says Law Professor",EurPublisher,08/18/14,06/15/16,"WASHINGTON, D.C.  — Although some have denounced the release of a videotape of the homicide victim apparently engaging in a robbery just minutes before he was shot dead by a police officer in Ferguson, MO, as unfair, irrelevant, and even racist, this evidence could be directly relevant in any homicide trial which might later occur, suggests public interest law professor John Banzhaf.

It appears that the officer who did the shooting will argue that Mike Brown attacked him and even tried to take his gun – a version unlikely to be believed if Brown was just a typical innocent teen walking down the street.

But if, as the videotape seems to show, he had just committed a brazen daytime “strong-arm” robbery, a jury is much more likely to believe that his concern over being apprehended and convicted of a felony would provide a very strong motivation to attempt to extricate himself, even if it involved the grave risk of confronting an armed police officer.

Indeed, the fact the Brown apparently committed the robbery in broad daylight, and made no attempt to flee or hide, could suggest a brazen recklessness, and a disregard for his own safety and for the safety of others, including a police officer, suggests Banzhaf.

The videotape of the robbery will also tend to discredit any testimony which might be provided by the closest eye witness, Dorian Johnson, should he seek to testify against the officer. As a general rule, juries are much more likely to distrust the testimony of people whom they know to be criminals.

If, as it appears, Johnson was actually an accomplice in the very felony which gave Brown a strong motive to flee, he might well be completely discredited as a witness for the prosecution.

Although – according to one statement allegedly made by the police chief in Ferguson – the officer who shot Brown was not aware of the robbery at the time of the incident, the chief is also alleged to have claimed later that the officer was in fact aware of the robbery when he stopped the teen.

If so, it is possible that the officer suspected Brown of having committed the robbery, either based upon a description of the perpetrator and/or if the officer saw cigars in Brown’s hand.

That would strengthen an argument that the officer reasonably believed that Brown posed a serious threat at the time he was shot – i.e., that anyone who would pull off a brazen strong-arm robbery in broad daylight should be considered quite dangerous, especially given his great size and apparent strength.

It is also possible that, as in too many murder cases, defense lawyers will try to put the victim on trial; suggesting, even if indirectly, that he somehow deserved his fate and/or brought the tragedy upon himself by committing a crime.

While certainly not a valid legal argument, it is entirely possible that at least one juror could be persuaded to feel that way and, exercising his legal right under the well established doctrine of jury nullification, refuse to convict.

In short, says Banzhaf, while not defending either the officer or the police chief, there may be valid legal reasons making the videotape of the robbery relevant, and perhaps even important evidence.",0,12,"Tape of Crime Could Support Officer's Claim, and Discredit Key Witness",NA
EurWeb,eur3,http://www.eurweb.com/2014/08/obama-sending-holder-to-ferguson-plugs-my-brothers-keeper-watch/,Obama Sending Holder to Ferguson; Plugs ‘My Brother’s Keeper’ (Watch),EURPublisher01,08/18/14,06/15/16,"President Barack Obama announced Monday that Attorney General Eric Holder will travel to Ferguson, Missouri, on Wednesday, while again calling for calm in the town that has seen protests since the shooting of unarmed teen Michael Brown.

“While I understand the passions and the anger that arise over the death of Michael Brown, giving into that anger by looting or carrying guns, and even attacking the police, only dis-serves to raise tensions and stir chaos, it undermines, rather than advancing justice,” Obama said at a press conference Monday afternoon.

Of the situation, Obama said Ferguson is “rightly hurting,” but called once again for people to “seek some understanding rather than to simply holler at each other.”

“Let’s seek to heal, rather than to wound each other,” the president said.

“I’ve said this before, in too many communities around the country, a gulf of mistrust exists between local residents and law enforcement. In too many communities, too many men of color are left behind and seen only as objects of fear,” Obama said, before pointing to his own initiative, My Brother’s Keeper, which he said is already making significant progress. [Scroll down to listen.]

Holder met with Obama at the White House on Monday to discuss the situation in Ferguson after perhaps the most violent night of demonstrations since the fatal shooting of unarmed 18-year-old.

The president said Holder’s visit to Ferguson would include meeting with investigators and other leaders of the community. In addition to meeting with Holder, Obama said he also spoke to Missouri Gov. Jay Nixon as well as Missouri Sens. Roy Blunt and Claire McCaskill.

Other Obama administration officials in the meeting included White House deputy chief of staff Anita Breckenridge, White House counsel Neil Eggleston and Assistant to the President for Homeland Security and Counterterrorism Lisa Monaco, the report said.

Listen to Obama’s comments on Ferguson in its entirety below:",2,21,NA,NA
EurWeb,eur4,http://www.eurweb.com/2014/08/video-shows-ferguson-police-dumping-michael-browns-body-into-suv-nsfw/,Video Shows Ferguson Police Dumping Michael Brown’s Body into SUV (NSFW),EurPublisher,08/16/14,06/16/16,"August 14, 2014
Elisabeth Parker 
Posted with permission from Americans Against the Tea Party

This chilling video shows the aftermath of Michael Brown's murder, as Ferguson police unceremoniously dump his still-warm body into an SUV.

In the latest vile news about unarmed teenager Michael Brown's terrifying execution by Ferguson, Mo. police - right in front of all the neighbors - comes a YouTube video with police unceremoniously dumping Brown's body into an SUV.

That's right. A sports utility vehicle. No ambulances or justice for black folks in Ferguson. Just shoot first, think later.

Apparently, Ferguson's finest feel so confident in their impunity, and so little respect for the black community, they've got no problem with murdering a child in the street. Even with all the neighbors watching, and using their cell phones to capture photos and video footage of their racist crimes.

A YouTube user with the handle {Law Abiding Citizen}<hyperlink=""https://www.youtube.com/watch?v=5Wt8yEGacIs""> caught the whole thing on video, along with firsthand accounts from those who witnessed Brown's murder.

One outraged woman declared:

""[Police] shoot him all in his face and his chest and everything, I watched the man go down. He just f*cking killed him, period. There was no time to protect himself or nothing. He killed him.""

Another sadly added:

""Police just shot this man for no reason."" 

The video ends with the caption:

Mike Brown was said to have been jaywalking and mouthing the officer involved. But since when has mouthing and jaywalking been punishable by death?

This isn't a white vs. black thing. This is a citizens vs. brutality issue.

Ferguson police dump Michael Browns' body into an SUV.

Here's the video. The contrast between the neighbors' raw and deeply emotional reactions and the police officers' casual cruelty makes it hard to watch… yet hard to stop watching.",1,73,NA,NA
EurWeb,eur5,http://www.eurweb.com/2014/08/gilbert-arenas-blasts-ferguson-rioters-calls-sharpton-a-thot/,Gilbert Arenas Blasts Ferguson Rioters; Calls Sharpton a ‘THOT’,Deron Dalton,08/14/14,06/15/16,"Former NBA star {Gilbert Arenas}<hyperlink=""http://eurweb.com/tag/gilbert-arenas""> criticized Ferguson, Missouri rioters, but most of all, {Al Sharpton.}<hyperlink=""http://eurweb.com/tag/al-sharpton"">
 
As has been reported, rioting and looting broke out in Ferguson after an unarmed black teenager {Michael Brown}<hyperlink=""http://eurweb.com/tag/michael-brown""> was shot to death by police over the weekend.

Arenas argues racism is black on black and not white on black since black folks are robbing each other and burning down their OWN neighborhoods whenever there’s injustice.

“I would like to start off by saying too the family of the victim GOD BLESS#RIPmichealbrown you will be missed: too EVERY African American out there..how dumb are we really???every time we hear some bad news, the first thing we do is #RIOT #ROB #STEAL #BURN sh-t in our OWN neighborhoods..,” he wrote on Instagram.

He added, “this racism fight has never been #blackvswhite, it’s ALWAYS been #blackvsblack from what the stats.. About 10 riots from the black community over the years and the only thing damaged ,was the BLACK COMMUNITY by The BLACK COMMUNITY..only reason they issue riot police isssss just in case you actually got smart enough to walk 6 blocks ,YALL ain’t f-cking up white rich sh-t smdh.”

But Rev. Al Sharpton got the worst of it. Arenas blamed Sharpton for making racial injustices worst. He even called Sharpton an attention-seeking ‘THOT’ (That Hoe Over There).

He wrote; “FAMILiES of the victims pleaseeeeee stop asking #alsharpton to speak or ur behalf,you have a better chance having #caesar the monkey from #planetoftheapes to get justice for you..the stats also show AL coon sharpton has not helped one situation he has protested at,he actually made it worst and because of him the jury goes the other way..”

He continued with: “(think about it) Jena six,trayvon and the list goes back way back..#AL ur like a #THOT in the club,lookn for attention what u said at trayvons rally #enoughisenough ur right were tired of u PRETENDING.”

Arenas isn’t the only one questioning Sharpton’s motives. The Wall Street Journal posed the question of why didn’t he visit Chicago over the weekend after there were 26 deaths. Instead, he flew to St. Louis.

Whenever there is a major case of racial injustice, Sharpton pops up to represent the family.

An Instagram follower questioned what Arenas has done for the black community. His answer is telling:",27,195,NA,NA
EurWeb,eur6,http://www.eurweb.com/2014/08/michael-browns-mom-on-gma-peace-will-come-with-arrest-watch/,Michael Brown’s Mom on GMA: ‘Justice’ Will Restore Peace to Ferguson,EURPublisher01,08/18/14,06/15/16,"The mother of Michael Brown says the officer who shot and killed her son needs to be held responsible in order for peace to return in Ferguson, Missouri.

“Arresting this man and making him accountable for his actions; that’s justice,” Lesley McSpadden said in an exclusive interview with “Good Morning America’s” Robin Roberts.

The St. Louis suburb has been wracked by clashes and violence since Brown’s Aug. 9 death. Brown, 18, was unarmed when he was shot by a Ferguson police officer, identified by the department as Darren Wilson.

McSpadden said she spoke Sunday with Missouri State Highway Patrol Captain Ron Johnson.

“He had a heartfelt message for me, and it was that that could have been his son, and he was sorry, and he’s, like everybody else, supporting and hoping and praying that this doesn’t happen again,” McSpadden said, holding back tears.

A private autopsy performed Sunday at the request of Brown’s family showed that the teen was shot at least six times, including twice in the head, said Shawn Parcells, the medical investigator who performed the autopsy with Dr. Michael Baden.

It’s unclear whether Brown’s arms were raised when he was shot, but he was not shot in the back, despite witnesses’ claims, Parcells told ABC News.

The shooting death of Brown has sparked riots and protests in the St. Louis suburb, a situation that intensified after Ferguson police released video Friday they say shows Brown robbing a convenience store before the fatal shooting.

McSpadden said she was surprised by the video’s release, and that it doesn’t help to explain the shooting that followed.

“I feel like it has nothing to do with what he did to my child. Nothing,” McSpadden said.

Watch the interview below:",1,27,NA,NA
EurWeb,eur7,http://www.eurweb.com/2014/08/missouri-highway-patrol-to-take-over-security-in-ferguson/,Missouri Highway Patrol to Take Over Security in Ferguson,EURPublisher01,08/14/14,06/15/16,"The Missouri State Highway Patrol “will be directing the team that provides security” in Ferguson, Gov. Jay Nixon said today.

Ferguson has “looked a little bit more like a war zone, and it’s not acceptable,” Nixon said during a press conference this afternoon.

Police on Thursday defended their use of tear gas, smoke bombs and “bean bag” bullets to repel demonstrators after another night of chaos over the death of 18-year-old Michael Brown.

St. Louis County police spokesman Brian Schellman said officers on Wednesday night tossed tear gas to disperse a large crowd of protesters after some threw Molotov cocktails and rocks at officers. More than 10 people were arrested in Ferguson. More protests are expected.

Nixon also announced Thursday that the highway patrol unit in the embattled town will be overseen by Capt. Ron Johnson, a native of Ferguson.

At a meeting earlier Thursday with area clergy and activists in the predominantly African-American town of around 20,000, Nixon told the participants of his plans to address the police situation, “I think you will all see a different tone.”

The Democratic governor said he would make it clear that the right of people to protest would not be curtailed as long as they respect the property and person of others.

“If people have things to say, they ought to be able to say them, and if people in the news media want to cover stuff and take pictures, they ought to do it,” he said to applause from the gathering. “We live in a free country.”",0,12,NA,NA
EurWeb,eur8,http://www.eurweb.com/2014/08/sharpton-at-ferguson-rally-dont-loot-in-michaels-name/,Sharpton at Ferguson Rally: ‘Don’t Loot in Michael’s Name’,EurPublisher,08/17/14,06/15/16,"(Via LA Times) – A midnight-to-5 a.m. curfew will remain in effect early Monday in Ferguson, Mo., amid unrest surrounding the police shooting death of Michael Brown, an unarmed, black 18-year-old, officials in the St. Louis suburb announced Sunday afternoon.

Also Sunday afternoon, at a rally in Ferguson, speakers including the Rev. Al Sharpton and Martin Luther King III sounded calls for the nation to respond constructively to the situation by addressing what Sharpton called the militarization of police. Brown was shot and killed Aug. 9 by Ferguson police Officer Darren Wilson, and his death has touched off a weeklong series of protests in the St. Louis suburb.

Community members need to take positive action too, Sharpton said. “Don’t loot in Michael’s name,” he implored, and told residents to wield influence by participating in elections. “You all got to start voting and showing up — 12% turnout is an insult to your children.”

The rally, hosted by Brown’s family, Sharpton’s National Action Network and the National Bar Assn., filled Greater Grace Church and spilled out the door.

Money for Brown’s relatives was raised, and Sharpton announced a class-action lawsuit for people hurt in the demonstrations of the last week.

Missouri State Highway Patrol Capt. Ron Johnson, who took over direction of Ferguson’s security last week, got a standing ovation at the rally. “This is my neighborhood. You are my family, you are my friends, and I am you,” he said. His own son is a young black man who wears sagging pants and has tattoos on his arms, he said. “That’s my baby.”

Read/learn MORE at {LA Times.}<hyperlink=""http://www.latimes.com/nation/nationnow/la-na-nn-ferguson-michael-brown-20140817-story.html#page=1"">

Meanwhile, Attorney General Eric Holder has authorized a second autopsy of Michael Brown.

“Due to the extraordinary circumstances involved in this case and at the request of the Brown family, Attorney General Holder has instructed Justice Department officials to arrange for an additional autopsy to be performed by a federal medical examiner,” Justice Department spokesman Brian Fallon said in a Sunday {statement.}<hyperlink=""https://twitter.com/ryanjreilly/status/501022930269405186/photo/1""> “This independent examination will take place as soon as possible. Even after it is complete, Justice Department officials still plan to take the state-performed autopsy into account in the course of their investigation.”",1,27,Also: A.G. Eric Holder Authorizes Second Autopsy of Michael Brown,NA
EurWeb,eur9,http://www.eurweb.com/2014/08/attorney-general-eric-holder-makes-statement-on-developments-in-ferguson-missouri/,"Attorney General Eric Holder Makes Statement on Developments in Ferguson, Missouri",White House Office of Communications,08/14/14,06/15/16,"WASHINGTON- Attorney General {Eric Holder}<hyperlink=""http://www.eurweb.com/tag/eric-holder/""> released the following statement Thursday following his meeting earlier today with President Obama to discuss the latest developments in Ferguson, Missouri:

“This morning, I met with President Obama to discuss the events in Ferguson, Missouri. Like the President, I extend my heartfelt condolences to the family of Michael Brown. While his death has understandably caused heartache within the community, it is clear that the scenes playing out in the streets of Ferguson over the last several nights cannot continue.

“For one thing, while the vast majority of protests have been peaceful, acts of violence by members of the public cannot be condoned. Looting and willful efforts to antagonize law enforcement officers who are genuinely trying to protect the public do nothing to remember the young man who has died. Such conduct is unacceptable and must be unequivocally condemned.

“By the same token, the law enforcement response to these demonstrations must seek to reduce tensions, not heighten them. Those who peacefully gather to express sympathy for the family of Michael Brown must have their rights respected at all times. And journalists must not be harassed or prevented from covering a story that needs to be told.

“At a time when we must seek to rebuild trust between law enforcement and the local community, I am deeply concerned that the deployment of military equipment and vehicles sends a conflicting message. At my direction, Department officials have conveyed these concerns to local authorities. Also at my direction, the Department is offering – through our COPS office and Office of Justice Programs – technical assistance to local authorities in order to help conduct crowd control and maintain public safety without relying on unnecessarily extreme displays of force. The local authorities in Missouri have accepted this offer of assistance as of this afternoon.

“Department officials from the Community Relations Service are also on the ground in Missouri to help convene law enforcement officials and civic and faith leaders to plot out steps to reduce tensions in the community. The latest such meeting was convened in Ferguson as recently as this morning. Over time, these conversations should consider the role that increased diversity in law enforcement can play in helping to build trust within communities.

“All the while, the federal civil rights investigation into the shooting incident itself continues, in parallel with the local investigation into state law violations. Our investigators from the Civil Rights Division and U.S. attorney’s office in Missouri have already conducted interviews with eyewitnesses on the scene at the time of the shooting incident on Saturday. Our review will take time to conduct, but it will be thorough and fair.”",0,23,NA,NA
EurWeb,eur10,http://www.eurweb.com/2014/08/michael-browns-family-beyond-outraged-at-ferguson-cops-read-full-statement/,Michael Brown’s Family ‘Beyond Outraged’ at Ferguson Cops (Read Full Statement),EURPublisher01,08/15/14,06/15/16,"On Monday, the police chief in Ferguson, Missouri said Michael Brown had been jaywalking before a police officer shot and killed him following a confrontation.

Today, the police chief announced that the unarmed black teen was actually a suspect in a robbery that occurred shortly before the shooting. Needless to say, the delay in revealing the robbery’s connection to the shooting, and the manner in which the information was released has Brown’s family and their attorneys “beyond outraged.”

Their statement, released Friday from both the family and their lawyers, was tweeted out by attorney Ben Crump after police announced Darren Wilson as the officer who shot Brown, and named the teen as the robbery suspect.

Read the full statement below:

Michael Brown’s family is beyond outraged at the devious way the police chief has chosen to disseminate piece mil information in a manner intended to assassinate the character of their son, following such a brutal assassination of his person in broad daylight.

There is nothing based on the facts that have been placed before us that can justify the execution style murder of their child by this police officer as he held his hands up, which is the universal sign of surrender.

The prolonged release of the officer’s name and then the subsequent alleged information regarding a robbery is the reason why the family and the local community have such distrust for the local law enforcement agencies.

It is no way transparent to release the still photographs alleged to be Michael Brown and refuse to release the photographs of the officer that executed him.

The police strategy of attempting to blame the victim will not divert our attention, from being focused on the autopsy, ballistics report and the trajectory of the bullets that caused Michael’s death and will demonstrate to the world this brutal execution of an unarmed teenager.

Benjamin L Crump, Esq.
Anthony D. Gray, Esq.
Daryl D. Parks, Esq.",0,27,NA,NA
