Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
NBC,nbc1,http://www.nbcnews.com/storyline/michael-brown-shooting/teen-killed-missouri-officer-after-physical-confrontation-police-n177206,Teen Killed by Missouri Officer After 'Physical Confrontation': Police,Elisha Fieldstadt,08/10/2014,10/23/2015,"An unarmed 18-year-old Missouri man who was shot multiple times by by a cop on Saturday was involved in an altercation with the officer before being killed, police said at a news conference on Sunday.

St. Louis County Police Chief Jon Belmar said Michael Brown, of Ferguson, Missouri, was struck ""more than just a couple"" times by gunshots fired by a Ferguson Police Department officer after a ""physical confrontation"" that began in a police vehicle and then spilled on to the street. The officer is now on paid administrative leave, Belmar said. The Ferguson Police Department reached out to Belmar immediately following the incident requesting that the St. Louis County Police Department launch an independent investigation, he said.

The shooting has sparked an outcry in the predominantly-black town of about 21,000 — a suburb of the city of St. Louis — and the local chapter of the NAACP has launched their own investigation into the case, appealing to the FBI for help. ""We are hurt to hear that yet another teenaged boy has been slaughtered by law enforcement,"" St. Louis County NAACP President Esther Haywood said in a statement.

Hundreds of Brown's supporters swarmed the Ferguson Police Department for a second day on Sunday, expressing their disgust over the incident — which on Saturday included calls to ""{kill the police.}<hyperlink=""http://www.nbcnews.com/news/us-news/fatal-police-shooting-michael-brown-sparks-protests-missouri-n177081"">""

IN-DEPTH
{Fatal Police Shooting of Michael Brown Sparks Protests in Missouri}<hyperlink=""http://www.nbcnews.com/news/us-news/fatal-police-shooting-michael-brown-sparks-protests-missouri-n177081"">
SOCIAL
[tweetbegin 498483538225012737 tweetend]
[tweetbegin 498487606033018881 tweetend]",NA,NA,NA,"Number of comments or shares is not available, and articles are presented in a never ending stream of related articles, so no comments at the end."
NBC,nbc2,http://www.nbcnews.com/storyline/michael-brown-shooting/fatal-police-shooting-michael-brown-sparks-protests-missouri-n177081,Fatal Police Shooting of Michael Brown Sparks Protests in Missouri,The Associated Press,08/10/2014,10/23/2015,"FERGUSON, Mo. - The fatal shooting of a black teenager by police sent hundreds of angry residents out of their apartments Saturday in a St. Louis suburb, igniting shouts of ""kill the police"" during a confrontation that lasted several hours. A St. Louis County chapter of the NAACP called for the FBI to look into the killing of 18-year-old Michael Brown in Ferguson, a predominantly black suburb north of downtown St. Louis.

Brown's grandmother, Desiree Harris, said she saw him running in her neighborhood Saturday afternoon when she passed him in her car. Just minutes later, after she returned home, she heard a commotion and went outside to check on it - and found Brown's body. A spokesman with the St. Louis County Police Department, which is investigating the shooting at the request of the local department, confirmed a Ferguson police officer shot the man but didn't give the reason for the shooting. St. Louis County police said a large crowd confronted officers following the shooting, yelling such things as ""kill the police.""",NA,NA,NA,The Associated Press was “author”
NBC,nbc3,http://www.nbcnews.com/storyline/michael-brown-shooting/family-missouri-teen-michael-brown-calls-calm-justice-n178006,Family of Missouri Teen Michael Brown Calls for Calm and Justice,Phil Helsel,08/11/2014,10/23/2015,"The family of an unarmed Missouri teen whose death at the hands of police called for calm Monday, saying their son wouldn’t have wanted the rioting and looting that followed — but they also called for justice, and their lawyer said the young man was “executed.”

“He wouldn’t have wanted none of that. We’re going to do it the right way. But we need justice for our son,” Michael Brown’s father, Michael Brown Sr., told reporters. Michael Brown, 18, was shot by police at noon Saturday in Ferguson, a predominantly black suburb of St. Louis.

The Department of Justice and the FBI have launched an investigation into Brown’s death. Police Chief Jon Belmar said Brown was shot several times after a “physical confrontation” that involved the officer being pushed into his patrol car, followed by a struggle for his weapon. Witnesses told NBC affiliate KSDK that Brown had his hands in the air when he was shot. Attorney Benjamin Crump, representing the family, rejected the police's version of events and said Brown “was executed in broad daylight.”

Monday afternoon members of the National Association for the Advancement of Colored People called for a fair and transparent investigation, and slammed the actions of looters. ""To sneak around under the cover of darkness, to loot, to steal, to burn down your neighborhood, this does not require courage,"" the group's president, Cornell Brooks, told an overflow crowd at a church in St. Louis. ""When you struggle for justice, that requires courage.""

IN-DEPTH
{FBI Investigating Ferguson Police Shooting of Teen Michael Brown}<hyperlink=""http://www.nbcnews.com/news/us-news/fbi-investigating-ferguson-police-shooting-teen-michael-brown-n177761"">

{Shooting of Michael Brown Sparks Riots in Ferguson, Missouri}<hyperlink=""http://www.nbcnews.com/news/us-news/shooting-michael-brown-sparks-riots-ferguson-missouri-n177481"">

{Teen Killed by Missouri Officer After 'Physical Confrontation': Police}<hyperlink=""http://www.nbcnews.com/news/us-news/teen-killed-missouri-officer-after-physical-confrontation-police-n177206"">

SOCIAL

[tweetbegin 498934157469564928 tweetend]

[tweetbegin 498699165837565952 tweetend]

[tweetbegin 498730820379504641 tweetend]",NA,NA,NA,NA
NBC,nbc4,http://www.nbcnews.com/storyline/michael-brown-shooting/looting-erupts-after-vigil-slain-missouri-teen-michael-brown-n177426,Looting Erupts After Vigil for Slain Missouri Teen Michael Brown,The Associated Press,08/11/2014,10/26/2015,"FERGUSON, Mo. -- A day of anger over a fatal police shooting of an unarmed black man in suburban St. Louis turned to mayhem as people looted businesses, vandalized vehicles and confronted police who sought to block off access to several areas of the city. The tensions erupted after a candlelight vigil Sunday night for 18-year-old Michael Brown, who police said {was shot multiple times}<hyperlink=""http://www.nbcnews.com/news/us-news/teen-killed-missouri-officer-after-physical-confrontation-police-n177206""> the previous afternoon after a scuffle involving the officer, Brown and another person in Ferguson, a predominantly black suburb of the city.

Afterward, a convenience store was looted. Several other stores along a main road near the shooting scene were broken into, including a check-cashing store, a boutique and a small grocery store. People also took items from a sporting goods store and a cellphone retailer, and carted rims away from a tire store. The killing drew criticism from some civil rights leaders, who referred to the 2012 racially charged shooting of 17-year-old Trayvon Martin by a Florida neighborhood watch organizer who was acquitted of murder charges.

IN-DEPTH
{Teen Killed by Officer After 'Physical Confrontation': Police}<hyperlink=""http://www.nbcnews.com/news/us-news/teen-killed-missouri-officer-after-physical-confrontation-police-n177206"">
{'Kill the Police': Protests Erupt After Cops Shoot Teen}<hyperlink=""http://www.nbcnews.com/storyline/michael-brown-shooting/fatal-police-shooting-michael-brown-sparks-protests-missouri-n177081"">

SOCIAL
[tweetbegin 498693113201033216 tweetend]

[tweetbegin 498664751711678464 tweetend]

[tweetbegin 498669628349251584 tweetend]",NA,NA,NA,The Associated Press was “author”
NBC,nbc5,http://www.nbcnews.com/news/us-news/michael-brown-death-tensions-remain-high-ferguson-missouri-n178276,"Michael Brown Death: Tensions Remain High in Ferguson, Missouri",Jennifer Roller; Phil Helsel,08/11/2014,10/28/2015,"Tensions remained high on Monday in the St. Louis suburb where an unarmed teenager was shot dead by police this weekend, an incident that sparked riots and looting the night before.

Police used tear gas and fired ""beanbag rounds"" at a crowd in Ferguson that became unruly Monday evening outside a gas station that had been looted and burned on Sunday, Ferguson Police Chief Tom Jackson told The Associated Press. Jackson told the organization that officers responded after gunfire came from the crowd. NBC station KSDK {captured video}<hyperlink=""http://www.ksdk.com/videos/news/local/2014/08/11/13938007/""> of riot police throwing tear gas and marching in a line to get people to leave the area. Police were keeping everyone out of parts of Florissant Avenue, saying it was too dangerous.

There were no immediate reports of injuries or arrests. {A St. Louis city alderman posted a series of videos}<hyperlink=""https://twitter.com/AntonioFrench""> on Twitter that appeared to show police officers wearing gas masks. Those videos also showed young men climbing on top of a car in the street, holding their hands up in the same manner that some witnesses claim Brown was when he was shot.

Police said Michael Brown, 18, was shot after a physical confrontation with a officer that involved a struggle for his weapon. Brown’s family disputes that, and their attorney Monday said Brown was “executed in broad daylight.”

IN-DEPTH
{'We Need Justice: Parents of Slain Teen Call for Calm}<hyperlink=""http://www.nbcnews.com/news/us-news/family-missouri-teen-michael-brown-calls-calm-justice-n178006"">
{FBI Investigating Police Shooting of Teen Michael Brown}<hyperlink=""http://www.nbcnews.com/news/us-news/fbi-investigating-ferguson-police-shooting-teen-michael-brown-n177761"">
{Shooting of Missouri Teen Sparks Protests Riots}<hyperlink=""http://www.nbcnews.com/news/us-news/shooting-michael-brown-sparks-riots-ferguson-missouri-n177481"">

SOCIAL

[tweetbegin 498999199862890497 tweetend]
[tweetbegin 499006130350075904 tweetend]
[tweetbegin 499018559075651584 tweetend]",NA,NA,NA,[typo] “serious of videos” changed to “series of videos”
NBC,nbc6,http://www.nbcnews.com/news/us-news/shooting-michael-brown-sparks-riots-ferguson-missouri-n177481,"Shooting of Michael Brown Sparks Riots in Ferguson, Missouri",Cassandra Vinograd; Hasani Gittens,08/11/2014,10/28/2015,"Tensions spilled over in a St. Louis suburb where an unarmed black teen was fatally shot by police this weekend, with riots and {looting erupting}<hyperlink=""http://www.nbcnews.com/news/us-news/looting-erupts-after-vigil-slain-missouri-teen-michael-brown-n177426""> overnight.

Gunshots were heard and tear gas used late Sunday and early Monday, according to {NBC station KSDK}<hyperlink=""http://www.ksdk.com/"">, as police called in back-up from surrounding areas and attempted to prevent the situation from spiraling out of control.

Overnight, St. Louis County Police said, 32 people were arrested in connection with looting at 12 stores — including one which was nearly burned to the ground. Some 300 officers from 19 jurisdictions responded to the mayhem, and two officers suffered minor injuries, officials said. One officer was hit by a brick and another suffered a knee injury, according to {KSDK}<hyperlink=""http://www.ksdk.com/story/news/local/2014/08/11/ferguson-riots-arrests-injuries/13886175/"">.

Michael Brown, 18, was shot {“more than just a couple of times”}<hyperlink=""http://www.nbcnews.com/news/us-news/teen-killed-missouri-officer-after-physical-confrontation-police-n177206""> by an officer in Ferguson, Missouri, on Saturday, according to county police. St. Louis County Police Chief Jon Belmar said the fatal shooting occurred following a “physical confrontation” that started inside a police car and spilled onto the street.

The incident triggered protests featuring {chants of “kill the police”}<hyperlink=""http://www.nbcnews.com/news/us-news/fatal-police-shooting-michael-brown-sparks-protests-missouri-n177081""> as well as calls from the local NAACP for an FBI investigation.

Brown’s killing immediately drew comparisons to the death of Florida teen Trayvon Martin, who was fatally shot in 2012 by a local neighborhood watch member and whose case sparked a fiery debate about race relations.

Ahead of a planned statement from the family on Monday, the Brown family hired the same civil-rights attorney, Benjamin Crump, who represented Martin’s family.

KSDK reported that looting broke out following a vigil for Brown on Sunday night.

Police deployed tear gas in one incident, according to KSDK, while one of the its correspondents reported hearing gunfire. TV footage showed crowds kicking police cars and looters breaking into businesses ranging from convenience stores to cellphone shops, liquor stores to sportswear retailers.

St. Louis County Police Department is in charge of the investigation. County Executive Charlie Dooley has said he'll request an FBI investigation. The officer who shot Brown has been placed on paid administrative leave.

Shortly before dawn on Monday, some of the extra police deployed in Ferguson pulled back — but it was unclear for how long.",NA,NA,NA,NA
NBC,nbc7,http://www.nbcnews.com/storyline/michael-brown-shooting/fbi-investigating-ferguson-police-shooting-teen-michael-brown-n177761,FBI Investigating Ferguson Police Shooting of Teen Michael Brown,Hasani Gittens,08/11/2014,10/28/2015,"The FBI is opening an investigation into the shooting of unarmed Missouri teenager Mike Brown by a police officer in suburban St. Louis, officials said on Monday.

“The FBI notified me that they will be opening up a investigation that will run parallel to this investigation,” St. Louis County Police Chief Jon Belmar said at a news conference.

Belmar said he had spoke to St. Louis Division Special Agent in Charge William Woods who ""said he had a tremendous amount of confidence in the St. Louis county police department, but at this point he felt the need to open up an investigation.”

The local NCAAP and other community leaders had asked federal officials to get involved in racial charged shooting.

Brown, 18, was shot {“more than just a couple of times”}<hyperlink=""http://www.nbcnews.com/news/us-news/teen-killed-missouri-officer-after-physical-confrontation-police-n177206""> by an officer in Ferguson, Missouri, on Saturday just after noon, officials have said. Belmar said the fatal shooting occurred following a “physical confrontation” that started inside a police car and spilled onto the street.

On Sunday night, tensions in the community erupted from angry protests to violent riots and {looting}<hyperlink=""http://www.nbcnews.com/news/us-news/looting-erupts-after-vigil-slain-missouri-teen-michael-brown-n177426"">. Overnight, 32 people were arrested in connection with looting at 12 stores — including one which was nearly burned to the ground, police said. Some 300 officers from 19 jurisdictions responded to the mayhem, and two officers suffered minor injuries, officials said. One officer was hit by a brick and another suffered a knee injury, according to NBC News' St. Louis affiliate KSDK.

Belmar said the FBI's investigation would run “concurrent” to his — which came at the request of the Ferguson Police Department.

""The Bureau will take a lot of the information that we have developed already, they’ll take that information, they may do their own interviews, they may look at the evidence themselves — it’s a parallel or a concurrent investigation,"" said Belmar.

Special Agent Cheryl Mimura, a spokeswoman for the FBI's St. Louis office, said they have been keeping an eye on the case since since the beginning.

""We've been reviewing the matter (since Saturday), today we officially opened an investigation into a potential civil rights violation,"" she said, noting that the decision was not motivated by community outrage. ""Regardless of the media attention or the public’s attention to this matter, this is something that we would routinely do.""

The officer who shot Brown has been placed on paid administrative leave. Chief Thomas Jackson with the Ferguson Police Department told {NBC affiliate station NewsChannel 5}<hyperlink=""http://www.ksdk.com/story/news/local/2014/08/11/name-ferguson-officer-michael-brown-released/13910543/""> that the officer's name will be released by Noon during a Tuesday news conference.

IN-DEPTH
{Shooting of Michael Brown Sparks Riots in Ferguson, Missouri}<hyperlink=""http://www.nbcnews.com/news/us-news/shooting-michael-brown-sparks-riots-ferguson-missouri-n177481"">
{Teen Killed by Missouri Officer After 'Physical Confrontation': Police}<hyperlink=""http://www.nbcnews.com/news/us-news/teen-killed-missouri-officer-after-physical-confrontation-police-n177206"">

SOCIAL

[tweetbegin 498618540321030145 tweetend]
[tweetbegin 498853030511800320 tweetend]",NA,NA,NA,NA
NBC,nbc8,http://www.nbcnews.com/news/us-news/michael-brown-death-no-fly-zone-enacted-over-missouri-town-n179011,Michael Brown Death: No-Fly Zone Enacted Over Missouri Town,Hasani Gittens,08/12/2014,10/28/2015,"Authorities in Ferguson, Missouri, instituted on Tuesday a no-fly zone over the suburban town where tensions have been high in the wake of the fatal shooting of an unarmed teenager by a police officer.

The off-limits airspace, which extends to 3,000 feet over the town north of St. Louis, was requested by the St. Louis County Police Department, which is investigating the killing of Michael Brown, 18, by a Ferguson Police Department officer.

""On Sunday night our police helicopter came under fire on 3 or 4 occasions, so we requested that the FAA put up a no-fly zone for the safety of pilots who would be in the area,"" St. Louis County Police Department Officer Brian Schellman told NBC News. The ban on flights is scheduled to last until Monday, Aug. 18.

No aircraft have been hit, but police chopper pilots did see shots fired from various locations during looting and riots that took place on Sunday night from about 10 p.m. to midnight, Schellman said. ""We don’t know if it was a long gun or a handgun or what,"" he said.

He said police had clearance to fly if they had to, and medical evacuation helicopters could also be launched if necessary. He denied that the move was to keep news helicopters from covering the scene.

""We understand that that’s the perception that’s out there, but it truly is for the safety of pilots. It’s scary stuff to them, so that’s the reason the commanders made the call,"" said Schellman. ""I understand that it’s nice for media helicopters to get up there, but we have not restricted any media access on the ground.""

FAA spokesman Tony Molinaro noted that ""commercial airlines flying in and out of St. Louis Lambert Airport are not affected by the temporary flight restriction.""

IN-DEPTH
{Michael Brown Family Calls for Name of Missouri Cop in Shooting}<""http://www.nbcnews.com/news/us-news/michael-brown-family-calls-name-missouri-cop-shooting-n178831"">
{Violence Flares on Second Night of Protests}<""http://www.nbcnews.com/news/us-news/michael-brown-shooting-tear-gas-fired-crowd-ferguson-n178356"">
{Shooting of Missouri Teen Sparks Protests Riots}<""http://www.nbcnews.com/news/us-news/shooting-michael-brown-sparks-riots-ferguson-missouri-n177481"">

SOCIAL
[tweetbegin 499286842584612864 teweetend]",NA,NA,NA,NA
NBC,nbc9,http://www.nbcnews.com/news/us-news/michael-brown-shooting-tear-gas-fired-crowd-ferguson-n178356,Michael Brown Shooting: Tear Gas Fired at Crowd in Ferguson,Alastair Jamieson; John Yang; Jennifer Roller; Phil Helsel,08/12/2014,10/28/2015,"Police used tear gas and fired “beanbag rounds” late Monday to disperse a restless crowd in the St. Louis suburb where unarmed black teenager Michael Brown was fatally shot by a police officer over the weekend. In a second night of violence, streets were closed off around a gas station store in Ferguson, Missouri, that had been burned on Sunday. Police told crowds and reporters to leave the area. A shoe store was looted, according to {NBC station KSDK}<hyperlink=""http://www.ksdk.com/"">. Ferguson Police Chief Tom Jackson told The Associated Press that officers responded after gunfire came from the crowd.

Fifteen arrests were made. {St. Louis city alderman Antonio French posted a series of videos}<hyperlink=""https://twitter.com/AntonioFrench""> and pictures on Twitter documenting the police response. Young people were seen holding their hands up in the same manner that some witnesses have suggested Brown was at the time of the shooting. Police said Brown, 18, was shot after a physical confrontation with an officer. Brown’s family disputes that account and their attorney Monday said the teen was “executed in broad daylight.” The FBI {has opened an investigation}<hyperlink=""http://www.nbcnews.com/news/us-news/fbi-investigating-ferguson-police-shooting-teen-michael-brown-n177761"">.

IN-DEPTH
{'We Need Justice: Parents of Slain Teen Call for Calm}<hyperlink=""http://www.nbcnews.com/news/us-news/family-missouri-teen-michael-brown-calls-calm-justice-n178006"">
{FBI Investigating Police Shooting of Teen Michael Brown}<hyperlink=""http://www.nbcnews.com/news/us-news/fbi-investigating-ferguson-police-shooting-teen-michael-brown-n177761"">
{Shooting of Missouri Teen Sparks Protests Riots}<hyperlink=""http://www.nbcnews.com/news/us-news/shooting-michael-brown-sparks-riots-ferguson-missouri-n177481"">

SOCIAL
[tweetbegin 499074300956405760 tweetend]
[tweetbegin 498999199862890497 tweetend]
[tweetbegin 499018559075651584 tweetend]
[tweetbegin 499039557644734464 tweetend]",NA,NA,NA,NA
NBC,nbc10,http://www.nbcnews.com/storyline/michael-brown-shooting/police-fire-tear-gas-quell-protests-over-michael-browns-death-n178606,Police Fire Tear Gas to Quell Protests Over Michael Brown's Death,NA,08/12/2014,10/28/2015,Authorities in the St. Louis suburb of Ferguson used tear gas and rubber bullets to disperse crowds protesting the death of 18-year-old Michael Brown.,NA,NA,NA,NA
