Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
NYDailyNews,nydn1,http://www.nydailynews.com/news/national/chaos-erupts-ferguson-day-relative-calm-article-1.1905633,"Cops face off with protesters in Ferguson, Mo., as midnight curfew is imposed; 7 arrested, 1 shot",Kenny Bahr; Pearl Gabel; Corky Siemaszko; Rich Schapiro,08/17/2014,02/10/2016,"Cops in riot gear and gas masks fired smoke bombs into scores of protesters who clogged Ferguson’s main drag early Sunday in defiance of the midnight curfew imposed by Missouri Gov. Jay Nixon.

As canisters flew through the air about 50 minutes into the curfew, someone hurled a Molotov cocktail at the side of a local store, igniting a small fire.

Clouds of smoke had filled the street when a group of other protesters raced toward the store, Chop Suey, and stomped out the fire.

Cops in riot gear were hanging back as the demonstrators slowly advanced along W. Florissant Ave. at about 12:30 a.m. local time.

But 15 minutes later, cops threatened to move in.

“This is the police,” an officer announced into a bullhorn. “You are violating the state-issued curfew. You must disperse immediately or you will be subject to arrest.”

A moment later, the first canister flew, followed by a dozen more.

A citizen “peacekeeper” had earlier implored the mob of protesters to go home.

“They are gearing up,” the man said, referring to the police. “Please go back. We are going to see something we have never seen before.”

The tense standoff came hours after Nixon declared a state of emergency and announced a curfew from midnight until 5 a.m. to quell the chaos roiling Ferguson.

“We cannot allow the ill-will of the few to undermine the goodwill of the many,” Nixon said. “We cannot have looting. We can’t have people fearful.”

But Nixon was shouted down at a raucous news conference inside a church, as angry residents demanded the arrest of Police Officer Darren Wilson.

“We want justice!” they roared.

Frustrated by the heckling, Nixon turned to Capt. Ron Johnson of the Missouri State Highway Patrol, the 27-year lawman he put in charge of calming things down.

“Yelling at each other is not going to solve things,” Johnson said. “We will be in this together.”

But Johnson had trouble controlling the angry crowd Saturday night, which continued to demand justice for Michael Brown.

As the minutes ticked down to midnight, a heavy rain fell and the crowd of protesters thinned out.

But others were milling around outside under the watchful eye of cops in riot gear, vowing to defy the curfew order.

“We not going anywhere,” one man yelled toward cops, a bandanna covering his face.

In one extraordinary encounter, Johnson stood toe-to-toe with a protester who had moments earlier been shouting angrily at the cops.

“I have the same questions you have,” Johnson told the man as part of a five-minute speech. “I guarantee when the day is over, when we are all back in our homes, the answers that we look for today are going to make our lives better and our communities better.”

“I salute you, sir,” the appeased demonstrator said.

Johnson said early Sunday, after the streets had calmed, that seven protesters were arrested and charged with failure to disperse.

The response by police, Johnson said, was due to reports of a shooting and potential burglary by armed men at Red BBQ. Tear gas was deployed after police heard reports of armed men in the restaurant — the gas was not used to enforce the curfew, Johnson said. Red BBQ was at the corner of W. Florissant Ave. and Canfield Drive, the street where Brown was killed by Wilson.

One person was shot near the location and was in critical condition early Sunday, Johnson said. A police car was also targeted by the shooter. No arrest in the shooting has been made after the gunman was observed running off.

Earlier, a group of Black Panthers led protesters in a chant calling for Wilson’s head. 

“What’s his name?” they shouted.

“Darren Wilson,” came the reply.

“How do we want him?” they shouted.

“Dead,” replied several protesters.

Meanwhile, {Yahoo News published the first photo}<hyperlink=""http://news.yahoo.com/photos-ferguson-officer-darren-wilson-received-police-award-earlier-this-year-021255893.html""> of Wilson. The photo shows the officer sporting a blond buzz cut as he received a commendation in February for “extraordinary effort in the line of duty.”

It was not clear what Wilson did to deserve the honor. A Facebook photo shows the 28-year-old cop shaking hands with Ferguson Police Chief Tom Jackson.

Wilson’s father, according to Yahoo, posted a message on Facebook last week asking for prayers for his son — though not by name.

Another photo emerged Saturday, this one tragically showing Brown’s lifeless body splayed out on the street with a paramedic kneeling at his side and an officer looking on.

Business owners in Ferguson were cleaning up Saturday after peaceful protests Friday gave way to a flurry of looting once most of the demonstrators had gone home. The anger boiled over again after Jackson released surveillance video linking Brown to a robbery that happened shortly before the deadly Aug. 9 shooting.

Just after midnight Friday, some 200 demonstrators pelted the troopers with rocks and other objects. When the troopers backed off, some emboldened troublemakers targeted Ferguson Market and Liquor — the business from which Brown allegedly stole a $48.99 box of Swisher Sweets cigars.",NA,1498,NA,NA
NYDailyNews,nydn2,http://www.nydailynews.com/news/crime/man-shot-arrested-protesters-police-ferguson-clash-violence-article-1.1906387,"Michael Brown was shot 6 times, independent autopsy reveals, as police fire tear gas at protesters in Ferguson, Mo.",Corinne Lestch; Bill Hutchinson; Kenny Bahr,08/18/2014,02/10/2016,"An independent autopsy conducted Sunday showed Michael Brown, the unarmed black teenager killed by a white cop in a St. Louis suburb, was shot six times, including twice in the head.

The autopsy performed by famed forensic pathologist Dr. Michael Baden at the request of Brown’s family also showed all the bullets struck the teen from the front, the New York Times reported.

One shot hit him in the top of the head, indicating he was bent forward, said Baden, though he declined to draw a conclusion about the position.

But the number of shots will likely inflame tensions.

“In my capacity, I would say, ‘You’re not supposed to shoot so many times,’” said Baden, who retired from a position as the forensic examiner for the New York State Police in 2011.

Baden, also the former New York City medical examiner, told the Times that Brown was shot from a distance, explaining that no gunpowder suggesting point-blank gunfire was found on Brown’s body.

Brown was shot four times in his right arm and twice in the head, including once in the right eye, Baden said. He said some bullets entered and caused multiple wounds before exiting Brown’s body.

“People have been asking: How many times was he shot? This information could have been released on Day 1,” Baden told the Times after performing the autopsy. “They don’t do that, even as feelings built up among the citizenry that there was a cover-up. We are hoping to alleviate that.”

Baden announced his results as another night of unrest in the streets of Ferguson, Mo., saw police in riot gear shoot tear gas at protesters to clear the streets.

After a week of protests that escalated into violence, including one man critically wounded early Sunday, the police captain appointed to restore calm to a blood-soaked St. Louis suburb apologized.

“I wear this uniform, and I should stand up and say, ‘I’m sorry,’” said Capt. Ron Johnson, the Missouri State Highway Patrol officer appointed by the governor last week as tensions escalated over the Aug. 9 police killing of unarmed 18-year-old Michael Brown.

Johnson issued his apology — and earned cheers — at a rally hosted by the Rev. Al Sharpton at Greater Grace Church in Ferguson. The apology came after Sunday morning violence — including police use of tear gas, which Johnson had initially promised would not continue.

“I will stand to protect you,” Johnson said. “I will protect your right to protest.”

Hours later, however, chaos again broke out on W. Florisant Ave., the scene of earlier protests. A St. Louis County Police dispatcher reported that protesters had taken over a McDonald’s restaurant and workers had locked themselves into freezer units for safety.

There was also an unconfirmed report on the same police band radio that an officer had been wounded in a shooting.

Police moved in to break up the crowd with more tear gas, about two and a half hours before the start of the night’s midnight-to-5 a.m. curfew.

In a press briefing shortly after 1 a.m. Monday in Ferguson, Johnson said cops began employing tear gas after reports of shots fired and Molotov cocktails being hurled around 9 p.m.

He suggested the violent incidents were pre-planned, organized acts caused by a few people amid the otherwise peaceful protests. ""We had to act to protect lives and property,"" Johnson said.

Johnson knew of two or three people who were injured in shootings, and a number of people were arrested for ""failure to disperse,"" he said.

Meanwhile, Missouri Gov. Jay Nixon signed an executive order calling for assistance from the Missouri National Guard, CNN reported early Monday.

The violence came after a church rally where Ferguson Police Chief Tom Jackson was again criticized for releasing a surveillance video that allegedly showed Brown stealing cigars from a convenience store moments before he was shot by Officer Darren Wilson.

Jackson initially said Wilson knew Brown was a suspect in the shop robbery only to backtrack later. Activists say Jackson was trying to “smear” the 18-year-old black victim, who was slain by the white cop.

“How can the young folk in the city believe in a system that would try to spit on the name and character of a young man who hasn’t even been buried?” asked Sharpton, who called the death “a defining moment in this country.”

“Michael Brown Jr. will be a defining moment on how this country deals with policing and the rights of its citizens,” Sharpton said Sunday night.

Nixon also accused law enforcement of trying to “besmirch” Brown when they linked him to the robbery.

“It had an incendiary effect,” the Democratic governor said on CBS’ “Face the Nation,” adding that his office was not made aware of the decision to release the video.

“I do think it flamed it back up and has caused us to have to deal with some of that,” he said.

Wilson was also dealing with backlash. In a Facebook post apparently written by the officer, he announced he had deactivated his account “due to a number of threats.”

On Sunday, federal authorities said a new autopsy would be performed “by a federal medical examiner,” Justice Department spokesman Brian Fallon said in a statement.

“This independent examination will take place as soon as possible,” Fallon continued, adding that officials will still take into account the autopsy done during the state probe.

The peaceful rally came hours after a night of mayhem in which a man was shot following a confrontation between police and protesters who refused to abide by the state-mandated curfew.

Authorities have not identified the victim in the incident early Sunday, but they do not believe it was a police-involved shooting.

Officers from the Missouri State Highway Patrol, St. Louis city and county police, dispersing tear gas, bounded into the hostile area on armored vehicles to break up the mass, and seven people were arrested.
",NA,808,NA,NA
NYDailyNews,nydn3,http://www.nydailynews.com/news/national/missouri-governor-deploys-national-guard-ferguson-night-clashes-article-1.1906990,Cops square off with protesters in Ferguson as AG Eric Holder heads to Missouri over shooting death of Michael Brown,Pearl Gabel; Michael Walsh; Corky Siemaszko,08/19/2014,02/10/2016,"An independent autopsy cast doubts on police accounts of how Officer Darren Wilson fatally shot the teen while an eyewitness video showed the moments after the tragic encounter between Wilson and Brown. Shortly after midnight Tuesday, police used tear gas to disperse a crowd of protesters, and two men were taken to a hospital with gunshot wounds.

The nation’s top lawman was dispatched to violence-scarred Ferguson, Mo., as a disturbing new video surfaced Monday of a white cop standing over the body of an unarmed black teenager he had shot to death moments earlier.

President Obama announced Monday he was sending Attorney General Eric Holder to Missouri on Wednesday, as the National Guard began patrolling the St. Louis suburb, which has been racked by confrontations between demonstrators and police — including a new round early Tuesday.

""The night began peacefully, but there is a dangerous dynamic in the night,"" said Capt. Ron Johnson of the Missouri Highway Patrol  at 2:25 a.m. Tuesday.

""Please protest during the daytime hours,"" he said, before confirming that two men had been shot, four police officers were injured by thrown rocks and bottles, 31 people had been arrested and two fires were set.

While Ferguson residents took to the streets again to protest the killing of Michael Brown, 18, Obama said that though the majority of residents have been peaceful, a “small minority are not.” Saying that he understands their rage, Obama added that “giving in to that anger by looting and carrying guns and attacking police undermines justice.”

Obama said he hoped that “a fair and just process” in investigating the shooting would lead to a “fair and just outcome.”

The President also said he wanted to walk a fine line until all the facts were in on Brown’s death.

“I have to be very careful about not prejudging these events before investigations are completed,” Obama said.

The commander-in-chief noted that local police departments have been using federal grants to arm themselves; he said law enforcement spending should be reviewed nationwide. “There is a big difference between our military and our local law enforcement, and we don’t want those lines blurred,” Obama said.

The FBI has launched a civil rights investigation into the Aug. 9 killing, and the Justice Department is monitoring the case.

Meanwhile, an independent autopsy conducted by the forensic pathologist Dr. Michael Baden cast doubts on police accounts of how Officer Darren Wilson, 28, fatally shot Brown.

“There weren’t any signs of a struggle,” said Baden, a former New York City chief medical examiner.

Brown appears to have been shot at least six times from a distance, and all but one shot to the top of his head were most likely survivable, Baden said. That shot pierced his skull at an angle that suggests Brown was bending over, he said. “He did not suffer,” Baden said.

Also, most of the bullets appear to have struck Brown in the front of his body, Baden said.

One of the wounds on Brown’s right arm “could have occurred when he was putting his hands up,” said Shawn Parcells, a Kansas-based pathologist who assisted Baden. Several witnesses have said Brown had his hands in the air in a sign of surrender when Wilson shot him dead. “It verifies that the witness accounts were true,” argued Brown family lawyer Benjamin Crump. “He was shot multiple times in broad daylight.”

But neither Crump nor the pathologists could offer an answer when outspoken community leader Shirley Davis asked why — given the autopsy results — the St. Louis County prosecutor has not charged Wilson with a crime.

“It was murder, it was murder,” Davis said. “It was blatant. This is sad. This could be anyone’s child.”

The Justice Department is planning to do its own autopsy.

Ferguson Police Chief Tom Jackson contends Wilson fired after he was pushed into his police cruiser by the 6-foot-4 Brown, and the doomed teenager tried to take the officer’s gun.

On Monday, a woman identifying herself as “Josie” and saying she was a friend of Wilson, called a Sacramento, Calif., radio station to give the officer’s version of events. The caller told KTFK that Brown “bum-rushed” Wilson and that the officer fired. But a woman who videotaped the aftermath of the tragic encounter from her apartment balcony told CNN on Monday that Wilson tried to pull Brown into his cruiser, and Brown fled.

Piaget Crenshaw, whose video shows Wilson standing in the street over Brown’s body, said the teenager appeared to be grazed by a shot and then “turned around and was shot multiple times” by Wilson. In the video, Crenshaw can be heard saying, “God bless his soul, the police shot this boy outside my apartment.”

The police chief’s early refusal to release details of the deadly confrontation — or the officer’s name — sparked several days of rage in Ferguson.

The Washington Post — citing an anonymous source “familiar” with the St. Louis County medical examiner’s findings — reported that Brown had “marijuana in his system.”

So far county Prosecutor Robert McCulloch, who is expected to convene a grand jury this week, has not released the medical examiner’s report.

Wilson has not been charged with a crime, and is on paid leave.

Jackson fanned the fury in mostly black Ferguson by initially saying Wilson knew Brown was a suspect in the shop robbery — and later backtracking from that claim.

Missouri Gov. Jay Nixon then accused law enforcement of trying to “besmirch” Brown by linking him to the robbery.

Crump said the Browns sought Baden’s help because they don’t trust McCulloch.

Baden spoke after Nixon lifted the curfew, which had been in place in Ferguson for two raucous nights, and sent in the National Guard to restore order.

After rapper Nelly, a St. Louis native, joined marchers on Monday night and urged calm, protestors squared off with police moments after midnight Tuesday. Cops again used tear gas on the crowd, and there were numerous reports of gunshots ringing out and Molotov cocktails being thrown.",NA,553,NA,NA
NYDailyNews,nydn4,http://www.nydailynews.com/news/politics/ferguson-mo-police-besmirch-dead-teen-released-convenience-store-video-governor-article-1.1906536,"Ferguson, Mo., police were trying to 'besmirch’ dead teen when they released convenience store video: governor",Adam Edelman,08/17/2014,02/12/2016,"Missouri Gov. Jay Nixon on Sunday accused law enforcement in the tense St. Louis suburb of Ferguson of trying to “besmirch” Michael Brown when they linked the unarmed 18-year-old shot dead by police last weekend to a robbery in the area.

“It had an incendiary effect,"" the Democratic governor said on CBS show “Face the Nation” of Ferguson Police Chief Thomas Jackson’s decision on Friday to release a video that allegedly showed Brown, just before he was fatally shot by police, stealing a box of cigars from a nearby convenience store.

“When you release picture and you clearly are attempting to besmirch a victim of a shooting, shot down in his own street, a young man and at the same time you’re releasing information to try to make it, to tarnish him, then properly, there was a lot of folks that were concerned about that,” Nixon explained, adding that his office was not made aware of the decision to release the video. “I do think it flamed it back up and has caused us to have to deal with some of that.""

Jackson released the video at the same time he released the identity of the officer who shot and killed Brown, leading many to believe that local law enforcement were trying to sabotage Brown’s character.

Violent clashes between protesters and police have continued in the eight days since Brown, who is black, was killed by Darren Wilson, a white police officer, in the majority-African American suburb of Ferguson.

St. Louis County police at first responded with heavy-handed tactics and military gear and machinery that many, including Nixon on Sunday, have said inflamed the situation.

“All of us were thunderstruck by the pictures we saw, I mean, the over-militarization, the MRAPs rolling in, the guns pointed at kids in the street,” Nixon said Sunday on ABC’s “This Week.” “All of that I think instead of ratcheting down, brought emotion up.”

After several days of violent protests, Nixon brought in the Missouri State Highway Patrol to leading the effort to keep peace in the area, putting in charge Capt. Ronald Johnson, who is black and from the area.

But the scene remained delicate Saturday.

""There's a tremendous amount of angst about the facts in this case,"" Nixon said on CNN’s ""State of the Union."" ""Thousands of people spoke last night, thousands of people marched and not a single gunshot was fired by police last night,” he added about what he perceived as Saturday’s improved situation.

Nixon has imposed a midnight curfew in the suburb but wouldn’t say Sunday when officers might lift it.

“We can't be distracted from the longer pitch here,” he said. “And the longer is to make sure that these dual investigations, the Justice Department and the local prosecutor, to get to justice, that they are thorough and done.”",NA,711,NA,NA
NYDailyNews,nydn5,http://www.nydailynews.com/news/national/hamill-cheers-turn-fears-ferguson-mo-article-1.1906944,"Hamill: From cheers to tear gas as cops again clash with protesters in Ferguson, Mo.",Denis Hamill,08/18/2014,02/12/2016,"FERGUSON, Mo. — It was the best of Ferguson. It was the worst of Ferguson.

In a local church, people gave a standing ovation on Sunday afternoon to Capt. Ron Johnson of the Missouri Highway Patrol.

But hours later on W. Florissant Ave. — near where Officer Darren Wilson killed unarmed Michael Brown with six bullets — Johnson was seen as the enemy.

The difference is as clear as day and night.

On Sunday afternoon, after a week of tears and tear gas, rioting and looting, the city of Ferguson needed a hero to cheer.

So at 3 p.m., people packed the Greater Grace Church to hear firebrand Rev. Al Sharpton address a rally for justice.

“I want to hear what he says about the cop who shot Michael Brown,” said Minister Margie Binion, who was a nurse for 25 years before going legally blind. “About five years ago, a Ferguson policeman comes to the door of one of my patients, looking for her teenage grandson. He was a very nasty, very belligerent, very angry young policeman. His name was Darren Wilson. So when I heard he was the one who did the shooting, I wasn’t at all surprised.”

In a town of 21,000, the world is very round and extremely small.

“I have three sons aged 25, 23 and 18,” adds Shalita Winters. “Shariff is 18, a month younger than Mike Brown. His killing made me extremely upset. Each time I became pregnant, I prayed for a girl because I did not want to raise black men in this country. They never get the benefit of the doubt by the police.”

So she came to hear Sharpton, hoping he might help bring change to Ferguson’s police department that has just three black cops on a force of 53 in a town that is two-thirds black.

The church soon overflowed with like-minded frightened mothers of young black men, spilling into the lobby and 2,000 strong out onto the church grounds to hear Sharpton and Martin Luther King III.

Sharpton gave a passionate speech — but he had the misfortune of following Capt. Johnson who had walked to the stage and said, “My heart goes out to Mike Brown’s family. I’m sorry.”

It was an extraordinary moment as this native son in his always crisp police uniform apologized to the parents of a black teenager killed by a white policeman.

The people of Ferguson rose to their feet and exploded in applause. They needed a hero.

But by 11 p.m., and a mile away, a small band of protesters again clashed with Capt. Johnson’s highway cops.

Police claim they were assaulted. They responded with tear gas.

The disparity in attitudes between the church people and a minority of street people might support the theory that the violence has been initiated by a small band of hard-core outside agitators. Some are ghoulish looters exploiting a human tragedy.

In Greater Grace Church, Shalita Winters and every other mother stood and applauded Capt. Johnson.

“He’s my nephew,” said Brenda States. “Ron has always been so strong. After his own brother died in a motorcycle accident, he had the strength to deliver the eulogy.”

“He’s my cousin,” added Brenda McNairy. “I grew up with Ron Johnson as a role model. Ron was always the one to smooth out family feuds. Now he’ll do that for Ferguson.”

Even Sharpton gave Ferguson’s new top cop his props.

“We heard tonight from Officer Johnson,” Sharpton said. “We’re not anti-police. We don’t think they’re all so bad.”

He was right.

In a town torn apart by a police killing, the church people of Ferguson rose to their feet on Sunday to give a standing O to a policeman.

By nightfall, Capt. Johnson’s cops once again skirmished on the divided streets of Ferguson.",NA,40,NA,NA
NYDailyNews,nydn6,http://www.nydailynews.com/news/national/daily-news-photographer-detained-ferguson-mo-article-1.1906335,"Daily News journalist handcuffed by police while covering protests in Ferguson, Mo.",Pearl Gabel,08/17/2014,02/12/2016,"Daily News staff photographer Pearl Gabel was covering the tense protests over Michael Brown's killing in Ferguson, Mo., when police briefly detained her early Sunday. Here is her account:

I was walking toward the police on Florissant Ave. with my hands in the air to signal I was not a threat. Suddenly an officer pointed a rifle at my face.

“Get on the ground!” he barked.

“Put it on the ground,” he then ordered, seeing I was holding one camera and had another slung over my shoulder.

The gun was still trained on me.

""Put your hands behind your head,"" he said. ""You’re under arrest for curfew violation.”

I was on my knees with my hands behind my head near the QuikTrip store. The cop took my hands, one at a time, and placed them behind my back. Then he slapped on plastic handcuffs.

It was about 1 a.m., one hour after the curfew Missouri’s governor ordered took effect amid a state of emergency. Most of the night's protesters had left, dispersed by smoke bombs and tear gas and teeming rain.

“What are these?” the cop asked.

“My cameras,” I replied.

He took my equipment and my cell phone as tear gas swirled around me, rain poured down and two other people were similarly detained.

“I have a press pass,” I told him. “Look under my poncho.”

When the cop was satisfied I was a newspaper photographer doing my job, he gave me back my belongings.

[tweetbegin 500890482571227136 tweetend] 

He asked, ""Who do you work for?""

I said, ""The New York Daily News.""

""Welcome to St. Louis,"" he said before letting me go.

I walked past two lines of cops in riot gear, felt my eyes tearing from the acrid air and put my gas mask back on.",NA,1130,NA,NA
NYDailyNews,nydn7,http://www.nydailynews.com/news/crime/rev-al-sharpton-accuses-ferguson-mo-police-chief-smear-campaign-michael-brown-article-1.1905876,"Rev. Al Sharpton accuses Ferguson, Mo., police chief of 'smear campaign' against Michael Brown",Erik Badia; Corky Siemaszko,08/16/2014,02/12/2016,"They’re trying to do to Michael Brown what they did to Eric Garner — “smear” his name.

The Rev. Al Sharpton hurled that accusation Saturday against the Ferguson, Mo,. police chief — and linked the killing of Brown by a Missouri cop to the chokehold death of Garner at the hands of an NYPD officer.

“It’s the epitome of an insult to the people of this country that law enforcement smear a young man before we can even bury him,” Sharpton said of 18-year-old Brown at the National Action Network headquarters in Harlem.

“They did the same thing to Eric Garner. The first thing they did was try to put out Eric's record.”

The Brown family cried foul after Ferguson Police Chief Thomas Jackson revealed that the doomed teenager had been suspected of stealing a box of cigars just 20 minutes before he was killed last Saturday.

Jackson admitted later Friday that Officer Darren Wilson did not know Brown was a robbery suspect when he stopped him for walking in the street and shot him.

Sharpton said Jackson was trying to take the onus off Wilson when he released video and a police report that names Brown as a “strong-arm” robbery suspect.

“First of all, what does that have to do with him being killed?,” Sharpton said of the cigar-stealing allegation.

“Are you telling me now that you have the right to run somebody down and kill them over three or four cigars, is that what you're telling me?”

Jackson, who also identified Wilson by name for the first time since the Brown killing, insisted he released the robbery evidence after repeated requests from reporters.

Garner’s family accused the NYPD of blaming the victim after it was revealed that the Staten Island dad had a lengthy rap sheet for mostly minor offenses. He was killed when cops tried to arrest him for peddling unlicensed cigarettes known on the street as loosies.

The Medical Examiner has ruled Garner’s death of July 17 a homicide and Officer Daniel Pantaleo is now riding a desk as the Staten Island prosecutor weighs whether to charge him with a crime.

Sharpton also took the opportunity to rail against Police Commissioner Bill Bratton’s “broken windows” approach to policing, which critics say unfairly targets minorities.

“There is a connection” between Brown and Garner, he said. “Both of them were victims of this aggressive policing of alleged low-level crime. There ain't no difference between dealing with looseys and dealing with telling kids to get out of the street.”

Bratton insists the strategy is effective and denies that it targets any particular group.",NA,194,NA,NA
NYDailyNews,nydn8,http://www.nydailynews.com/news/national/hamill-peace-disorder-face-ferguson-mo-article-1.1906040,"Hamill: Peace and disorder face off in Ferguson, Mo.",Denis Hamill,08/16/2014,02/12/2016,"FERGUSON, Mo. — One step forward, two steps back.

When I arrived at Lambert-St. Louis International Airport on Thursday, workers at the rental car counter were debating the fatal shooting of Michael Brown.

“Tony probably won’t talk to me for a year,” said one female worker to my counterman, “just because I told him let’s wait until we have all the facts before we condemn this cop who did the shooting.”

Ferguson was a town on the precipice. The QuikTrip store had been torched. Looters smashed the windows of the local chop suey and barbecue joints. Elderly women lamented being held prisoners in their own homes by tear gas. Citizens, whites and blacks, demanded to know the name of the cop who shot 18-year-old Brown.

You could almost hear the ticking of a time bomb ready to explode Ferguson into the kind of rioting we have not seen since Los Angeles erupted after the cops who beat Rodney King were found not guilty.

Then one man with a beating heart beneath the shiny star on his breast came to a Ferguson under siege and turned it into a lesson in American civics.

Before night fell on Thursday, Capt. Ron Johnson of the Missouri Highway Patrol had been given superseding jurisdiction of Ferguson by Gov. Jay Nixon, marginalizing Ferguson Police Chief Tom Jackson.

Chief Jackson on Friday finally named Darren Wilson as the cop who shot Brown, and then released a surveillance video reportedly showing Brown snatching a $48.99 box of cigars from Ferguson Market and Liquor and shoving a storekeeper.

{Yahoo News published the first photo}<hyperlink=""http://news.yahoo.com/photos-ferguson-officer-darren-wilson-received-police-award-earlier-this-year-021255893.html""> of Wilson on Saturday.

Jackson would admit later that Wilson did not know about the robbery when he killed Brown after stopping him for “walking in the street and blocking traffic.”

I stood outside the 911 Hair Salon watching this deeply moving tableau of peaceful dissent borrowed from the best days of the transformative 1960s.

“I just hope it lasts,” said Eliard Lay, 35, of Ferguson. “I hated the looting as much as I hated what the cops did. This right here tonight is cool. But if we want change, it has to last after Mike Brown is buried and y’all are gone. It’s good that Gov. Nixon and Jesse Jackson and Ron Johnson came here.

It didn’t last. By midnight, many of the peaceful protesters had gone home.

Then after midnight came the looters, a tiny percentage — amid the good citizens — of common criminals who couldn’t care less about Brown or a better Ferguson. They broke into at least five stores. Some of the remaining protesters formed a human barricade of citizens and police in front of Ferguson Market and Liquor to prevent the looting.

They did.

On Saturday afternoon, Nixon declared a state of emergency and imposed a curfew in Ferguson. And now, we all brace ourselves for Sunday, when the Rev. Al Sharpton returns to town to host a march.",NA,65,NA,NA
NYDailyNews,nydn9,http://www.nydailynews.com/news/national/mo-highway-patrol-captain-restores-order-ferguson-article-1.1905028,‘We’re in this together’: Missouri Highway Patrol Capt. Ron Johnson restores order in Ferguson after Michael Brown shooting,Corky Siemaszko,08/15/2014,02/12/2016,"He holds the rank of captain in the Missouri State Highway Patrol, but in the still-seething town of Ferguson he’s the peacemaker-in-chief.

Capt. Ron Johnson was tapped by Missouri’s governor to settle things down in a St. Louis suburb that was rocked by five nights of violence after an unarmed black teenager was killed by town cop Darren Wilson.

“We are going to have a different approach and have the approach that we’re in this together,” Ferguson told furious residents after he got the nod Thursday. “I understand the anger and fear that the citizens of Ferguson are feeling, and our officers will respect both of those.”

And with those words, Johnson was able to accomplish what dozens of cops in riot gear were unable to do — get Ferguson through a night without fighting in the streets.

Johnson’s approach is “a model of community-based policing,” said Attorney General Eric Holder.

Johnson continued to soothe and console Friday after the Ferguson police chief angered residents by revealing 18-year-old shooting victim Michael Brown was being sought for a robbery when he was killed Saturday.

“In our anger we have to make sure we don’t burn down our own house and go down there and vandalize our own buildings,” he said.

Johnson assured the crowd he would meet with the chief — and in person.

“We don’t live in a perfect state,” Johnson told one resident and then hugged her.

Johnson, 51, is no stranger to Ferguson. He grew up there. And like most of the residents, he is black.

Outraged over the heavy-handed tactics of local police, Gov. Jay Nixon ordered them to stand down and sent in Johnson and his state troopers.

A 27-year veteran of the force who commands Troop C, which covers 11 counties and the city of St. Louis, Johnson immediately ordered officers to ditch the armor, put away the tear gas and park the SWAT trucks.

Then Johnson joined the demonstrators and started marching with them.

“I’m not afraid to be in this crowd,” he said.

He assured the disbelieving that there would be justice for 18-year-old Michael Brown.

“I’ve got a son that deals with the same thing,” he told one black man who complained about white police officers hassling him for no apparent reason.

Johnson, a married father of two, said Friday he would continue his soft strategy for making Ferguson safe.

“Last night you saw me out there communicating and respecting; that is what law enforcement is supposed to do,” he said. “You’re going to see a bunch of smiles, a bunch of hugs, that’s what you’re going to see from me.”",NA,125,NA,NA
NYDailyNews,nydn10,http://www.nydailynews.com/news/national/capt-ron-johnson-marches-protesters-ferguson-article-1.1904210,Capt. Ron Johnson marches with protesters in Ferguson as law enforcement scales back on day 5 of turmoil after Michael Brown shooting ,Sasha Goldstein,08/14/2014,02/12/2016,"They’re standing together in Ferguson.

Capt. Ron Johnson of the Missouri State Highway Patrol walked along with protesters Thursday down Ferguson, Mo. streets as law enforcement tried a different tact in dealing with unrest stemming from the police-involved shooting Saturday.

“It means a lot to me personally that we break this cycle of violence,” Johnson, who is black and a native of Ferguson, said at a press conference Thursday as it was announced the highway patrol would take over security operations in the besieged city of some 20,000 people outside St. Louis.

By 5:30 p.m. local time, Johnson was backing up his claim. He walked surrounded by protesters yelling, “Hands up! Don’t shoot!” as they walked to the spot where 18-year-old Michael Brown was gunned down by a Ferguson police officer Saturday afternoon.

“I’ve assigned all police assigned to this detail to take their gas masks off,” Johnson told reporters at the march, {tweeted Wesley Lowery, a Washington Post reporter arrested Wednesday covering the turmoil.}<hyperlink=""https://twitter.com/WesleyLowery""> “I’m not afraid to be in this crowd today, that’s why I walk up front (in the march). Hopefully, (there will) be some healing.”

The fifth day of peaceful protests came after the public criticized the St. Louis County police department’s heavy-handed approach to dealing with masses of residents and media. Several arrests were reported and police — in riot gear, heavily armed and driving SWAT vehicles — used tear gas and smoke bombs to try and disperse crowds around 9 p.m. Wednesday. Images stunned Americans, many of whom chimed in to say the suburban scene was more reminiscent of an overseas war zone.

Missouri Gov. Jay Nixon promised a new approach Thursday when designating the highway patrol as the lead law enforcement agency in the town.

The change will ensure “we allow peaceful and appropriate protests, that we use force only when necessary, that we step back a little bit and let some of the energy be felt in this region appropriately,” Nixon said.",NA,3357,NA,NA
