Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
NYPost,nyp1,http://nypost.com/2014/08/19/cop-involved-in-ferguson-shooting-has-fractured-eye-socket-report,Cop involved in Ferguson shooting has fractured eye socket: report,Bob Fredericks,08/19/2014,01/07/2016,"The black teen killed by a white cop in Ferguson, Mo., viciously attacked the officer as he sat in his patrol car, delivering a bone-crunching punch that shattered the cop’s eye socket, a report claimed Tuesday.

Officer Darren Wilson suffered an “orbital blowout fracture to the eye socket,” {Gateway Pundit reported}<hyperlink=""http://www.thegatewaypundit.com/2014/08/breaking-report-po-darren-wilson-suffered-orbital-blowout-fracture-to-eye-socket-during-encounter-with-mike-brown/"">, citing sources in the St. Louis County Police Department and the DA’s office.

Wilson, who shot unarmed 18-year-old Michael Brown on Aug. 9, has not spoken publicly about the shooting, and is currently holed up at an undisclosed location.

A close friend revealed text messages the pair exchanged in which the cop said he is under 24-hour guard and “can’t go out,” the Daily Mail reported.

Jake Shepard, a nurse who has been friends with Wilson for 14 years, said Wilson did the right thing by defending himself against the hulking teen.

Wilson’s first text was sent last Friday after Shepard spoke to CNN in support of his pal.

“Thanks buddy I wasn’t expecting that,” Wilson wrote.

“No problem buddy, you deserve it,” Shepard responded, to which Wilson replied, “It means a lot thank you.”

Wilson texted him again on Monday, saying, “The support is really keeping me going during this stressful time. Just stay safe. I appreciate all you have done.”

Meanwhile, tensions flared in St. Louis — four miles from where Brown was slain — when cops killed a knife-wielding robbery suspect shouting, “Shoot me now! Kill me now!,” authorities said.

The shooting happened about 12:30 p.m. local time after the unidentified man had swiped energy drinks and pastries, St. Louis Police Chief Sam Dotson said.

“The suspect, who right now is described as a 23-year-old African-American, was acting erratically — walking back and forth up and down the street,” Dotson told reporters.

“As officers arrived, the suspect turned towards the officers and started to walk towards them clutching his waistband. He then pulled out a knife . . . and told the officers, ‘Shoot me now! Kill me now!’ ” the chief said.

“One of the witnesses described it as a suicide by cop.”

Cops said the shooting had no connection to the Ferguson case, describing it as an isolated incident.

But a crowd of about 100 gathered at the scene, some of them chanting “Hands up! Don’t shoot!” — the same refrain chanted by protesters in Ferguson.

The St. Louis cops involved in the shooting were placed on administrative duty according to department policy, Dotson said. Their identities were not revealed and neither officer’s race was immediately disclosed.

In Ferguson, officials called yet again for calm after at least 31 people were arrested overnight Monday into Tuesday — including a self-styled Communist revolutionary from Brooklyn.

Travis Morales was charged with refusal to disperse after he ignored cops’ orders to move, sources said.

A Vine video shows a man believed to be Morales — clad in a T-shirt that reads “Revolution, Nothing Less” — arguing with cops before his arrest.

State Highway Patrol Capt. Ron Johnson ripped Morales and other outside agitators for bringing violence to Ferguson.

“I am not going to let the criminals that have come here from across this country, or live in this neighborhood, define this community,” Johnson said.

About 17 others busted were also from out of state, including demonstrators from Chicago and other parts of Illinois, Alabama, Iowa, California, Washington, DC, and Austin, Texas.

Two people were shot overnight, but neither shooting involved the police. However, cops did fire multiple canisters of tear gas to disperse rioters and prevent further looting.

Also Tuesday, Benjamin Crump, an attorney for Brown’s family, said the teen’s funeral and memorial service would be held Monday.",NA,NA,NA,NA
NYPost,nyp2,http://nypost.com/2014/08/19/keep-your-distance-from-this-70s-show/,Keep your distance from this ‘70s show,John Podhoretz,08/19/2014,01/07/2016,"America first developed its taste for “nostalgia” culture — sentimental, rose-colored journeys into the recent past — in the 1970s.

From its first day to its last, that decade was a wretched time for the United States, and so it made sense for people living through it to lose themselves in memories of days not so long gone that seemed simpler, more innocent and less dirty (in every sense of the word).

Now, in the summer of 2014, we’re in the midst of a 1970s revival.

Only instead of the bittersweet sentiment that nostalgia usually invokes, the primary emotion today is a kind of horrified disbelief at the return of the decay and disorder that characterized our nation during its shabbiest decade.

Consider the ongoing tragedy in Ferguson, Mo. These nightly scenes of street rage following the killing of Michael Brown offer an eerie parallel to the anti-enforcement frenzy that followed the shootings of four college students during a Vietnam demonstration at Kent State University in Ohio in 1970.

Just as protests erupted nationwide after Kent State, we’ve seen marches in every major US city. And, as was the case after Kent State, peaceful demonstrators commingled with more subversive agitators looking not to quell tensions but to inflame them.

Indeed, there is reason to believe Ferguson may represent a tipping point, with libertarians and liberals coming together to discredit law-enforcement and incarceration policies.

In New York City, the reaction to the death of Eric Garner indicates that the ending of stop-and-frisk hasn’t calmed or quieted the Sharptons but has whetted their appetite to delegitimize “Broken Windows” policing — the revolutionary approach that ended the three-decade crime wave in New York City and has continued to make the city safer in the two decades since it was instituted.

The 1970s also saw a general turn among the elites against the NYPD, though in that case, the issue wasn’t so much police brutality as small-time corruption.

The department was paralyzed for years by the investigation by and findings of the Knapp Commission, which Mayor John Lindsay empaneled in 1970 to look into allegations by Frank Serpico (later immortalized by Al Pacino in the film named for him) that his fellow cops were both demanding and accepting graft from local businessmen and drug dealers.

Just as no one could say the National Guard did the right thing at Kent State, and just as no one could defend the NYPD’s notorious “grass eaters” and “meat eaters,” so it is with the cases of Michael Brown and the apparent chokehold:

Obviously, cops shouldn’t strangle a man as they take him into custody, and just as obviously, there ought to be some way police can immobilize a suspect without killing him.

But when cops use such tactics in potentially threatening circumstances, as the authorities in Ferguson have been doing — like firing tear gas and issuing orders for large groups of people to keep moving or disperse — they’re immediately accused not of showing restraint but of excessive force.

The problem, then and now, is that the criticism of police has moved from the specific to the general — from warranted concern about individual acts of excess by individual officers to the unwarranted notion that these excesses happen by design and are the conscious result of police policy.

This constitutes an ideological assault on policing itself, and it had parlous consequences in the 1970s — giving fearful police departments even more reason to stick cops in cars and work as first responders to crimes already committed (so-called “911 policing”) rather than serving as a strong public presence to deter crime in the first place.

Look, I saw “Guardians of the Galaxy,” and, like you, I really enjoyed the 1970s-laden soundtrack; Blue Swede’s 1974 version of “Hooked on a Feeling” brought me right back to the year of my bar mitzvah. The nostalgia ran riot in me.

But I lived through 1974 in New York City, and I don’t want to live through it again — and trust me, neither do you.",NA,NA,NA,NA
NYPost,nyp3,http://nypost.com/2014/08/19/outraged-teachers-tell-uft-pac-count-us-out/,Outraged teachers tell UFT PAC: Count us out,Joe Tacopino; Jamie Schram; Bruce Golding,08/19/2014,01/07/2016,"The UFT will pay a heavy price for sponsoring the Rev. Al Sharpton’s anti-cop rally on Staten Island — as a growing number of teachers vow to cancel their contributions to the union’s political action committee.

The United Federation of Teachers’ Committee on Political Education, or COPE, raked in more than $6 million between Jan. 1, 2013, and June 30, 2014, according to records filed with the Federal Election Commission.

But ever since the union announced its support last week for a protest over the police chokehold death of Eric Garner, hundreds of members have used the UFT’s own Facebook page to publicly sever ties with COPE.

“I would like a refund on my COPE contributions,” Jaime Russo Sclafani wrote. “It makes me sick that I donated money from my paycheck to support and provide transportation to march against the very people who keep us safe.”

Other posters listed contact information for the COPE office and a form letter to cancel payroll deductions that fund the powerful lobbying organization.

The UFT didn’t return requests for comment.

Tuesday’s announcement by Staten Island DA Dan Donovan that a special grand jury would hear evidence in Garner’s death had no impact on plans for Saturday’s protest, and law-enforcement sources said the NYPD was working hard to ensure it remained peaceful.

A high-ranking source said the recent rioting in Ferguson, Mo., over the police shooting of unarmed teen Michael Brown “is on the minds of everyone.”

“It’s of definite concern what’s happening down there . . . We don’t want another Ferguson on Staten Island,” the source said.

The source also noted that “Sharpton is bouncing back and forth from Ferguson to the city and now he’s having this rally on Staten Island. So we’re going to be ready.”

As many as 15,000 protesters are expected to show up, and merchants along the march route said they were preparing for the worst.

Ebdo Ali, manager of the Wedyan Food Deli on Stuyvesant Place, said he planned to close the store once he saw marchers approaching, which will likely cost at least $1,000 in receipts.

“You never know what’s going to happen — the windows could get broken, people could come in and steal, or take things and throw them at the cops,” said Ali, 36.

Lori Honor, owner of Honor Wines on Bay Street, said she also planned to close her store, despite the fact that Saturday is usually the busiest day of the week.

“Even if it goes smoothly, there’s no access for our customers,” she said. “We may have to reopen Sunday to recoup our losses.”

Meanwhile, outraged educators plan to wear NYPD T-shirts on the first day of school next month to show support for New York’s Finest.

“I will be wearing a NYPD shirt proudly,” said Raymond Cottrell, 54, a science teacher at IS 24 in Manhattan. “I do not agree with my union supporting the march.”",NA,NA,NA,NA
NYPost,nyp4,http://nypost.com/2014/08/19/teachers-want-their-money-back-after-uft-backs-sharpton/,Teachers want their money back after UFT backs Sharpton,Joe Tacopino; Jamie Schram; Bruce Golding,08/19/2014,01/07/2016,"The {UFT}<hyperlink=""http://nypost.com/tag/uft/""> will pay a heavy price for sponsoring the Rev. {Al Sharpton}<hyperlink=""http://nypost.com/tag/al-sharpton/"">’s anti-cop rally on Staten Island — as a growing number of teachers vow to cancel their contributions to the union’s political action committee.

The UFT’s Committee on Political Education, or COPE, raked in more than $6 million between Jan. 1, 2013, and June 30, 2014, according to records filed with the Federal Election Commission.

But ever since the union announced its support last week for a protest over the police chokehold death of {Eric Garner}<hyperlink=""http://nypost.com/tag/eric-garner/"">, hundreds of members have used the UFT’s own Facebook page to publicly sever ties with COPE.

“I would like a refund on my COPE contributions,” Jaime Russo Sclafani wrote. “It makes me sick that I donated money from my paycheck to support and provide transportation to march against the very people who keep us safe.”

Other posters listed contact information for the COPE office and a form letter to cancel payroll deductions that fund the powerful lobbying organization.

The UFT didn’t return requests for comment.

Tuesday’s announcement by Staten Island DA Dan Donovan that a special grand jury would hear evidence in Garner’s death had no impact on plans for Saturday’s protest, and law-enforcement sources said the NYPD was working hard to ensure it remained peaceful.

A high-ranking source said the recent rioting in Ferguson, Mo., over the police shooting of unarmed teen {Michael Brown}<hyperlink=""http://nypost.com/tag/michael-brown/""> “is on the minds of everyone.”

“It’s of definite concern what’s happening down there . . . We don’t want another Ferguson on Staten Island,” the source said.

The source also noted that “Sharpton is bouncing back and forth from Ferguson to the city and now he’s having this rally on Staten Island. So we’re going to be ready.”

As many as 15,000 protesters are expected to show up, and merchants along the march route said they were preparing for the worst.

Ebdo Ali, manager of the Wedyan Food Deli on Stuyvesant Place, said he planned to close the store once he saw marchers approaching, which will likely cost at least $1,000 in receipts.

“You never know what’s going to happen — the windows could get broken, people could come in and steal, or take things and throw them at the cops,” said Ali, 36.

Lori Honor, owner of Honor Wines on Bay Street, said she also planned to close her store, despite the fact that Saturday is usually the busiest day of the week.

“Even if it goes smoothly, there’s no access for our customers,” she said. “We may have to re-open Sunday to recoup our losses.”

Meanwhile, outraged educators plan to wear NYPD T-shirts on the first day of school next month to show support for New York’s Finest.

“I will be wearing a NYPD shirt proudly,” said Raymond Cottrell, 54, a science teacher at IS 24 in Manhattan. “I do not agree with my union supporting the march.”",NA,NA,NA,NA
NYPost,nyp5,http://nypost.com/2014/08/19/suspect-killed-in-st-louis-cop-shooting/,St. Louis cops shoot knife-wielding suspect dead,Bob Fredericks,08/19/2014,01/07/2016,"Cops shot and killed an erratic knife-wielding robbery suspect outside a convenience store in St. Louis on Tuesday afternoon, authorities said.

The shooting — about four miles from where an unarmed black teen was shot by a white cop in nearby Ferguson — happened just before 1 p.m. local time n the northern part of the city, St. Louis Police Chief Sam Dotson said.

“The suspect, who right now is described as a 23-year-old African American, was acting erratically — walking back and forth up and down the street,” Dotson told reporters, KSPR TV reported.

“As officers arrived, the suspect turned towards the officers and started to walk towards them clutching his waistband. He then pulled out a knife … and told the officers, ‘Shoot me now. Kill me now,’” the chief said.

The officers repeatedly told the man to stop and drop the knife, but he kept advancing until he was within about four feet of one of the officers, Dotson said.

Both officers then fired their weapons, killing the suspect, he said.

The officers – who were not injured – were placed on administrative duty according to department policy, he said.

[tweetbegin 501796619097239552 tweetend]

Neither the officers nor the victim’s race was immediately disclosed, and it did not appear that the shooting was related to the protests in nearby Ferguson.

But a crowd quickly gathered at the scene, some of them chanting “Hands up! Don’t shoot!” – the same refrain chanted by protesters in Ferguson angry over the Aug. 9 shooting of 18-year-old Michael Brown by Officer Darren Wilson.

That shooting sparked nightly demonstrations marred by rioting and looting, and prompted Gov. Jay Nixon to call in the National Guard.

[tweetbegin 501795682177798144 tweetend]",NA,NA,NA,NA
NYPost,nyp6,http://nypost.com/2014/08/19/witnesses-say-ferguson-teen-attacked-cop-before-shooting/,‘A dozen witnesses’ say Ferguson teen attacked cop before shooting,Bob Fredericks,08/19/2014,01/07/2016,"Multiple witnesses in riot-torn Ferguson, Mo., said that the unarmed black teen killed by a white cop attacked the officer in his patrol car before the teen was shot, according to a new report.

“Police sources tell me more than a dozen witnesses have corroborated cop’s version of events in shooting,” St. Louis Post-Dispatch crime reporter Christine Byers tweeted, without elaborating.

[tweetbegin 501556693382094848 tweetend]

Officer Darren Wilson has not spoken publicly about the Aug. 9 shooting of 18-year-old {Michael Brown}<hyperlink=""http://nypost.com/tag/michael-brown/""> shortly after Brown and a pal allegedly stole a $50 box of cigars in a strong-arm robbery at a convenience store.

But two friends have come forward to defend him — with one describing his version of events leading up to the killing.

A man who said he played hockey with the 28-year cop said on “Good Morning America” Tuesday that Wilson was a “really quiet, well-mannered, respectful guy” who showed no signs of violence.

“‘I can tell that this is really hard on him,” said the man, who said he had exchanged texts with Wilson since the shooting, which sparked nights of violence on the streets of Ferguson, {prompting the governor to call in the National Guard}<hyperlink=""http://nypost.com/2014/08/18/national-guard-arrives-in-ferguson-amid-violent-protests/"">.

Earlier, another friend who identified herself only as Josie called “The Dana Show” on radio station KFTK to say that Wilson told her the tall, burly Brown, 18, had “bum-rushed“ him before the shooting.

Josie — who said she heard the version from Wilson’s girlfriend — said the cop encountered Brown and his pal Dorian Johnson walking down the middle of a street, pulled up and ordered them onto the sidewalk.

Wilson then noticed the pair were carrying cigars, and had heard the report of the robbery and recognized the pair as possible suspects.

“And he’s looking at them and they got something in their hands and it looks like it could be what, you know, those cigars or whatever. So he goes in reverse back to them,” Josie said.

Wilson, she said, “tries to get out of his car. They slam his door shut violently. I think he said Michael did. And then he opened the car again. He tried to get out. He stands up.

“And then Michael just bum-rushes him and shoves him back into his car. Punches him in the face and then Darren grabs for his gun. Michael grabbed for the gun. At one point he got the gun entirely turned against his hip. And he shoves it away. And the gun goes off,” Josie said.

“Well, then Michael takes off and gets to be about 35 feet away. And Darren’s first protocol is to pursue. So he stands up and yells, ‘Freeze!’ Michael and his friend turn around. And Michael taunts him … And then all the sudden he just started bum-rushing him. He just started coming at him full speed,” she told the station.

“So [Wilson] really thinks [Brown] was on something, because he just kept coming. It was unbelievable. And so he finally ended up, the final shot was in the forehead, and then he fell about two to three feet in front of the officer,” she said.

An autopsy performed by the St. Louis County medical examiner determined Brown had marijuana in his system when he was shot.

Meanwhile, police said {31 people were arrested overnight Monday into Tuesday}<hyperlink=""http://nypost.com/2014/08/19/ferguson-officer-overheard-reporting-a-gunshot-victim-during-latest-protests/""> as rioting continued unabated despite the National Guard’s presence.

But NBC News reported that 78 people had been taken into custody, citing arrest records.

State Highway Patrol Capt. Ron Johnson said at least one person from New York and another from California were among those busted, though cops on Tuesday provided no further details.

Two people were shot, though police were not involved.

“Our officers came under heavy fire. Not a single bullet was fired by officers,” Johnson during a news conference at 2:30 a.m. Tuesday.

But cops did fire multiple canisters of tear gas to disperse the rioters and prevent further looting.

“This nation is watching each and every one of us,” said Johnson, who was clearly angry during the news conference, The Post-Dispatch reported. “I am not going to let the criminals that have come here from across this country, or live in this neighborhood, define this community.”
",NA,NA,NA,NA
NYPost,nyp7,http://nypost.com/2014/08/19/redskins-players-put-hands-up-in-nod-to-ferguson/,Redskins players put hands up in nod to Ferguson,Justin Terranova,08/19/2014,01/07/2016,"The redskins still have race issues to address, but the players walked on tonight with their hands up {#Ferguson}<hyperlink=""https://twitter.com/hashtag/Ferguson?src=hash""> {#HTTR}<hyperlink=""https://twitter.com/hashtag/HTTR?src=hash""> {pic.twitter.com/XaUcgGlQmM}<hyperlink=""https://twitter.com/lauviticus/status/501569686983958528/photo/1"">

— lauve (@lauviticus) {August 19, 2014}<hyperlink=""https://twitter.com/lauviticus/status/501569686983958528"">

Johnny Manziel provided one kind of gesture Monday night. Members of the Redskins made one that was a lot more meaningful.

The team’s secondary came out for pregame introductions with their hands raised to honor Michael Brown, the teen shot dead by a police officer in Ferguson, Mo., and those protesting in the streets of the St. Louis suburb.

“We just wanted everybody to know that we support Michael and acknowledge what happened in Ferguson,” {Redskins safety Brandon Meriweather told USA Today}<hyperlink=""http://www.usatoday.com/story/sports/nfl/redskins/2014/08/19/washington-michael-brown-brandon-meriweather/14271575/"">.

“Crazy things happen every day in this world. It was all of ours idea, something we decided to do as a group just to show our support.”

The idea came from {veteran members of the team’s secondary}<hyperlink=""https://www.washingtonpost.com/news/football-insider/wp/2014/08/19/redskins-secondary-puts-hands-up-in-pregame-introductions-referencing-protests-in-ferguson-mo/"">.

“Anytime you get an opportunity to do something like that, it’s something that needs to be discussed, something that you truly need to believe,” safety Ryan Clark said told the Washington Post.

“That could have been any one of us. That could have been any one of our brothers, our cousins, just anyone. We have voices, even though sometimes we don’t like to see it that way, we do have voices. We got the opportunity to do something.”",NA,NA,NA,NA
NYPost,nyp8,http://nypost.com/2014/08/19/ferguson-officer-overheard-reporting-a-gunshot-victim-during-latest-protests/,"Two shot, 31 arrested as Ferguson erupts again",Associated Press,08/19/2014,01/07/2016,"FERGUSON, Mo. — The National Guard arrived in Ferguson but kept its distance from the streets where protesters clashed again with police, as clouds of tear gas and smoke hung over the St. Louis suburb where Michael Brown was fatally shot by a police officer.

Protesters filled the streets after nightfall Monday, and officers trying to enforce tighter restrictions used bullhorns at times to order them to disperse. Police deployed noisemakers and armored vehicles to push demonstrators back. Officers fired tear gas and flash grenades.

Capt. Ron Johnson of the Missouri Highway Patrol, who is in charge of security in Ferguson, said bottles and Molotov cocktails were thrown from the crowd and that some officers had come under heavy gunfire. At least two people were shot and 31 were arrested, he said. He did not have condition updates on those who were shot. Johnson said four officers were injured by rocks or bottles.

Demonstrators no longer faced the neighborhood’s midnight-to-5 a.m. curfew, but police told protesters that they could not assemble in a single spot and had to keep moving. After the streets had been mostly cleared, authorities ordered reporters to leave as well, citing the risk from gunfire that had been reported.

A photographer for the Getty photo agency was arrested while covering the demonstrations and later released. Two German reporters were arrested and detained for three hours. Conservative German daily Die Welt said correspondent Ansgar Graw and reporter Frank Herrmann, who writes for German regional papers, were arrested after allegedly failing to follow police instructions to vacate an empty street. They said they followed police orders.

Johnson said members of the media had to be asked repeatedly to return to the sidewalks and that it was a matter of safety. He said in some cases it was not immediately clear who was a reporter but that once it was established, police acted properly.

Citing “a dangerous dynamic in the night,” Johnson also urged protesters with peaceful intent to demonstrate during the daytime.

The latest clashes came after a day in which a pathologist hired by the Brown family said the unarmed black 18-year-old suffered a bullet wound to his right arm that may indicate his hands were up or his back was turned. But the pathologist said the team that examined Brown cannot be sure yet exactly how the wounds were inflicted until they have more information.

Witnesses have said Brown’s hands were above his head when he was repeatedly shot by an officer Aug. 9.

The independent autopsy determined that {Brown was shot at least six times}<hyperlink=""http://nypost.com/2014/08/18/police-use-tear-gas-to-clear-streets-of-ferguson/"">, including twice in the head, the family’s lawyers and hired pathologists said.

The St. Louis County medical examiner’s autopsy found that Brown was shot six to eight times in the head and chest, office administrator Suzanne McCune said Monday. But she declined to comment further, saying the full findings were not expected for about two weeks.

A grand jury could begin hearing evidence Wednesday to determine whether the officer, Darren Wilson, should be charged in Brown’s death, said Ed Magee, spokesman for St. Louis County’s prosecuting attorney.

A third and final autopsy was performed Monday for the Justice Department by one of the military’s most experienced medical examiners, {Attorney General Eric Holder}<hyperlink=""http://nypost.com/2014/08/18/eric-holder-sent-to-ferguson-for-michael-brown-investigation/""> said.

Holder was scheduled to travel to Ferguson later this week to meet with FBI and other officials carrying out an independent federal investigation into Brown’s death.

The Justice Department has mounted an unusually swift and aggressive response to Brown’s death, from the independent autopsy to dozens of FBI agents combing Ferguson for witnesses to the shooting.

In Washington, President Barack Obama said the vast majority of protesters in Ferguson were peaceful, but warned that a small minority was undermining justice. Obama said overcoming the mistrust endemic between many communities and their local police would require Americans to “listen and not just shout.”

Obama said he also spoke to Missouri Gov. Jay Nixon about his {deployment of the National Guard}<hyperlink=""http://nypost.com/2014/08/18/national-guard-arrives-in-ferguson-amid-violent-protests/""> in Ferguson and urged the governor to ensure the Guard was used in a limited way.

Brown family attorney Benjamin Crump said Brown’s parents wanted the additional autopsy because they feared results of the county’s examination could be biased. Crump declined to release copies of the report.

“They could not trust what was going to be put in the reports about the tragic execution of their child,” he said during Monday’s news conference.

The second autopsy, Crump said, “verifies that the witness accounts were true: that he was shot multiple times.”

Forensic pathologist Shawn Parcells, who assisted former New York City chief medical examiner Dr. Michael Baden during the private autopsy, said a bullet grazed Brown’s right arm. He said the wound indicates Brown may have had his back to the shooter, {or he could have been facing the shooter with his hands above his head}<hyperlink=""http://nypost.com/2014/08/18/michael-brown-might-have-been-shot-with-his-hands-up-pathologist/""> or in a defensive position across his chest or face.

“We don’t know,” Parcells said. “We still have to look at the other (elements) of this investigation before we start piecing things together.”

Baden — who has testified in several high-profile cases, including the O.J. Simpson murder trial — said one of the bullets entered the top of Brown’s skull, suggesting his head was bent forward when he suffered that fatal injury. The hired pathologists said Brown, who also was shot four times in the right arm, could have survived the other bullet wounds.

Baden also said there was no gunpowder residue on Brown’s body, indicating he was not shot at close range. However, Baden said he did not have access to Brown’s clothing, and that it was possible the residue could be on the clothing.

Crump also said Brown had abrasions on his face from where he fell to the ground, but there was “otherwise no evidence of a struggle.”",NA,NA,NA,NA
NYPost,nyp9,http://nypost.com/2014/08/18/national-guard-arrives-in-ferguson-amid-violent-protests/,National Guard arrives in Ferguson amid violent protests,Bob Fredericks; Candace Amos,08/18/2014,01/07/2016,"The Missouri National Guard hit the ground in the besieged St. Louis suburb of Ferguson on Monday to try to rein in Molotov cocktail-tossing rioters who have been looting stores and menacing cops.

Missouri Gov. Jay Nixon ordered the guardsmen to protect the State Highway Patrol’s command center, which was nearly overrun Sunday by mobs protesting the fatal Aug. 9 shooting of unarmed black teen Michael Brown by a white cop.

“I join the people of Ferguson, and all Missourians, in strongly condemning the violent acts we saw [Sunday] night, including the firing upon law-enforcement officers, the shooting of a civilian, the throwing of Molotov cocktails, looting and a coordinated attempt to overrun the unified command center,” the Democratic governor said.

“We are all frustrated and looking for justice to be achieved regarding the shooting death of Michael Brown. As the dual investigations continue into what happened nine days ago, we must defend Ferguson from these violent interlopers.”

In other developments Monday:

President Obama dispatched US Attorney General Eric Holder to Ferguson to calm tensions. Holder was expected to arrive Wednesday as part of an unusually swift and large federal response that included 40 FBI agents canvassing for witnesses.

Former New York City Medical Examiner Michael Baden, who conducted an autopsy for Brown’s family, said that he found no signs of struggle by the teen and that the teen may have been shot at least once from behind.

Another autopsy performed by the St. Louis County medical examiner showed Brown had marijuana in his system when he was shot, The Washington Post reported, citing a source close to the investigation.

New video from a woman who lives near the scene and obtained by CNN showed Ferguson cop Darren Wilson nervously pacing and speaking to another officer minutes after shooting Brown, whose body lay uncovered and bleeding just feet away.

A Missouri grand jury was expected to begin hearing evidence Wednesday to decide whether Wilson should be criminally charged. But the case prosecutor, Bob McCulloch, was already taking heat over whether he could remain impartial: His father, mother, brother, uncle and cousin all worked for St. Louis’ police department, with his dad killed while responding to a call involving a black suspect.

Missouri National Guard Brig. Gen. Gregory Mason said his “well-trained and well-seasoned soldiers assigned to the command post’’ were “well-equipped’’ to handle their mission of protecting the site.

The state Highway Patrol continued to patrol the surrounding streets to try to maintain order.

They were given the job last week after St. Louis County cops and SWAT teams were accused of employing heavy-handed, military-style tactics while confronting protesters.

Highway Patrol Capt. Ronald S. Johnson — who, like Nixon, blamed the rioting on outside agitators — vowed to maintain order.

“We will not allow vandals, criminal elements to impact the safety and security of this community,” Johnson said.

“We will not allow those elements disrupt, impact the soul of this community.”

Nixon on Monday suspended the midnight-to-5 a.m. curfew imposed Saturday, but cops were still telling protesters to move along and not gather in one place

Authorities said three people had been injured in shootings during the night but that none of the shootings involved police officers. Police said seven or eight people were arrested on charges of failing to disperse.At one point, a McDonald’s was overrun by protesters and the workers inside had to take shelter.

A Twitter post said a 90-year-old Holocaust survivor, Hedy Epstein, was among those busted for blocking Nixon’s administration building. An accompanying photo showed her being led off with her arms behind her back.",NA,NA,NA,NA
NYPost,nyp10,http://nypost.com/2014/08/18/eric-holder-sent-to-ferguson-for-michael-brown-investigation/,Eric Holder sent to Ferguson for Michael Brown investigation,Josh Saul; Marisa Schultz,08/18/2014,01/07/2016,"President Obama — under increasing fire for frolicking on Martha’s Vineyard in the middle of national and international crises — flew back to DC for a hastily arranged press conference Monday.

While the president previously planned to head back to DC, now he will spend two days huddling with advisers over the fatal shooting of Michael Brown, an unarmed black teen, by a white cop in the St. Louis suburb of Ferguson, Mo.

He told reporters he had already ordered US Attorney General Eric Holder to fly to Ferguson to personally oversee the investigation into Brown’s death.

“[Holder] will also be meeting with other leaders in the community whose support is so critical to bringing about peace and calm in Ferguson,” the president said.

While a “vast majority” of people are protesting peacefully, a “small minority” are acting criminally, Obama said.

“While I understand the passions and the anger that arise over the death of Michael Brown, giving in to that anger by looting or carrying guns and even attacking the police only serves to raise tensions and stir chaos. It undermines rather than advancing justice,” Obama said.

“In order to truly begin the process of healing, we must also see an end to the acts of violence in the streets of Ferguson,” Holder said.

“Those who have been peacefully demonstrating should join with law enforcement in condemning the actions of looters and others seeking to enflame tensions.”

Obama also addressed criticism of local police departments using grant money to buy military equipment, saying, “There is a big difference between our military and our local law enforcement and we don’t want those lines blurred. That would be contrary to our traditions.”

Holder said the Justice Department is putting its full resources into its investigation into Brown’s death.

“During the day today, more than 40 FBI agents continued their canvassing of the neighborhood where Michael Brown was shot,” Holder said in a statement Monday.

“As a result of this investigative work, several new interviews have already been conducted.”

Holder criticized the “selective release” of sensitive information in the case.

Over the weekend, the Ferguson Police Department said Brown was a robbery suspect when he was stopped by the cop who killed him, although the officer didn’t know that at the time.

“The selective release of sensitive information that we have seen in this case so far is troubling to me,” Holder said.

“No matter how others pursue their own separate inquiries, the Justice Department is resolved to preserve the integrity of its investigation,’’ Holder said.",NA,NA,NA,NA
