Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
NewsOne,news1,https://woldcnews.newsone.com/1505300/the-ferguson-hashtag-on-instagram-is-very-disturbing/,The #FERGUSON Hashtag On Instagram Is Very Disturbing,Staff,08/11/14,02/01/17,"If you ask Instagram, protests in Ferguson, Missouri over the killing of teen Michael Brown by police have turned into a full blown war between unarmed protestors and swat style police. I searched the hashtag #FERGUSON trying to gain a little bit more knowledge on the situation. Social media is a great way to get a person to person perspective on national news stories, as opposed to a main stream media point of view. What I found on the hashtag was way more disturbing that knowledgable. It looked like something straight out of a scene from Saving Private Ryan, instead the war took place in Ferguson. Pictures of people who had been in the middle of tear gas bombs, videos of police firing rubber bullets at unarmed civilians, it looked like the photos we see from Iraq. Could this be our country? Should police even have equipment like tanks with mounted machine guns? All types of questions started running through my head.

{Click here to take a look at a few of the Instagram posts}<hyperlink=""http://hot1079philly.com/3528969/the-ferguson-hashtag-on-instagram-is-very-disturbing/"">",0,159,NA,NA
NewsOne,news2,https://newsone.com/3045626/jesse-williams-mike-brown-ferguson/,Jesse Williams On Ferguson: ‘White People Have The Privilege Of Being Treated Like Human Beings’,NewsOne Staff,08/18/14,02/01/17,"In an appearance on CNN on Sunday, “Grey’s Anatomy” star Jesse Williams, 33, tackled the blatant racial bias in media character assassinations of  slain Ferguson teen Michael Brown, who was unarmed when he was shot and killed August 9 by police officer Darren Wilson.

I think we have to talk about the narrative and make sure we’re starting at the beginning. You will find that people doing the oppressing often want to start the narrative at a convenient point,” Williams said. “This started with a kid getting shot and killed and left in the street for four hours. I’ve never seen a white body left in the heat for four hours in the sweltering heat.”

…

“I know plenty of white kids that steal stuff from convenience stores,” Williams continued in response to allegations that Brown stole cigars moments before his murder by law enforcement. “There is this idea that every time a black person does something they automatically become a thug worthy of their own death.”

“The rest of us are not treated like human beings. Period,” the actor said. “That needs to be discussed. That is the story.”

Williams is always found front and center in calls for social and racial justice, as evidenced by his consistent and fearless advocacy for of Black men.

“There’s a lot of young black men getting gunned down because people felt they were threatened,” said Williams about slain Florida {Trayvon Martin}<hyperlink=""https://www.youtube.com/watch?v=jhcADY5u_Ak"">. “Unarmed boys who were supposedly threats because being a black man in this country is sometimes an act of aggression in itself.”

When speaking out about the shooting death of {Jordan Davis}<hyperlink=""http://www.hlntv.com/video/2014/02/13/greys-anatomy-star-people-should-be-outraged""> with HLN’s Jane Velez-Mitchell, Williams discussed the myth of the Black criminal:

“This is a tradition in this country, where people are able to go ahead and kill Black people because they’ve gotten sassed or inconvenienced. We’re victims of a fantasy. This fantasy of what the Black body does and can do has become more importantly than the reality and we pay for it with our lives,” Williams said. “Look at the amount of boys that are being shot because you feel scared. The idea of feeling threatened is not the same thing as being threatened. We pretend that it is, but it’s not. We have to keep fighting to be heard and to be treated like human beings.”

When Velez-Mitchell introduced William’s class privilege into the conversation, asking how he could still feel so “disenfranchised” with all of his success, he responded:

“I don’t think of just me, I think of a collective group of people. While privilege is very well, whether it’s a class issue that obviously exists–I’m glad you bring that up. This idea of having to explain why it’s racial, while we’re standing in our own blood is silly. It’s racial because it doesn’t happen to White people.”",0,1200,NA,NA
NewsOne,news3,https://newsone.com/3045812/the-legal-aspects-of-the-case-in-ferguson/,The Legal Aspects Of The Case In Ferguson,NewsOne Now,08/18/14,02/03/17,"Attorneys Malik Zulu Shabazz, Midwin Charles, Glenn Ivey, Bob Waldek and Jimmy Bell joined Roland Martin on “NewsOne Now” Monday to discuss the legal aspects of the Michael Brown case in Ferguson. Listen to their entire conversation below.",0,29,NA,NA
NewsOne,news4,https://newsone.com/3044479/al-sharpton-ferguson-protests/,Rev. Al Sharpton Calls For St. Louis Police Restraint In Ferguson,D.L. Chandler,08/14/14,02/03/17,"National Action Network (NAN) President Rev. Al Sharpton (pictured) visited the city of Ferguson, Mo., Tuesday, urging peace among demonstrators angered at the shooting death of Black unarmed teenager {Michael “Mike” Brown}<hyperlink=""https://newsone.com/3044308/mike-brown-swat-team-ferguson-reporters-arrested/"">The city of Ferguson erupted into riots and looting late Sunday night and continued in to the next day.

As reported by several witnesses in the city via social media, the looting and riots have not occurred since Monday evening but that hasn’t stopped authorities from rolling out heavy artillery. Armed in gear as if Ferguson was a full-out war zone, the police drove armored tanks in the streets and hit peaceful protesters with tear gas and rubber bullets.

Rev. Sharpton spoke with Chief Belmar this morning, ahead of a planned meeting with NAN staff and local leaders with police in the county, stating he’ll return to the region once talks have commenced. Rev. Sharpton visited with the family of Brown and held a press conference and rally that called for justice in the case. Further, NAN will help provide funds to the Brown family to conduct a proper funeral for the 18-year-old.

From Rev. Sharpton:

I told Chief Belmar that I was outraged by what I have seen on TV since leaving Ferguson and that we must not have excessive force to deal with legitimate protest of excessive force. We want to solve the problem, not create new ones. Even if we disagree, this climate is not good for anyone and is dangerous for everyone.

According to NAN, the organization’s Rev. De-Ves Toon of the National Field Department and other colleagues will revisit the area with Rev. Sharpton after the planned talks conclude. at the hands of police. On Thursday, Rev. Sharpton spoke with St. Louis County Police Chief John Belmar, demanding restraint from officers in Ferguson and also demanding a thorough Justice Department investigation.",0,14,NA,NA
NewsOne,news5,https://newsone.com/3045712/claudia-jordan-reports-on-how-the-ferguson-police-dept-are-justifying-mike-brown-shooting-exclusive-video/,Claudia Jordan Reports On How The Ferguson Police Dept. Are Justifying Mike Brown Shooting [EXCLUSIVE VIDEO],NewsOne Staff,08/15/14,02/03/17,"{Claudia Jordan}<hyperlink=""http://rickeysmileymorningshow.com/tag/claudia-jordan""> was on the scene Friday morning as the Ferguson police chief revealed the name of {Michael Brown‘s}<hyperlink=""http://rickeysmileymorningshow.com/tag/michael-brown""> shooter. In a crowd full of outraged citizens, Claudia reports more upsetting news to {“The Rickey Smiley Morning Show.”}<hyperlink=""http://rickeysmileymorningshow.com/"">

Listen to the audio player below to hear Claudia reveal what the Ferguson police department is saying now to justify the killing of Michael Brown. And hear an infuriated community’s response to the new allegations that truly captures the heartbreak and unrest this nation is feeling yet again.

Special thanks to CNN for sharing this powerful audio with viewers.

Listen to “The Rickey Smiley Morning Show” weekdays from 6-10 am EST for {more interviews}<hyperlink=""http://rickeysmileymorningshow.com/category/the-show-2/rickey-smiley-interviews/""> and {important conversations}<hyperlink=""http://rickeysmileymorningshow.com/category/the-show-2/3-things-you-should-know/"">. 

[tweetbegin 500648004979003392 tweetend]

",0,534,NA,NA
NewsOne,news6,https://newsone.com/3046015/don-lemon-ferguson/,Watch Ferguson Cops Aggressively Push CNN News’ Don Lemon During Protest,Ruth Manuel-Logan ,08/19/14,02/03/17,"While CNN anchor Don Lemon (pictured above, in white) was reporting from the tense streets of Ferguson, Miss., early Monday morning as protestors stood in solidarity against the brutal killing of 18-year-old Michael Brown, he was pushed back aggressively several times by a police officer who clearly did not care he was being filmed by CNN cameras.

As CNN cameras rolled, Lemon held a microphone as an officer is gruffly ordered, “Move out of the way, sir. Move!” To which Lemon reponded,“We’ve been standing here all day.” Still, the officer outstretched his arms to push the reporter and the crowd back.

“We’ve got rights!” a woman behind Lemon screamed.

Lemon continued his report despite the officer’s aggressiveness toward him and the crowd. “I’m not going to resist a police officer,” Lemon stated as he was pushed backward. “Now you see why people are so upset here, because we have been here all day,” he added. “We’re on national television. So imagine what they are doing to people when you don’t see on national television, the people who don’t have a voice like we do.”

At one point, the 48-year-old Emmy Award-winning reporter, who has received criticism from the Black community for his controversial generalizations about Blacks, asked an officer, why he was trying to move people out of the area. After listening to the officer’s response, Lemon concluded, “I think from my perspective here, the police actually created the traffic situation and the situation that’s going on, the chaos here, rather than the people who are just standing here.”

Check out Lemon’s televised CNN report here:",0,342,NA,NA
NewsOne,news7,https://newsone.com/3045004/mya-aaten-white-ferguson/,Howard University Grad Mya Aaten-White Shot During Ferguson Protests,D.L. Chandler,08/18/14,02/03/17,"A 2012 graduate of {Howard University}<hyperlink=""https://newsone.com/2045565/hbcu-howard-university/""> says she was shot in the head during the demonstrations in Ferguson, Mo. Mya Aaten-White (pictured) posted an image to her Instagram page, which showed her bandaged and bruised, and her former school acknowledged her via social media.

Aaten-White was among the many citizens who took to the Ferguson streets to protest the police shooting death of 18-year-old Michael “Mike” Brown. Although details of who shot Aaten-White are not yet known, the current legal assistant posted the photo of her injury on Wednesday. From the photo, Aaten-White is in the back of an ambulance receiving treatment for her injuries.

According to a report from NBC Washington, there hasn’t been an announcement from authorities confirming if the shooting occurred during the protests nor has Aaten-White provided more information aside from her postings on social media. A scan of her Instagram page does show she was active and on the ground during the protests.

Howard University’s Twitter page featured a tweet in support of Aaten-White:

“Our prayers are with alumna Mya White & her family. The senseless gun violence has to stop. As a nation, we must stand against the violence,” it read.

The situation in Ferguson has been intense over the past few days, but the state finally took action Thursday by replacing an  police force in the predominantly Black city with the Missouri State Highway Patrol squad. The state’s Highway Patrol will be led by Capt. Ronald S. Johnson, an African-American man who is a native of St. Louis.

",0,203,NA,NA
NewsOne,news8,https://newsone.com/3045113/toni-morrison-and-malcolm-x-on-mike-brown-and-the-police-in-ferguson/,Toni Morrison and Malcolm X On Mike Brown and the Police In Ferguson,Donovan X. Ramsey,08/15/14,02/08/17,"What’s happening in Ferguson, Missouri around the killing of unarmed teenager Mike Brown is playing out according to a familiar script. The timeline of events and reaction by local and national authorities are so predictable that they don’t even require new analysis. More than 50 years ago, Malcolm X gave a speech on police brutality and how cases are handled in the mainstream media and society. Watch below.

Then, during the criminal trial of O.J. Simpson, author Toni Morrison appeared on “Charlie Rose” and offered comments on the racists association of blackness with criminality. Though the words were about Simpson’s case, they apply all too well all these years later to the situation in Ferguson and new smears against Mike Brown. Watch below.

",0,290,NA,NA
NewsOne,news9,https://newsone.com/3042999/missouri-crowd-after-shooting-kill-the-police/,"Ferguson, Missouri Crowd After Fatal Shooting Of Unarmed Teen: ‘Kill The Police’",NewsOne/Associated Press,08/09/14,02/08/17,"Schellman says there were no reports of additional injuries at the scene, and the crowd was under control by 5 p.m. About 60 other officers initially responded to the area.

The victim has been identified via social media as 17-year-old Michael “Mike Mike” Brown. According to Ferguson resident {La’Toya Cash}<hyperlink=""https://twitter.com/AyoMissDarkSkin"">, he was shot 10 times by Ferguson Police.

Brown, a 2014 graduate of Normandy High School, was scheduled to begin classes at Vatterott College on Monday.

According to Dorian Johnson, he was walking with Brown when an officer confronted them and drew his weapon.

“He (the officer) shot again and once my friend felt that shot, he turned around and put his hands in the air,” said Johnson. “He started to get down and the officer still approached with his weapon drawn and fired several more shots.”

“He was a good kid. He didn’t live around here,” said Desuirea Harris, grandmother of the victim. “He came to visit me and they did that to him for no reason.”

Brown’s mother, Lesley Mcspadden, reacts:

[tweetbegin 498210025383288832 tweetend]

[tweetbegin 498248648699150336 tweetend]

Ferguson police just executed an unarmed 17 yr old boy that was walking to the store. Shot him 10 times smh. pic.twitter.com/GkpoO6Vq0I

— La’Toya Cash (@AyoMissDarkSkin) August 9, 2014

[tweetbegin 498195516425920513 tweetend]

[tweetbegin 498250923034947585 tweetend]

[tweetbegin 498250346574381056 tweetend]

[tweetbegin 498249643524775936 tweetend]

[tweetbegin 498238350214438912 tweetend]

[tweetbegin 498278163437592576 tweetend]

[tweetbegin 498277856766865409 tweetend]

[tweetbegin 498277853461762049 tweetend]

[tweetbegin 498276102511816705 tweetend]

Teenager #MikeBrown won’t start college on Monday because he was shot ten times by a #Ferguson police officer. pic.twitter.com/3Pewec9gob

— Governor Oopsies (@GovernorOopsies) August 10, 2014

Tears are flowing down my face for #MikeBrown and his family. The murdering of unarmed black boys by the police has to STOP. #MikeMike

— Sil Lai Abrams (@Sil_Lai) August 10, 2014

The president of the St. Louis County NAACP Missouri State Representative Ester Haywood released the following statement:

“We are hurt to hear that yet another teenaged boy has been slaughtered by law enforcement especially in light of the recent death of Eric Garner in New York who was killed for selling cigarettes. We plan to do everything within our power to ensure that the Ferguson Police Department as well as the St. Louis County Police Department releases all details pertinent to the shooting. We strongly encourage residents to stay away from the crime scene so that no additional citizens are injured. I have spoken directly with St. Louis County Police Chief Jon Belmar, and I am confident that both he and his department will ensure that the investigation is conducted properly and that all details are kept transparent.”

The officer who shot Brown has been placed on paid administrative leave pending an investigation.",0,2000,NA,NA
NewsOne,news10,https://newsone.com/3044215/mike-brown-police-dispatch-audio-tapes/,Hacker Group Anonymous Releases Michael Brown Shooting Dispatch Tapes [AUDIO],NewsOne Staff,08/13/14,02/08/17,"FERGUSON, Mo. (AP) — A law enforcement spokesman says a large crowd has confronted officers, yelling such things as “kill the police” after a police officer fatally shot a male in a St. Louis-area neighborhood.

St. Louis County Police spokesman Brian Schellman says shots were heard at the scene Saturday afternoon in Ferguson, a few miles north of downtown St. Louis. Schellman said “a couple hundred people” came out of nearby apartment buildings after a Ferguson officer shot the male. He didn’t identify the person or say what prompted the shooting.

Hacker activist group Anonymous — who have recently {joined in the protest against the killing of Michael Brown}<hyperlink=""https://newsone.com/3043349/intl-hacker-group-joins-ferguson-protest/""> —  has released audio of alleged St. Louis area police, or possibly EM, radio dispatch. The dispatch content reportedly occurs on the day and time of Michael Brown’s death at the hands of a Ferguson, Missouri, police officer.

Some highlights of the recording include:

At 9:40 the dispatcher can be heard stating, “Ferguson has a … is asking for assistance with crowd control”
Near the 11:00 mark in the audio file, “a large group gathering” is mentioned
“We just got another call stating there’s an officer-involved shooting” (11:16)
“Be advised this [shooting] information came from the news” (11:26)

",0,836,NA,NA
