Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
Slate,slate1,http://www.slate.com/blogs/the_slatest/2014/08/10/michael_brown_unarmed_black_teenager_shot_in_ferguson_a_st_louis_suburb.html,Police in St. Louis Suburb Shoot Unarmed Black Teenager Multiple Times,Daniel Politi,08/10/2014,02/10/2016,"[tweetbegin 498453798730227714 tweetend]

A local chapter of the NAACP is demanding the FBI get involved in the investigation into why an unarmed black teenager was killed Saturday by a police officer in a St. Louis suburb. After a night of protests in Ferguson following the shooting of Michael Brown, officials confirmed the 18-year-old was not armed and was running away when he was shot “more than just a couple” of times, St. Louis County Police Chief Jon Belmar said. Still, Belmar said the teenager had tried to reach for an officer’s gun in a patrol car, where one shot was fired. Brown’s fatal gunshot wounds came outside the vehicle, reports {St. Louis Post-Dispatch}<hyperlink=”http://www.stltoday.com/news/local/crime-and-courts/police-ferguson-teen-struggled-over-officer-s-gun-before-being/article_f9d627dc-e3c8-5bde-b2ab-7f0a3d36a083.html”>. It’s unclear what caused the altercation in the first place. The officer who shot Brown has not been identified but has been placed on administrative leave.

Belmar gave a brief news conference Sunday as some community members marched to the Ferguson police department with their hands up in the air, chanting “Don’t shoot.” They also carried signs that read “stop police terrorism” and “disarm the police,” reports the {Associated Press}<”http://hosted.ap.org/dynamic/stories/U/US_POLICE_SHOOTING_MISSOURI?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2014-08-10-11-23-22”>.

""My son just turned 18 and graduated from high school, and he don't bother nobody,"" Brown's mother, Lesley McSpadden, told local NBC affiliate {KSDK}<hyperlink=”http://www.ksdk.com/story/news/crime/2014/08/10/ferguson-police-news-conference-michael-brown/13860601/”>. McSpadden says Brown, who was scheduled to begin classes at Vatterott College next week, was shot eight times. Police say they still have to investigate to determine how many times Brown was actually shot.

Brown’s shooting took place two weeks before a planned march to protest the death of 43-year-old Eric Garner, a Staten Island man who was killed by a police chokehold during an arrest on July 17.

[tweetbegin 498253652755111937 tweetend]",481,259,NA,NA
Slate,slate2,http://www.slate.com/blogs/the_slatest/2014/08/11/michael_brown_shooting_ferguson_rioting_reported_fbi_will_investigate.html,32 Arrested in Rioting as FBI Takes Over Investigation of St. Louis Police Killing (Update: FBI Denies),Ben Mathis-Lilley,08/11/2014,02/12/2016,"Thirty-two people were arrested overnight as {riots and looting broke out}<hyperlink=“http://www.stltoday.com/news/local/crime-and-courts/violence-breaks-out-near-site-of-vigil-for-teen-killed/article_f9d627dc-e3c8-5bde-b2ab-7f0a3d36a083.html”> after protests over the shooting death of Michael Brown, an unarmed black teenager who was {killed by police in the St. Louis suburb of Ferguson}<hyperlink=“”http://www.slate.com/blogs/the_slatest/2014/08/10/michael_brown_unarmed_black_teenager_shot_in_ferguson_a_st_louis_suburb.html> on Saturday. The Associated Press has just reported, meanwhile, that the {FBI will take over the investigation of the shooting}<hyperlink=“http://bigstory.ap.org/article/fbi-taking-over-missouri-police-shooting-teen”>. From the St. Louis Post-Dispatch:

Officer Brian Schellman of the St. Louis County police said two officers were injured overnight Sunday — one was hit by a brick and one suffered knee injuries. Police arrested 32 people for theft, assault or burglary.

A convenience store was smashed and set on fire—videos showed that parts of it were almost completely destroyed—and at least four other stores were attacked.

From the Associated Press:

Ferguson Police Chief Tom Jackson tells The Associated Press that he was informed Monday that the FBI was going to take over the investigation into the death of 18-year-old Michael Brown. Jackson says he welcomes the move.

Police have said that Brown or a man he was with {attempted to take an officer's gun}<hyperlink=“http://www.nytimes.com/2014/08/11/us/police-say-mike-brown-was-killed-after-struggle-for-gun.html”> in a struggle that took place next to and inside a police vehicle—but they also said that Brown was 35 feet away from the vehicle and unarmed when he was shot.

Update, August 11, 1 p.m.:

[tweetbegin 498874675687358465 tweetend]",226,358,NA,NA
Slate,slate3,http://www.slate.com/blogs/the_slatest/2014/08/12/michael_brown_witness_police_allegedly_turn_down_offer_of_interview.html,Police Reportedly Refused Offer to Interview Man Who Was With Michael Brown During Shooting,Ben Mathis-Lilley,08/12/2014,02/15/2016,"Early this morning, MSNBC {posted an interview with Dorian Johnson}<hyperlink=“http://www.msnbc.com/msnbc/eyewitness-michael-brown-fatal-shooting-missouri”>, a 22-year-old from Ferguson, Missouri, who says he was the {other man}<hyperlink=“http://www.nytimes.com/2014/08/11/us/police-say-mike-brown-was-killed-after-struggle-for-gun.html”> walking with Michael Brown before the incident that led to Brown's death:

The officer demanded that the two “get the f—k on the sidewalk,” Johnson says. “His exact words were ‘Get the f—k on the sidewalk.’ ”

After telling the officer that they were almost at their destination, Johnson’s house, the two continued walking. But as they did, Johnson says the officer slammed his brakes and threw his truck in reverse, nearly hitting them.

Now, in line with the officer’s driver’s side door, they could see the officer’s face. They heard him say something to the effect of, “what’d you say?” At the same time, Johnson says the officer attempted to thrust his door open but the door slammed into Brown and bounced closed. Johnson says the officer, with his left hand, grabbed Brown by the neck.

Johnson does not report seeing Brown attempt to take the officer's gun, which police have claimed was the action that precipitated the shooting. He says Brown was first shot next to the patrol car, again after running away, and again after turning to face the attacking officer with his hands in the air. Johnson is being represented by Freeman Bosley, a former St. Louis mayor. Bosley says police haven't spoken to Johnson and turned down Bosley's offer to set up a meeting; the police haven't responded to that claim.",267,1100,NA,NA
Slate,slate4,http://www.slate.com/blogs/the_slatest/2014/08/12/faa_no_fly_zone_in_ferguson_missouri_amid_tensions_over_shooting.html,FAA Imposes No-Fly Zone in Ferguson After Police Say Its Helicopters Fired Upon,Elliot Hannon,08/12/2014,02/15/2016,"Following a {night of heavy protests}<hyperlink=“http://www.slate.com/blogs/the_slatest.html”> in Ferguson, Missouri over the death of teenager Michael Brown, {the Federal Aviation Administration imposed a no-fly zone}<hyperlink=“”http://tfr.faa.gov/save_pages/detail_4_2599.html> over the St. Louis suburb. The reason cited by the FAA for the ban on low flying aircraft—anything up to 3,000 feet—is “to provide a safe environment for law enforcement activities.”

The shooting death of Michael Brown by a Ferguson police officer has sparked outrage in the community. On Monday night, tensions hit a new level as {protestors were cleared by riot police with tear gas}<hyperlink=“”http://www.slate.com/blogs/the_slatest/2014/08/12/ferguson_tear_gas_video_angry_but_apparently_unarmed_residents_face_attack.html>. According to the St. Louis police department, police helicopters were fired on, causing the FAA to clear the skies. Here’s more on the ban {from NBC News}<hyperlink=“”http://www.nbcnews.com/news/us-news/michael-brown-death-no-fly-zone-enacted-over-missouri-town-n179011>:

""On Sunday night our police helicopter came under fire on 3 or 4 occasions, so we requested that the FAA put up a no-fly zone for the safety of pilots who would be in the area,"" St. Louis County Police Department Officer Brian Schellman told NBC News. The ban on flights is scheduled to last until Monday, Aug. 18.

No aircraft have been hit, but police chopper pilots did see shots fired from various locations during looting and riots that took place on Sunday night from about 10 p.m. to midnight, Schellman said. ""We don’t know if it was a long gun or a handgun or what,"" he said.

He denied that the move was to keep news helicopters from covering the scene.",236,539,NA,NA
Slate,slate5,http://www.slate.com/blogs/the_slatest/2014/08/12/ferguson_police_shooter_s_name_won_t_be_released_because_of_threats.html,Police Won't Release Name of Officer Who Shot Teen Out of Concern for His Safety,Ben Mathis-Lilley,08/12/2014,02/15/2016,"Ferguson, Missouri, police won't release the name of the officer who killed Michael Brown {because of ""threats,”}<hyperlink=“https://www.washingtonpost.com/news/post-nation/wp/2014/08/12/ferguson-police-wont-identify-officer-who-shot-and-killed-michael-brown/”> the Washington Post's Marc Berman reports:

Timothy Zoll, a spokesman for the Ferguson Police Department, told The Washington Post that the name won’t be released because of threats made against Ferguson police officers on social media sites.

The officer involved in the incident has been placed on paid administrative leave. There is no timetable for when police could release the officer’s name, Zoll said.

A group claiming association with the online hacker collective Anonymous has said that they believe they know the name of the officer who shot Brown {but are checking their information before releasing it}<hyperlink=“https://twitter.com/OpFerguson/status/499203260528328705”>. St. Louis police are investigating Brown's death at the request of Ferguson's police department.",251,25,NA,NA
Slate,slate6,http://www.slate.com/blogs/the_slatest/2014/08/12/ferguson_s_motif_protestors_with_arms_raised_asking_police_not_to_fire.html,"""Don't Shoot"": Protestors, Arms Raised, Face Heavily Armed Police on Tense Night in Ferguson",Ben Mathis-Lilley,08/12/2014,02/15/2016,"Images of police releasing tear gas have been circulating online, as have reports of police firing rubber bullets and ordering residents and members of the media to leave public areas. 

[tweetbegin 499024693525884928 tweetend]

Fortunately, despite the unsettling visuals and volatile circumstances, only a few seemingly minor injuries have been reported so far—two men hit by rubber bullets, presumably fired by police officers—and no one has been reported arrested. What has emerged from Ferguson is a characteristic image of protest—men and women approaching police with their arms raised over their heads.

[tweetbegin 499018748129316866 tweetend]

It seems to be a response to the circumstances of Brown's death—he was shot while unarmed, reportedly with his {hands above his head}<hyperlink=“”http://www.newyorker.com/news/amy-davidson/michael-brown-die-ferguson>.

[tweetbegin 499006766349185027 tweetend]

[tweetbegin 499030781541371905 tweetend]

[tweetbegin 499036082344710144 tweetend]


The Justice Department, FBI, and local police are investigating the shooting.

[tweetbegin 499051240526192640 tweetend]",827,1300,NA,NA
Slate,slate7,http://www.slate.com/blogs/the_slatest/2014/08/13/ferguson_protest_curfew_police_ask_residents_not_to_gather_after_dark.html,Ferguson Police Ask Residents to Self-Enforce Protest Curfew,Ben Mathis-Lilley,08/13/2014,02/15/2016,"The Ferguson, Missouri, police department has issued a statement about the unrest that has followed the killing of Michael Brown:

In addition to looting and property destruction on Sunday night, authorities allege that protesters have thrown rocks and bottles and fired shots at police helicopters.
 
In other Ferguson news, a lawyer for Dorian Johnson—the man who {says he was with Brown}<hyperlink=“”http://www.slate.com/blogs/the_slatest/2014/08/12/michael_brown_witness_police_allegedly_turn_down_offer_of_interview.html> when Brown was shot—{says}<hyperlink=“”https://twitter.com/WesleyLowery/status/499606771246567424> Johnson will meet with the FBI and prosecutors today.",74,92,NA,NA
Slate,slate8,http://www.slate.com/blogs/the_slatest/2014/08/13/new_ferguson_shootings_armed_man_shot_near_site_of_killing_protests.html,Two Shootings Reported in Ferguson Area Overnight,Ben Mathis-Lilley,08/13/2014,02/15/2016,"{An armed man was shot by police near Ferguson, Missouri, early this morning}<hyperlink=“http://www.ksdk.com/story/news/crime/2014/08/13/north-county-police-shooting-chambers/13989885/”>, but the incident does not seem to be related to protests over the death of Michael Brown, and the officers involved came from the St. Louis County force rather than Ferguson Police Department. From KSDK:

The shooting happened just before 1 a.m. Wednesday at Chambers Road and Sheffingdell Court in unincorporated St. Louis County.

St. Louis County police say they responded to a report about four masked men carrying shotguns in the area. The caller said the suspects had fired shots.

When police arrived at the scene they saw the men running. One officer ""came into contact"" with a suspect, who turned and pointed a handgun at the officer.

A police officer fired at least once at the suspect, wounding him. He was taken to an area hospital in critical condition.


In an earlier incident, a Ferguson woman was injured in (a possible drive-by shooting}<hyperlink=“”http://www.ksdk.com/story/news/crime/2014/08/13/ferguson-woman-shot-in-head/13990051/>.

Protests continued in Ferguson on Tuesday night, and some tear gas was used by police, but no arrests or injuries were reported.",265,23,NA,NA
Slate,slate9,http://www.slate.com/articles/news_and_politics/jurisprudence/2014/08/michael_brown_eric_garner_debra_harrell_just_three_examples_of_why_i_don.html,Why I Don’t Call the Police,Emily Bazelon,08/14/2014,02/15/2016,"A few weeks ago, when the news was about {Debra Harrell}<hyperlink=“”http://www.slate.com/blogs/xx_factor/2014/07/15/debra_harrell_arrested_for_letting_her_9_year_old_daughter_go_to_the_park.html>, a black single mom who left her 9-year-old daughter at the park for the day while she went to work at McDonald’s, {I talked on the Slate Political Gabfest}<hyperlink=“http://www.slate.com/articles/podcasts/gabfest/2014/07/the_gabfest_on_impeachment_fever_and_john_boehner_s_lawsuit_against_obama.html”> about why I’m reluctant to call the police, especially on black people. The day that show taped, Eric Garner, a 43-year-old unarmed black man, got into an argument with the police in Staten Island and was killed when one officer put him into a chokehold. The {video of this incident}<hyperlink=“”http://time.com/3016326/eric-garner-video-police-chokehold-death/>, shot by a friend of Garner’s from the street, shows a shockingly swift escalation from Garner’s words to the cop’s violence. As I got tweets and emails from Gabfest listeners flagging it for me, I had that sick feeling you get when something awful happens that proves your point.

It was just one anecdote, just coincidence. Except of course, it wasn’t. Last Saturday, police in the St. Louis suburb of Ferguson, Missouri, killed 18-year-old Michael Brown, who was black and unarmed. Police Chief Thomas Jackson says Brown hit an officer and tried to take his gun; on Thursday, Jackson added that the officer had gone to the hospital and that his face was swollen. The friend Brown was with, Dorian Johnson, tells a different story. Johnson says he and Brown were walking down the middle of the street when a police officer told them to get on the sidewalk, and that Brown used only words, not his fists, to object. {Another witness}<hyperlink=“http://www.kmov.com/special-coverage-001/Another-witness-to-Michael-Brown-Jr-shooting-speaks-to-News-4-271139501.html”> said she saw Brown tussling with an officer at the window of a police car, and that Brown fled as shots were fired.

Maybe we will find out who is telling the truth about Michael Brown’s death, and who is not, but it’s hard to have faith in that right now, as the St. Louis County Police Department, which is investigating the shooting, turns Ferguson into a military zone. The {images}<hyperlink=“”http://www.theatlantic.com/national/archive/2014/08/ferguson-police-face-civil-rights-protest-dressed-for-military-combat/375962/> and {descriptions}<hyperlink=“”https://twitter.com/trymainelee> of cops in riot gear, {training huge guns on protesters}<hyperlink=“http://www.vox.com/2014/8/13/6000799/ferguson-governor-nixon-president-obama-need-to-get-control”> and {shooting tear gas and rubber bullets into peaceful crowds}<hyperlink=“http://livestream.com/accounts/9035483/events/3271930”>, are just unreal. Or at least, they should be. I know there was looting in Ferguson over the weekend, but now, {as my colleague Jamelle Bouie points out}<hyperlink=“”http://www.slate.com/articles/news_and_politics/dispatches/2014/08/ferguson_police_attack_protestors_with_tear_gas_rubber_bullets_on_site_reporting.html>, it’s the police who are jacking up the conflict, with their armored vehicles and gas masks and SWAT gear ({courtesy of the federal government}<hyperlink=“”http://www.vox.com/2014/6/9/5793204/why-the-feds-are-putting-grenade-launchers-in-the-hands-of-local-cops>). Instead of calm, they are bringing chaos, {refusing to release the name of the officer who shot Brown}<hyperlink=“http://www.nytimes.com/2014/08/14/us/missouri-teenager-and-officer-scuffled-before-shooting-chief-says.html?hp&action=click&pgtype=Homepage&version=LargeMediaHeadlineSum&module=photo-spot-region&region=photo-spot&WT.nav=photo-spot&_r=0”> and last night, {arresting two journalists}<hyperlink=“”http://www.slate.com/blogs/the_slatest/2014/08/13/two_journalists_briefly_arrested_in_ferguson.html>.

Meanwhile, black people across the country are responding with moving images in the Twitter feed {#iftheygunnedmedown}<hyperlink=“”https://twitter.com/hashtag/IfTheyGunnedMeDown?src=hash>, and showing solidarity, soberingly {expressed in this photo from Howard University}<hyperlink=“http://www.bloggingblackmiami.com/2014/08/howard-university-students-in-solidarity-with-protesters-in-ferguson.html”>. Black writers like Jamelle and {Jelani Cobb}<hyperlink=“”http://www.newyorker.com/news/daily-comment/anger-ferguson> are explaining why Brown’s death resonates, adding it to a list of other suspect police shootings and explaining how, as Cobb put it, “the race-tinged death story has become a genre itself, the details plugged into a grim template of social conflict.”

I’ve been thinking about something related but different: Why writing about legal issues for 20 years has taught me that black people are at risk from the police in a way that the rest of us are not—and how that shapes my own choices.

Maybe the unfairness I’m talking about is obvious to you, whatever your race. There is {plenty}<hyperlink=“”http://www.slate.com/articles/news_and_politics/politics/2014/08/broken_windows_policing_deaths_racism_in_chokeholds_arrests_and_convictions.html> {of evidence}<hyperlink=“http://www.newyorker.com/magazine/2014/08/11/crooked-ladder”> that black men, in particular, bear the brunt of {arrests}<hyperlink=“”http://www.nyclu.org/issues/racial-justice/stop-and-frisk-practices>, convictions, and {long sentences}<hyperlink=“https://www.opensocietyfoundations.org/reports/racial-disparity-sentencing”>, out of proportion to their crime rate. The divide opens early in life: Black kids are far more likely to be suspended, expelled, and funneled into the juvenile justice system than nonblack kids. {Again, the disparity can’t be explained by their behavior: It reflects the heavy hand of systemic bias}<hyperlink=“https://www.washingtonpost.com/national/federal-data-show-racial-gaps-in-school-arrests/2012/03/01/gIQApbjvtR_story.html”>. There are incredibly depressing studies suggesting that “racial bias also factors into officers’ split-second decision to shoot a suspect,” {as Rebecca Leber lays out in the New Republic}<hyperlink=“”https://newrepublic.com/article/119060/michael-brown-studies-show-racial-bias-police-shootings>. It does not help {that police officers tend to be white more than the communities they serve}<hyperlink=“”https://newrepublic.com/article/119070/michael-browns-death-leads-scrutiny-ferguson-white-police?utm_content=buffer44233&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer> (especially outside of large cities). In Ferguson, for example, two-thirds of the residents are black, and 50 of 53 police officers are white.

In covering the law, I’ve had {more chances}<hyperlink=“http://www.nytimes.com/2010/05/23/magazine/23strikes-t.html?pagewanted=all”> {than I want}<hyperlink=“http://www.slate.com/articles/news_and_politics/crime/2012/04/jerry_brown_pardons_shirley_ree_smith_in_an_old_sad_shaken_baby_case_.html”> {to remember}<hyperlink=“http://www.slate.com/articles/news_and_politics/crime/2012/03/why_george_zimmerman_trayvon_martin_s_killer_hasn_t_been_prosecuted_.html”> to watch these patterns play out in people’s lives. It’s become pretty much a given for me that if the criminal justice system gets a hold of a black person, especially if he is poor, there is a terrible, heightened risk that it will try to crush him. I know we need law enforcement. I know most cops are good people who are trying to do their jobs. But the police have so much power. And often, {they are not made to answer when they abuse it}<hyperlink=“http://www.nytimes.com/2000/02/26/nyregion/diallo-verdict-overview-4-officers-diallo-shooting-are-acquitted-all-charges.html”>—even when, {as it appears in Garner’s case, they broke their own rules}<hyperlink=“http://www.nytimes.com/2014/07/22/nyregion/9-cases-of-police-chokeholds-punishment-was-rare-review-board-says.html?module=Search&mabReward=relbias%3Ar%2C%7B%221%22%3A%22RI%3A9%22%7D”>.

But I don’t just know this because of my job. I’ve known it since childhood, because I grew up in Philadelphia, and I’m old enough to remember the frightening, overt racism of Frank Rizzo’s police department and the sorrowful night in 1985 when a black neighborhood burned. Rizzo was gone by then, and we had a black mayor, but {the long-running conflict between the police and the black liberation group MOVE helped give rise to that  fire, which killed 11 people and burned down 61 homes}<hyperlink=“”http://www.slate.com/articles/news_and_politics/culturebox/2013/10/let_the_fire_burn_jason_osder_s_documentary_about_philadelphia_move_and.html>.

You might say, that’s a crazy extreme, and it happened a long time ago. (Or you might have, until you saw Ferguson last night.) Here’s a memory of an incident that’s far more ordinary but for me more indelible, because I didn’t see it refracted through a TV screen. It’s from 1998 or 1999, just across the border of New Haven, where I lived, in the town of Hamden, on a street called Cherry Ann. I was visiting a black family, four sisters and a mother. Bear with me while I explain what I was doing there. I met this family in 1993, when I was an intern at the New Haven Advocate. I was supposed to write about them as an example of successful reunification after foster care. It turned out that the story was more complicated than that. The girls were the victims of prolonged and serious sexual abuse at the hands of the father of the youngest one, who had lived with them and their mother. When I met them, his trial was a month away and the two oldest sisters were to be the main witnesses. They were 11 and 13. I spent the summer reporting their story, which mostly meant hanging out with them on their front porch, going to the park, and swimming at the public pool. The prosecutor in the case was dedicated, caring, and full of concern for them. The girls gave their testimony, credible and solid, and the man who hurt them went to prison for a long, long time. That part of the story is about the criminal justice system working.

But on the late ’90s night when I stopped by to say hello, I saw a side of law enforcement I’d never seen firsthand. I was inside the house, talking with the girls and their mom when we heard sirens come screaming down the street. We looked through the window and then opened the front door. The cops pounded on the door of another home on the block. They went inside and came out with two guys who they clubbed to the ground. When the men were down, faces against the asphalt and hands cuffed, the cops yanked them into a police car and went zooming off into the night.

I don’t know who those men were or what they’d done. I asked the girls and their mother if they were drug dealers, and they shook their heads: They didn’t think so, but they didn’t know. Mostly, they weren’t surprised. Whatever led up to that arrest, to them the use of force felt routine. Like everyone else on the street, they went back inside and shut the door.

For me, the whole thing was mind bending. It all seemed entirely unaccountable. This was before cellphones and the citizen videos that have changed how we see deaths like Garner’s or an {arrest of a black passerby like this one}<hyperlink=“”http://thedignityvirus.com/2014/08/09/activists-protest-bombing-of-gaza-and-innocent-passerby-harassed-by-pro-israel-opposition-and-arrested/>. I had no idea what to make of what I’d seen. Were the police protecting people like the family I was visiting from the thugs in the neighborhood? Or were they flexing their muscle because they could? Had they crossed the line into misconduct? Were they a force for good or for ill?

I still don’t know. But I came away sure of one thing: I couldn’t imagine anything like that happening on any street I’ve lived on. And it’s black people who tend to live in the places where it does happen—and when the police clearly do use excessive force, their victims often have little recourse. And sometimes, people die. That happened again on Monday night, in Los Angeles, to 25-year-old black man Ezell Ford, whose mental illness, his family said, was well known to the police but who the police say got into a struggle during an investigative stop, went for an officer’s gun, and was shot and killed.

Between 2003 and 2009, according to the Bureau of Justice Statistics, 4,813 people died “while law enforcement personnel were attempting to arrest or restrain them, or shortly thereafter,” {as Gene Demby writes for NPR}<hyperlink=“”http://www.npr.org/sections/codeswitch/2014/07/29/335847224/what-we-see-in-the-eric-garner-video-and-what-we-dont>, and about 60 percent of the deaths are classified as homicides by the police (I don’t know how many of the people killed were black). Demby points out that this is a small number in the context of the 98 million arrests made nationally during the same time period. But it’s still a scary number, especially when, as in Michael Brown’s case so far, police departments seem intent on protecting their own from the consequences.

This is the sharp edge of my explanation for why as a white person, if I have a choice about whether to involve the police in the life of a black person, I will try to choose not to. I’m not saying that I won’t call 911 and pray as hard as I can for the police to come if someone, whatever race, breaks in to my house. But much of the time, our choices are made in a far hazier gray area. To go back to the story of Debra Harrell and her daughter, who wound up respectively, getting arrested and going into foster care: If I saw a 9-year-old black girl alone in the park, and she said her mom was at work, I would not call the police. I would ask that girl if she was OK and try to talk to her mom. Because, once the wheels of the bureaucratic state start to turn, they can grind people up. Maybe the police want to help but don’t have discretion. Maybe “the law is an ass,” as my colleague David Plotz put it on the Gabfest. Whatever the cause, I would rather stay away from bringing its weight to bear on someone else, especially when I know that person is likelier to get an unfair shake.

The girls whom I visited on Cherry Ann Street have grown up, and one of them has an 18-year-old son. He graduated from high school in May, and he’s supposed to start college next week. He is a good kid who has not had an easy life and who is making his way. One day earlier this summer, he says, a friend brought a moped to his house and said he could ride it. The boy I know drove the bike and got stopped by the police because he wasn’t wearing goggles. They ran the moped through the system and discovered it was stolen, and he’s now facing larceny charges. This wouldn’t happen to one of my sons. I just don’t think it would. Just like I don’t think I would ever have my kids taken away from me for letting them go to the park alone.

So what does this have to do with Ferguson? What’s happening there—the tear gas, the tanks—is not what’s happening in black neighborhoods all across America every day. But it’s the same dynamic that black people experience too often, and more often than everyone else: The arm of the government that is meant to protect them instead poses a danger, to their lives and their futures. Keep that in mind the next time you consider calling the cops.",1700,6800,NA,Has a subtitle under the title “Michael Brown. Eric Garner. Debra Harrell. And that’s just the latest.”
Slate,slate10,http://www.slate.com/blogs/weigel/2014/08/14/law_and_order_vs_overkill_the_conservative_response_to_ferguson.html,Law-and-Order vs. Overkill: The Conservative Response to #Ferguson,David Weigel,08/14/2014,02/15/2016,"This blog has {defined ""Hannitization”}<hyperlink=“http://www.slate.com/blogs/weigel/2011/01/13/palin_to_be_hannitized.html”> as the method of cleaning up a messy situation by doing a soft-touch interview with Fox's Sean Hannity. (Hannity himself uses the verb ""Hannitize"" to describe the act of being convinced by him. Really, he does.)

Hannitization {is not confined}<hyperlink=“”http://crooksandliars.com/2014/08/ferguson-police-chief-turns-hannity-handle> to raw politics. Last night, around the time that two journalists were being arrested for failing to flee a locked-down McDonald's quickly enough, Hannity got an exclusive with Ferguson's police chief, Thomas Jackson. Now, the {slow and stingy flow}<hyperlink=“”http://www.nytimes.com/2014/08/14/us/missouri-teenager-and-officer-scuffled-before-shooting-chief-says.html?smid=tw-share&_r=1#> of information from Jackson's office is a real issue on the ground. The name of the officer who killed Michael Brown has not been released. The police department has not said whether eyewitnesses who have been talking to the media have been interviewed by police, too. And while it's not the key issue in the Brown case, the heavy militarization of the police forces, a trend that had been covered by the libertarian journalist Radley Balko and the Pulitzer winner Matt Apuzzo, has {broken out as a controversy}<hyperlink=“http://www.msnbc.com/msnbc/ferguson-the-blurred-line-between-law-enforcement-and-combat”>.

Hannity asked about none of this.

Indeed, the whole interview is a chance for Jackson to reiterate that the cops are doing the right thing. Here's how it ends:

HANNITY: You are certain that an altercation occurred and a shot was fired within the car, meaning Mr. Brown was in the car at some point?

JACKSON: He was, he was -- yes.

HANNITY: In other words, he wasn't handcuffed in the car. He went in the car of his own volition.

JACKSON: Yes.

HANNITY: And do you believe there was a struggle for that gun?

JACKSON: That's what the county police chief said in his opening statement. He's the one that took the -- his officers are the ones that took the statement from both the officer and the witnesses.

HANNITY: What about the unrest that has taken place now in your city? Do you believe a lot of the looting and a lot of what has happened is a result of outside agitators, as some have suggested, or do you think this is just a community angry at what happened?

JACKSON: No, it's a lot of outside agitators that are causing the violence. We've had some -- several very peaceful protests. I mean, they're angry. They want -- they have questions they want answers to. And I understand that. I get that.

Outside agitators! That's a whip-smart line to use on Fox News, which ran so much footage of the New Black Panther Party's bumbling 2008 ""protection"" of a Philadelphia polling place, and the subsequent legal cases against the NPP, that the Panthers practically qualified for the Screen Actors Guild.

Hannity's warm-milk interview gets at a division in conservative America. I mentioned that the reporter who's been on the ""militarized police"" beat the longest is Radley Balko. (While at the Cato Institute, in 2006, he published {a paper}<hyperlink=“http://www.cato.org/publications/white-paper/overkill-rise-paramilitary-police-raids-america”> on paramilitary police raids.) And in a popular column for National Review, Charles C. Cooke argued that the conservatives {trying to change the subject}<hyperlink=“http://www.nationalreview.com/article/385162/rights-wrong-reaction-missouri-shooting-charles-c-w-cooke”> in Ferguson to black-on-black crime are making themselves and their peers sound callous. ""The question of who guards the guardians pertains now as keenly as it ever has,"" he wrote. ""The Right’s answer should be 'we do' — and we’re happy to hang them high if we know that they have transgressed.""

The absence of President Obama from the conversation is one reason that the pro-cop, change-the-subject argument has been limited largely to buffoons. Yes, he put out a statement about Brown, and Todd Starnes, a Fox News commentator who can be counted on to react to events in a stupid way, asked why Obama didn't say anything about the police officer. (You know, the one whose name isn't being revealed.) But Obama has been on vacation, and taken his lumps, in a marked contrast to his quick, televised response to the killing of Trayvon Martin. That response, as {Ta-Nehisi Coates}<hyperlink=“http://www.theatlantic.com/magazine/archive/2012/09/fear-of-a-black-president/309064/”> pointed out, fired the starting gun on conservative media coverage of Martin as {a thug who was up to no good}<hyperlink=“https://www.washingtonpost.com/blogs/compost/wp/2013/02/05/todd-kincannons-trayvon-martin-trolling/”> and could have killed a guy.

The modern GOP, the one that elected Richard Nixon and bult its base in the South and the suburbs, established early on that it was the {“law and order”}<hyperlink=“http://www.newsmax.com/ChristopherRuddy/buchanan-nixon-eisenhower-ailes/2014/07/22/id/584199/”> party. The crime waves of the 1960s and 1970s and the crack wars of the 1980s were crucial to Republican dominance, and led to tough-on-crime legislation that's still on the books. Only recently, as violent crime rates have tumbled, has the libertarian tendency of the GOP reasserted itself. We've seen the {“Right on Crime"" Republican}<hyperlink=“http://www.nationalreview.com/article/368877/bipartisan-prison-reform-betsy-woodruff”> legislators pass prison reform bills; we've seen {Rand Paul talk}<hyperlink=“http://www.slate.com/articles/news_and_politics/politics/2014/02/republicans_are_favoring_going_easy_on_drug_offenders_the_young_gop_leaders.html”> about restoring the voting rights of felons, and shrinking the number of crimes that can be classified as life-ruining felonies. 

It's an open question: Which of these tendencies will characterize the conservative response to Ferguson? The law-and-order tendency that assumes the cops pointing their guns at protesters are preventing the outside agitators from doing something wild? Or the {libertarian tendency}<hyperlink=“https://twitter.com/justinamash/status/499740253633388546”> that asks if you really want a photo of the occupation of Crimea to be indistinguishable from a photo of the St. Louis metro area?",632,954,NA,NA
