Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
Telegraph,tele1,http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11044708/Anger-grows-as-police-in-St-Louis-shoot-dead-a-second-black-man.html,Anger grows as police in St Louis shoot dead a second black man,Rob Crilly,08/19/14,02/15/16,"Police shot and killed a black suspect in St Louis, close to the site where Michael Brown died 10 days ago sparking violent protests.
The episode is likely to further enflame passions in Ferguson, which has seen nightly rioting, amid accusations that the police are out of control.
Locals said the second victim, believed to be in his 30s, was well-known for having a history of mental health problems.
Sam Dotson, St Louis Police Chief, said in a tweet that officers had responded to a call and found an apparently agitated man, armed with a knife who yelled, “Kill me now” before approaching the patrol.
He added: “Officers gave suspect verbal commands. Officers feared for their safety and both officers fired their weapons. Suspect is deceased.”
Some bystanders questioned whether the man was armed and said he was accused of stealing two bottles of soda.
An angry crowd grew quickly outside the convenience store where the latest victim died.
Some young men said they planned to burn it down and accused the police of being intent on murdering young black men.
“Why didn’t they use a Taser,” said Germaine Leroy. “What are they shooting for? I’ve been shot with a Taser so I know how it incapacitates.”
The case of Michael Brown, who was unarmed when he was shot dead, has polarised the nation. Night after night demonstrators have fought running battles with police who are struggling to maintain control.
The latest death leaves St Louis and its surrounding satellite cities facing another escalation.
Charlene Turner, who lives near the shop, said: “Everyone knew him. We’d see him all the time. Everyone knew he was mentally challenged.
“He went in that store all the time. They should not have shot him.”
Local councillors were rapidly on the scene trying to de-escalate tensions.
Antonio French, a regular site at protests in Ferguson only a few miles away, said he hoped to keep a lid on the growing fury.
“The thing that sparked anger in Ferguson is the lack of representation,” he said. “Here the representatives have arrived in minutes.
“The police chief is here.
“Yes, there’s anger but we are working to make sure it is not like Ferguson.”",NA,647,NA,NA
Telegraph,tele2,http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11044348/Michael-Brown-tussled-with-police-seconds-before-fatal-shooting.html,Michael Brown 'tussled with police’ seconds before fatal shooting,Rob Crilly,08/19/14,02/15/16,"Police tussled with Michael Brown shortly before he was shot, according to a witness who videoed the immediate aftermath of a shooting that has set aflame a Missouri suburb and divided America.

The pictures show a body lying in the street as two officers pace back and forth in disbelief.

Piaget Crenshaw supplied her own commentary between sobs as she filmed on a mobile phone: “They killed him,” she said.

The killing of an unarmed black teenager by a white officer in Ferguson, a St Louis suburb, 10 days ago has reopened America’s long standing racial wounds.

Protesters have clashed night after night with police close to site where Brown, 18, died.

Early on Tuesday, protesters shot at police and threw rocks and firebombs. Police responded with tear gas to disperse the crowd, and arrested 31 people. Two people suffered gunshot wounds from bullets that police said must have been fired by protesters.

Barack Obama ordered the attorney-general to go to Ferguson on Wednesday to meet federal officials investigating the case and the national guard have been deployed, the first time they have responded to civil unrest since the 1992 Los Angeles Riots.

Mrs Crenshaw said she waited to release her video until police had identified the officer involved. Her description of what happened in the seconds leading up to Brown death could yet prove explosive.

“From it all initially happening, I knew this was not right,” she told CNN, the channel that released the footage.

“I knew the police shouldn’t have even been chasing this young boy and firing at the same time, and the fact that he got shot in his face, it was something that clicked in me, like, somebody else needs to see this.”

She described a tussle between Brown and an officer later identified as Darren Wilson. When Brown, the bigger man, slipped his grasp the officer gave chase.

The first shot grazed Brown’s arm. When he turned, he was hit repeatedly, she said.

The police account claims that Brown reached for the officer’s gun but Mrs Crenshaw said she could not tell one way or another.

Whatever the exact chain of events, the episode has proved a sobering reminder that, despite electing a black president, racial tensions remain high in American society.

An opinion poll conducted by the Pew Research Centre, shows that attitudes to the case have polarised along race lines. While almost two-thirds of African-Americans believe the police response has been heavy handed, only a third of whites think it has gone too far.
Monday night brought another tense stand-off and bouts of violence.

Police tried a new tactic – their fourth in little more than a week – lifting a curfew and instead mounting a massive show of force with five armoured vehicles and riot squads formed into ranks.

They allowed the bulk of the 2000 protesters to march up and down the pavements of West Florissant Street, the epicentre of the trouble, but arrested anyone who strayed into the street or lingered in one place, including at least four journalists.

The day resembled a carnival as roses were handed out. Nelly, the St Louis-born rapper, visited the site, wearing a T-shirt with the logo #MikeBrown.

As darkness fell, a small number of protesters confronted police. March organisers pleaded with them to turn away but could not prevent three or four water bottles being hurled at the blockade.

Officers responded with snatch squads, racing forward before pinning suspects to the ground at gunpoint. The police retreated in seconds.
Antonio French, a local councillor who has helped ease tension all week, said: “This seems a better approach, to come out and arrest a few individuals rather than targeting the whole crowd.”
Then things turned ugly. Gunshots sounded from the QuikTrip convenience store where a hard core of protesters – some from Chicago – had gathered.
A low-rider car raced up the street carrying a man who had been shot in the arm.
Police responded to the unrest with volleys of tear gas and smoke bombs.
They later said they had come under heavy fire and four officers were wounded but that they head fired no shots themselves.
Capt Ron Johnson, who is in charge of the operation, urged protesters to make their point during daylight, stating: “There is a dangerous dynamic in the night. It allows a small number of violent agitators to hide in the crowd and then attempt to create chaos.”
Police also arrested protesters in nearby St Louis, including a 90-year-old Holocaust survivor.
Hedy Epstein fled Nazi Germany in 1939 on the Kindertransport, when thousands of children were brought to the UK for safety.
“I’ve been doing this since I was a teenager. I didn’t think I would have to do it when I was 90,” she told The Nation as she was escorted to a police van. “We need to stand up today so that people won’t have to do this when they're 90.”
Meanwhile, in New York a prosecutor said on Tuesday he would ask a grand jury to consider charges in the death of a black man placed in an apparent chokehold by a white police officer.
Daniel Donovan, Staten Island district attorney announced an extra grand jury will be asked to hear evidence next month in the July 17 death of Eric Garner.
Garner, a 43-year-old father of six, could be heard on an amateur video shouting “I can’t breathe!” as Daniel Pantaleo, a police officer, placed him in an apparent chokehold. Police said the officers were arresting Garner on suspicion of selling loose, untaxed cigarettes.",NA,131,NA,NA
Telegraph,tele3,http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11044383/Eyewitnesses-describe-Michael-Brown-killing-as-new-footage-released.html,Eyewitnesses describe Michael Brown killing as new footage released,Myles Burke,08/19/14,02/15/16,"Mobile phone footage has emerged showing the body of 18-year-old Michael Brown shortly after he was shot lying in the street as two officers pace back and forth in disbelief.

{Tension boiled over 10 days ago}<hyperlink=""http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11040637/Ferguson-violence-planned-and-premeditated-say-police.html""> after 18-year-old Michael Brown was shot dead while walking with a friend down a residential street on the afternoon of August 9.

The police refused to immediately release the name of the officer who killed Brown. They later identified him as 28-year-old Darren Wilson but and still have not provided details about why he fired multiple rounds at Brown.

{Both the US Department of Justice}<hyperlink=""http://www.telegraph.co.uk/news/worldnews/barackobama/11042434/Barack-Obama-orders-federal-investigation-into-Michael-Browns-shooting.html""> and the St Louis County Police Department are investigating the shooting. The county prosecutor's office said it could start presenting evidence to a grand jury Wednesday to determine if Wilson will be indicted.

Since the killing, thousands of protesters have taken over the site of the shooting and the nearby business district each night, chanting anti-police slogans and carrying signs calling for Wilson's arrest.

The aftermath of the shooting was also filmed by eyewitness Piaget Crenshaw on her mobile phone.

In the video, she can be heard saying ""they killed him"" as the teenager's body lies prone in the road.

CNN later interviewed Ms Crenshaw about what she saw from her apartment:",NA,39,NA,NA
Telegraph,tele4,http://www.telegraph.co.uk/culture/music/music-news/11042644/Taylor-Swifts-new-single-Shake-It-Off-shakes-up-pop-music.html,Taylor Swift's new single Shake It Off shakes up pop music,Alice Vincent,08/19/14,02/15/16,"Taylor Swift has officially broken away from her country singer image with the announcement of her ""first documented, official pop album"", 1989, due to be released on 27 October.
The singer spoke about her fifth studio album during an event that was live-streamed worldwide on Monday.
The 24-year-old also premiered the first single, Shake It Off, from the forthcoming album, 1989 - the year of her birth. A catchy, upbeat track, the single carries a message of Swift literally shaking off criticism to embrace her true self.
In sentiment, Shake It Off is not far removed from her other hits, such as Mean or We Are Never Getting Back Together that made her an award-winning, chart-topping star: celebrate your differences and your individuality, ignore the ""haters"".
Shake It Off could also be seen as a natural progression from Swift's previous album, Red, which blend her nu-Country sound with pop, rock and electronic music references. It was nominated for two Grammy awards and her greatest commercial success so far, selling 8 million copies and topping international charts.
However, the song has received criticism overnight both musically and politically. The video for Shake It Off, which includes Swift crawling through a tunnel of women twerking, black breakdancers and hip-hop signifiers {has been labelled ""ill-timed""}<hyperlink=""http://www.hitfix.com/immaculate-noise/taylor-swifts-new-video-shake-it-off-features-twerking-ballet-haters""> and {""cringe-worthy""}<hyperlink=""http://jezebel.com/taylor-swifts-new-video-is-a-cringe-worthy-mess-1623539249""> for being released by Swift in the midst of the riots in Ferguson, Missouri and the resulting discussion of race relations happening in America at the moment.
Musician and rapper Earl Sweatshirt damned Swift on Twitter, saying her video was {""inherently offensive and ultimately harmful""}<hyperlink=""https://twitter.com/earlxsweat/statuses/501561180691767296""> and {""perpetuat[ed] black stereotypes to the same demographic of white girls who hide their prejudice by proclaiming their love of the culture""}<hyperlink=https://twitter.com/earlxsweat/statuses/501562177698803713"">.
Musically, Swift's move into pop has been called {""non-descript""}<hyperlink=""http://www.thedailybeast.com/articles/2014/08/18/taylor-swift-s-shake-it-off-is-disappointing.html""> , with The Daily Beast's critic Kevin Fallon writing: ""If Swift didn’t announce the single herself, there’d be no indication that it’s her voice on the track, or that she had anything to do with its development"".
Shake It Off is infectiously catchy and has been produced with Swift's previous collaborators Max Martin and Shellback - responsible for I Knew You Were Trouble and We Are Never Getting Back Together, two of her biggest hits.
Swift said on Monday that the song was heavily inspired by late Eighties pop and the ""bright colors, bold chances [and] rebellion"" that accompany it.
Miley Cyrus, whose lyrics Swift references in Shake It Off, and Lily Allen experienced similar race-related criticism for their releases We Can't Stop and Hard Out Here in 2013, notably because of the use of black, provocatively dancing women in their music videos.
Swift's attitude suggests she won't be affected, however. On Monday she said: ""I've had to learn a pretty tough lesson in the last couple of years: People can say what they want about us, at any time ... and we cannot control that.
""I figure we have two options: We can let it change you ... option two is you just shake it off.",NA,770,NA,NA
Telegraph,tele5,http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11042776/Two-shot-and-wounded-as-violence-flares-in-Michael-Brown-protests.html,Two shot and wounded as violence flares in Michael Brown protests,AFP,08/19/14,02/15/16,"Two people were shot and wounded and 31 arrested on Monday in the latest night of unrest in Ferguson, Missouri over the shooting of an unarmed black teenager by police. 

The wounded were hit by gunfire from demonstrators, said Captain Ron Johnson of the Missouri Highway Patrol early on Tuesday. Police did not fire a single shot during the unrest. 

The condition of the two people wounded by gunfire was not immediately known. 

Four police officers were injured by thrown objects, with police firing tear gas at demonstrators as a last resort to disperse the crowd, Johnson said. 

Some of the protesters in the crowd of about 200 came from as far away as New York and California, he added. 
The latest night of unrest in the small MIssouri town, which has a largely black population but predominantly white police force, follows the revelation that 18-year-old Michael Brown was shot six times and may have been killed as he tried to surrender to police. 
Brown's head was in a downward position when the fatal shot was fired, according to the autopsy, indicating he may have been trying to surrender at the time. There was no gunshot residue found on Brown's body, suggesting the shots were not fired at close range, although Brown's clothing had not yet been analysed. 

The officer who fired the shots, 28-year-old Darren WIlson, claims that he was engaged in a struggle with Brown after the teenager attemped to take his gun. Wilson is now on paid leave and could face criminal charges. 

The clashes between riot police and protestors on Monday night occurred after hours of largely peaceful demonstrations. On Sunday, police had adopted new tactics in an attempt to control the violent protests, ditching a midnight curfew and instead trying to prevent crowds assembling by ordering people to keep moving at all times. 

The national guard, deployed earlier in the day, stayed off the streets. Instead they guarded a police control centre in a nearby car park which had come under threat a night earlier. 

The evening was largely peaceful but violence flared again after dark, with police responding to gunfire from protestors. 

Eric Holder, the American attorney general is due in Ferguson on Wednesday where he is expected to meet officials conducting a federal investigation into the shooting of Brown on August 9. 

Meanwhile Barack Obama called for a peaceful resolution to the demonstrations. 

“While I understand the passions and the anger that arise over the death of Michael Brown, giving into that anger by looting or carrying guns and even attacking the police only serves to raise tensions and stir chaos"", Obama said after interrupting his summer holiday and returning to the White House.",NA,9,NA,NA
Telegraph,tele6,http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11042793/Ferguson-protests-there-is-a-dangerous-dynamic-in-the-night-say-police.html,"Ferguson protests: 'there is a dangerous dynamic in the night', say police",Keely Lockhart,08/19/14,02/15/16,"Two people were shot and wounded and 31 arrested Monday in the latest night of unrest in the {Missouri town of Ferguson}<hyperlink=""http://www.telegraph.co.uk/news/worldnews/northamerica/usa/""> rocked by a racially charged killing, police said. 

Authorities in Ferguson used tear gas to disperse protesters on Monday night as demonstrations continued in the St. Louis suburb. 

The wounded were hit by gunfire from demonstrators in the midwestern town, as police did not open fire, said Captain Ron Johnson of the Missouri Highway Patrol early Tuesday. 

The condition of the two people wounded by gunfire was not immediately known, Johnson said. 

He added that some of the protesters in the crowd of about 200 came from as far away as New York and California. 

Speaking to press, Johnson said: ""Anyone who has been at these protests understand that there is a dangerous dynamic in the night. 

""It allows a small number of violent agitators to hide in the crowd and cause chaos."" 

Johnson also criticised the role of the media during the protests, accusing them of ""glamourising the acts of criminals."" 

Looking visibly upset, Johnson concluded: ""I'm not going to let the criminals define this neighbourhood and define what we're going to do to make it right."" 
",NA,8,NA,NA
Telegraph,tele7,http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11042542/Trayvon-Martins-mother-tells-family-of-Michael-Brown-that-his-death-will-not-be-in-vain.html,Trayvon Martin’s mother tells family of Michael Brown that his death will not be in vain,Rob Crilly,08/19/14,02/15/16,"The mother of Trayvon Martin, whose death sparked nationwide protests, has written a heartfelt letter to the family of Michael Brown saying she will pray for them as they journey through pain.
Sybrina Fulton’s 17-year-old son was shot dead by George Zimmerman in Florida in 2012. 

Published on Time.com, {her letter explains}<hyperlink=""http://time.com/3136685/travyon-sybrina-fulton-ferguson/""> how her life has been turned upside down by his death. 
“But know this: neither of their lives shall be in vain,” she writes. “The galvanizations of our communities must be continued beyond the tragedies.” 
Her letter was published as police and protesters clashed in the Missouri city of Ferguson on Monday night. 

Officers adopted new tactics, ditching a midnight curfew and instead tried to prevent crowds assembling by ordering people to keep moving at all times. 

The evening was largely peaceful – disrupted only after dark when police responded to the sound of gunshots. 

The national guard, deployed earlier in the day, stayed off the streets. Instead they guarded a police control centre in a nearby car park which had come under threat a night earlier. 

Unofficial marshals did their best to comply with police instructions but could not prevent a small hard core engaging in a tense stand-off with officers, defused with a barrage of tear gas and a handful of arrests. 

Antonio French, an alderman who has help calm anger all week, said: “This seems a better approach, to come out and arrest a few individuals rather than targeting the whole crowd.” 

The killing of Brown, 18, by a police officer has sent shockwaves around America, polarising the nation and prompting fresh soul searching over race relations. 

The American attorney general is due in Ferguson on Wednesday where he is expected to meet officials conducting a federal investigation into the shooting of Brown on August 9. 
Earlier Barack Obama called for a peaceful resolution. 

“While I understand the passions and the anger that arise over the death of Michael Brown, giving into that anger by looting or carrying guns and even attacking the police only serves to raise tensions and stir chaos. It undermines rather than advancing justice,” he said after interrupting his summer holiday and returning to the White House. 

In her letter Mrs Fulton wrote: ""I hate that you and your family must join this exclusive yet growing group of parents and relatives who have lost loved ones to senseless gun violence."" 

She added: “Further complicating the pain and loss in this tragedy is the fact that the killer of your son is alive, known, and currently free. In fact, he is on paid administrative leave. Your own feelings will bounce between sorrow and anger. 

“Even when you don’t want to think about it because it is so much to bear, you will be forced to by merely turning on your television or answering your cell phone.” 
",NA,0,NA,NA
Telegraph,tele8,http://www.telegraph.co.uk/news/worldnews/barackobama/11042351/Barack-Obama-Ferguson-protesters-must-seek-to-heal-rather-than-wound.html,"Barack Obama: Ferguson protesters must ""seek to heal rather than wound""",David Lawler,08/19/14,02/15/16,"President Barack {Obama}<hyperlink=""http://www.telegraph.co.uk/news/worldnews/barackobama/""> today called on the people of Ferguson, Missouri to ""seek to heal rather than wound each other."" 

Speaking from the White House, Mr Obama said that while ""the vast majority of people"" were protesting peacefully, a ""small minority"" had unleashed the violence that has shaken the streets of Ferguson over the past several nights. 

""While I understand the passions and the anger that arise over the death of Michael Brown,"" he said, ""giving into that anger by looting or carrying guns and even attacking the police only serves to raise tensions and stir chaos. It undermines rather than advancing justice."" 

Mr Obama also warned against ""excessive force"" by police, and said it was important he not ""pre-judge"" the events in Ferguson. 

""You have young men of colour in many communities who are more likely to end up in jail or in the criminal justice system than they are in a good job or in college,"" he said. 

""Given the history of this country, we can make progress in building up more confidence, more trust, making sure that our criminal justice system is acutely aware of the possibilities of disparities in treatment."" 

Earlier today an independent autopsy revealed that Michael Brown, the 18-year-old black man whose death at the hands of a white police officer ignited the unrest in Ferguson, had been shot six times, including twice in the head. It also indicated that Mr Brown's body showed no signs of a struggle. 

Mr Obama's remarks came after a meeting with Attorney General Eric Holder, who will be traveling to Ferguson on Wednesday to meet with law enforcement officials and leaders in the community. 

Mr Obama had been on holiday in Martha's Vineyard but returned to Washington ahead of meetings on the situation in Ferguson as well as on military operations in Iraq.",NA,0,NA,NA
Telegraph,tele9,http://www.telegraph.co.uk/news/worldnews/barackobama/11042434/Barack-Obama-orders-federal-investigation-into-Michael-Browns-shooting.html,Barack Obama orders federal investigation into Michael Brown's shooting,Myles Burke,08/18/14,02/15/16,"{President Barack Obama}<hyperlink=""http://www.telegraph.co.uk/news/worldnews/barackobama/""> said today that the vast majority of protesters in a St Louis suburb were peaceful, but {warned that a small minority was undermining justice}<hyperlink=""http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11040637/Ferguson-violence-planned-and-premeditated-say-police.html""> for the unarmed black man shot and killed by police.
During a brief pause in his summer vacation, Mr Obama expressed {sympathy for the ""passions and anger""}<hyperlink=""http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11035926/Marches-and-vigils-replace-riots-in-Ferguson-after-shooting-of-Michael-Brown.html""> sparked by the death of 18-year-old Michael Brown in Ferguson, Missouri, but said giving in to that anger through looting and attacks on police only stirs tensions and leads to further chaos.
He said overcoming the mistrust endemic between many communities and their local police would require Americans to ""listen and not just shout."" 
""That's how we're going to move forward together, by trying to unite each other and understand each other and not simply divide ourselves from one another,"" Mr Obama told reporters at the White House. ""We're going to have to hold tight to those values."" 
Speaking after meeting with Attorney General Eric Holder, Obama said Holder would travel to Ferguson to meet with FBI and other officials carrying out an independent federal investigation into Brown's death.",NA,68,NA,NA
Telegraph,tele10,http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11041888/Lawyers-say-autopsy-shows-Michael-Brown-died-as-he-tried-to-surrender.html,Lawyers say autopsy shows Michael Brown died as he tried to surrender,Rob Crilly,08/18/14,02/15/16,"Lawyers for Michael Brown’s family revealed details of an autopsy showing the unarmed teenager was shot six times and may have been killed as he tried to surrender to a police officer. 

Details were released after the worst night of violence so far in Ferguson, Missouri, where protesters threw petrol bombs and forced back police lines prompting the state governor to order in the National Guard – a move of last resort. 

President Barack Obama was due to meet the attorney general, Eric Holder, on Monday afternoon to discuss the crisis, his office said. 

Every day brings an escalation in intensity, re-opening old divisions along racial lines. 
Trouble flared on Sunday hours before a midnight curfew as crowds grew to more than 1000-strong. Three people were wounded and seven or eight arrested, according to police, and dozens of shops were looted. 

As volunteers cleared the debris and boarded up store the next morning, the Brown family lawyers released details of their own private autopsy at a news conference in a nearby church. 

Darryl Parks, an attorney for the family, pointed out the six bullet wounds on a diagram of the victims body. 

Two bullets, he said, travelled in a back-to-front direction through the victim’s head. 

“It supports what the witnesses said about him trying to surrender to the officer,” he said. 

“His head was in a downward position, it had to be. 

“We believe that given those kinds of facts, this officer should have been arrested.” 
The episode has ignited long standing tensions between the two-thirds black community of Ferguson and the almost all-white force responsible for policing them. 

Protesters have clashed with police night after night since Brown was shot dead in the street last Saturday. Civil rights activists have travelled to the low-rent neighbourhood of strip malls to add their support and Barack Obama has intervened to criticise the policing of protests. 

The violence is polarising society, just as in previous cases – such as the shooting of Travyon Martin in 2012. About 150 people mostly white people gathered in St Louis on Sunday to show their backing for the police and the officer involved in the shooting. 

Police have named him as Darren Wilson. He has been placed on administrative leave while investigations continue. 

The police account suggests Brown was engaged in a struggle with the officer before being killed but that is disputed by other witnesses. 

Dr Michael Baden, the forensic pathologist who carried out the family’s private autopsy, said Brown’s body showed no sign of a struggle and that lawyers had asked permission to examine the policeman. 

He said it was still too early to say exactly which witness accounts were backed by the autopsy findings. 
However, Professor Shawn Parcells, who is also working on the case, said a bullet injury to the inside of Brown’s right wrist was consistent with the victim walking away from the officer, or with accounts that he put his arms up. 

“We don’t know,” he said. 

Their evidence will further enflame protesters, demanding justice for Brown and his family. 

On Sunday night they broke through lines of police and headed for a command centre in a superstore car park bringing a hard-hitting response. Multiple gunshots could be heard as canisters of tear gas were fired into the crowds. 

Capt Ron Johnson, the officer in charge of policing the protests, said co-ordinated efforts to cause trouble forced him into a strong response. 

“There were multiple additional reports of Molotov cocktails being thrown, police were shot at, makeshift barricades were set up to block police, bottles and rockets were thrown at police,” he said. “Based on these conditions, I had no alternative but to elevate the level of our response.” 

The scenes of mayhem prompted the governor to order the National Guard to join the effort. 

Jay Nixon said: “I join the people of Ferguson, and all Missourians, in strongly condemning this criminal activity that included firing upon law enforcement officers, shooting a civilian, throwing Molotov cocktails, looting, and a co-ordinated attempt to block roads and overrun the Unified Command Center,” he said. 

“These violent acts are a disservice to the family of Michael Brown and his memory, and to the people of this community who yearn for justice to be served, and to feel safe in their own homes.” 
",NA,144,NA,NA
