Source,ArticleID,ArticleLink,Title,Author,DatePublished,DateRetrieved,ArticleText,NumberComments,NumberSocialMedia,TheShitBetween,Notes
TheBlaze,blaze1,http://www.theblaze.com/stories/2014/08/18/missouri-governor-calls-off-ferguson-curfew/,Missouri Governor Calls off Ferguson Curfew ,The Associated Press ,08/18/2014,11/09/2015,"FERGUSON, Mo. (AP) — Missouri Gov. Jay Nixon says no curfew will be in place early Tuesday morning in Ferguson, and the National Guard keeping watch there will have immediate and limited responsibilities.

A midnight to 5 a.m. curfew had been in place the previous two nights.

Nixon ordered the National Guard into the St. Louis suburb following another night of rioting, more than a week after a Ferguson police officer fatally shot 18-year-old Michael Brown.

In a statement Monday, Nixon said Missouri National Guard Brigadier General Gregory Mason will oversee Guard operations in Ferguson under the overall command of the state highway patrol. He says the Guard’s limited role will be to provide protection and ensure the safety of the police command center that was believed to be targeted Sunday night.",81,164,NA,NA
TheBlaze,blaze2,http://www.theblaze.com/contributions/how-al-sharpton-makes-the-situation-in-ferguson-worse/,How Al Sharpton Makes the Situation in Ferguson Worse ,Salvator La Mastra,08/19/2014,11/09/2015,"Growing up, as a proud member of the millennial generation, I have been taught to love and accept everyone, no matter their skin color or socioeconomic background.

The popular children’s show, Barney, ended every episode with a diverse group of kids singing, “I love you, you love me, we’re a great big family…” This instilled in many of my peers and myself a true sense of seeing past the issue of race and having acceptance of all.

Millennials have been raised in an environment where African Americans have been elected to Congress, won Grammys, become leading medical professionals, Heisman winners, and now president of the United States.

Truly integrated into a society as equals where many of their ancestors were slaves. A dream of one of the greatest Americans to live, Martin Luther King Jr., is now a reality.

I have grown up seeing no difference when it comes to race, but acknowledge there are still individuals in the millennial generation and older generations that can only see skin deep.                                                                                                                                    From what I have observed, as a millennial, I believe one of those people is Al Sharpton.

I am very engaged in politics and love contributing to the national conversation as a millennial voice and the only time I ever hear from or about Al Sharpton is when a white person kills a young African American. These are awful tragedies by any ones standards, but it seems that the actions of Al Sharpton, and other so called race hustlers, are trying to turn back the clock on all the progress made for their own political and financial gain.

The Rev. Al Sharpton’s largely inflammatory words and actions almost always make the situation more volatile. I have never once read an article or seen a news segment, in my short millennial life, where the great reverend was marching for better education in primarily African American communities, or the large number of {African American’s on welfare}<hyperlink=http://www.statisticbrain.com/welfare-statistics/> (39.8 percent), and the staggering number of {African American youth unemployed}<hyperlink=http://www.usatoday.com/story/opinion/2014/05/04/economy-youth-unemployment-jobs-america-column/8471769/> (23.8 percent).

Never has there been an outrage by the reverend by the overwhelming number of black-on-black crime that happens in this country. According to the {Department of Justice}<hyperlink=http://www.bjs.gov/content/pub/pdf/bvvc.pdf>, African Americans are around 13 percent of the population but they are 50 percent of the homicide victims. Most importantly 90 percent of those victims are killed by other African Americans.

Al Sharpton thinks he is judge and jury. I can’t think of a time where he made a situation better.

It seems to me that liberals, like the Rev. Sharpton, only make it more difficult for African Americans to succeed and receive justice. The reverend seems to think that he can litigate controversies over wrongful deaths (or murders) using the media and his power grip as a “civil rights” activist and MSNBC anchor.

Al Sharpton believes he is the judge and the jury. I cannot think of one instance, at least in my lifetime, where he has made a situation better.

Solely based on the statistics provided by the Justice Department, it seems that the reverend and others could better assist their community by focusing on the black-on-black homicides rather than on selective, racially-charged incidences for the pure purpose of {raising money}<hyperlink=http://www.truthrevolt.org/news/jesse-jackson-booed-fergusen-rally> for their charities and increasing name recognition for future books sale.

There is absolutely no doubt that the officer involved in the death of young Michael Brown used excessive and unnecessary force and should be prosecuted. Although, the evidence being produced is now largely contradicting the story many leaders of these Ferguson protests have been spreading.

And the inflammatory presence by Al Sharpton and his colleague, Jesse Jackson, have only incited more violence and looting by protestors looking for answers.

If anything significant came from the presence and leadership from Rev. Sharpton and Mr. Jackson, that didn’t include violence and predetermined judgment, their presence would be welcomed. These two “civil rights” leaders have now become what many refer to as race hustlers or race baiters and {even those in the African American community are beginning to see this.}<hyperlink=http://www.truthrevolt.org/news/former-nba-star-calls-al-sharpton-coon-and-thot>

Millennials have been a part of the successful transformation of America where all men are created equal, a place where men like Al Sharpton and Jesse Jackson are needed less and less. We have come so far as a country, proven by the election of Barack Obama, and as millennials begin to take more prominent leadership positions in this country we can become closer to a more completely color blind nation.

And the less we hear from those who make their living off of and fame from racial tension the better we will be as a nation.",9,178,NA,NA
TheBlaze,blaze3,http://www.theblaze.com/blog/2014/08/14/rand-paul-on-ferguson-police-forces-must-be-demilitarized/,Rand Paul on Ferguson: Police forces must be demilitarized,Pete Kasperowicz,08/14/2014,11/09/2015,"Sen. Rand Paul (R-Ky.) on Thursday said that the aggressive use of force by police in Ferguson, Missouri in response to rioting there shows that America needs to demilitarize its police forces.

“There is a legitimate role for the police to keep the peace, but there should be a difference between a police response and a military response,” Paul wrote in an {op-ed for Time.}<hyperlink=http://time.com/3111474/rand-paul-ferguson-police/>

“The images and scenes we continue to see in Ferguson resemble war more than traditional police action,” he said.

Paul said police forces around the country have been allowed to obtain and use military-style gear because of easy money from Washington DC.

“Washington has incentivized the militarization of local police precincts by using federal dollars to help municipal governments build what are essentially small armies — where police departments compete to acquire military gear that goes far beyond what most of Americans think of as law enforcement,” he wrote.

He noted work done by the Heritage Foundation, which found that the Department of Homeland Security has given out federal funds for local forces to fight terrorism, which has let them buy more advanced weapons. Paul said that weaponry becomes even more of a threat given the erosion of civil liberties in recent years.

“When you couple this militarization of law enforcement with an erosion of civil liberties and due process that allows the police to become judge and jury — national security letters, no-knock searches, broad general warrants, pre-conviction forfeiture — we begin to have a very serious problem on our hands,” he wrote.

“Given these developments, it is almost impossible for many Americans not to feel like their government is targeting them,” Paul added. “Given the racial disparities in our criminal justice system, it is impossible for African-Americans not to feel like their government is particularly targeting them.”

Earlier in the day, {Sen. Ted Cruz}<hyperlink=http://www.theblaze.com/blog/2014/08/14/texas-dem-predicts-ted-cruz-wont-stand-up-for-freedom-in-ferguson-is-proven-wrong-hours-later/> (R-Texas) called for an end to the violence in Ferguson, and justice for the family of Michael Brown, the teenager who was shot by a yet-to-be identified police officer.",15,245,NA,NA
TheBlaze,blaze4,http://www.theblaze.com/stories/2014/08/14/obama-appeals-for-peace-and-calm-in-ferguson/,Obama Appeals for 'Peace and Calm' in Ferguson,Fred Lucas,08/14/2014,11/09/2015,"President Barack Obama appealed for “peace and calm” in Ferguson, Missouri, delivering a message for law enforcement and protesters alike amid the tense situation that’s erupted following the killing of 18-year-old Michael Brown.

“There is never an excuse for violence against police or for those who would use this tragedy as a cover for vandalism or looting,” Obama said Thursday, speaking from Martha’s Vineyard. “There’s also no excuse for police to use excessive force against peaceful protests or to throw protesters in jail for lawfully exercising their First Amendment rights. Here in the United States of America, police should not be bullying or arresting journalists who were just trying to do their jobs and report to the American people on what they see on the ground.”

Obama Appeals for Peace and Calm in Ferguson

Brown, who was black, was shot and killed by a police officer in Ferguson over the weekend, triggering unrest in the city over the past several days and a harsh crackdown by police, including the arrest of journalists.

“I made clear to the attorney general that we should do what is necessary to determine exactly what happened and to see that justice is done,” Obama said.

Obama also provided an update on the situaiton in Iraq, saying the situation on Mount Sinjar had “greatly improved” after the humanitarian effort by the United States to aid the religious minorities under siege from Islamic State militants.

“We broke the ISIL siege of Mount Sinjar and we helped save many innocent lives,” Obama said. “Because of these efforts, we do not expect to need an additional operation to evacuate people off the mountain, and it’s unlikely we’re going to need to continue humanitarian air drops on the mountain.”",209,130,NA,NA
TheBlaze,blaze5,http://www.theblaze.com/contributions/what-ferguson-teaches-us-about-the-second-amendment-2/,What Ferguson Teaches us About the Second Amendment ,Chad Kent,08/14/2014,11/09/2015,"By now I’m sure you are well aware of what has happened in {Ferguson, Missouri over the last week}<hyperlink=http://www.theblaze.com/stories/2014/08/10/teen-killed-by-officer-confirmed-as-unarmed-angry-crowds-renew-protests-stop-police-terrorism/>.

Countless articles have been written examining the situation from just about every angle you could imagine. But we shouldn’t forget that there’s a Constitutional lesson to be learned here as well.

As KTVI in St. Louis reports, during the looting some business owners took action to defend their stores from further damage:

This situation gives us a perfect opportunity to put the Second Amendment in context.

As we’re searching for the meaning of the {Second Amendment}<hyperlink=https://www.law.cornell.edu/constitution/billofrights>, it’s not about trying to come up with clever arguments for what the words could possibly mean. It’s about figuring out what the people who wrote and ratified the Second Amendment honestly intended it to mean and what effect they intended it to have.

As I discussed recently on TheBlaze ({here}<hyperlink=http://www.theblaze.com/contributions/gun-control-activists-are-trying-to-disarm-the-american-public-of-knowledge-and-guns/> and {here}<hyperlink=http://www.theblaze.com/contributions/its-time-to-disarm-the-liberal-talking-point-that-the-second-amendment-is-meant-for-militias-only/>), a lot of people claim that the Second Amendment only protects the rights of people in a militia to own a gun and only for militia-related purposes. Let’s look at that claim in the context of the looting in Ferguson.

Based on the interview above, the police made it clear that they were not going to be able to help these business owners out. According to the “militia only” interpretation of the Second Amendment, that means the business owners are expected to sit back helplessly and allow looters to destroy their stores.

It is just outside the realm of possibility that that is what the Framers of the Second Amendment intended the amendment to do. These were people who were dedicated to the protection of individual rights. They were also people who lived in a time when Americans who lived on the western frontier of the country faced all kinds of personal threats; everything from wild animals to attacks from Native Americans.

It’s just not realistic to believe that those same Second Amendment Framers wanted to give the federal government the power to deny American citizens the ability to protect themselves and their property.

Try to imagine what would happen if somehow influential Founders like James Madison, George Washington, and Roger Sherman were able to come back from the beyond and watch the interview with those business owners. Do you honestly think their first reaction would be, “Oh my gosh, those citizens have guns!! Are they in a militia?!”

Of course not. Their first reaction would be, “Holy crap, this television thingy is so awesome!!”

Seriously though, it is very hard to believe that those Founders would have supported the idea that the federal government should have the power to prevent those business owners from defending their rights. In fact, {Roger Sherman}<hyperlink=http://www.ushistory.org/declaration/signers/sherman.htm> believed that it was:

“the privilege of every citizen, and one of his most essential rights, to bear arms, and to resist every attack upon his liberty or property, by whomsoever made.”

In other words, what Roger Sherman would have seen in that interview was this group of Ferguson business owners exercising one of their “most essential rights.”

When you look at a situation like this and keep in mind who the Founders actually were, it’s very easy to see how silly it is to argue that they would have supported disarming these men.

That tells you pretty much all you need to know about the Second Amendment. It protects the right of individual citizens to own personal firearms for the purpose of defending their liberty and property from anyone who might attack them.

I’ll be discussing this issue this upcoming Saturday during my Constitution Revolution segment on {TheBlaze Radio’s Chris Salcedo Show}<hyperlink=http://www.theblaze.com/author/chris-salcedo/> as well. Don’t miss it!",7,62,NA,NA
TheBlaze,blaze6,http://www.theblaze.com/blog/2014/08/18/fbi-searching-for-witnesses-to-ferguson-police-shooting/,FBI searching for witnesses to Ferguson police shooting,Pete Kasperowicz,08/18/2014,11/09/2015,"The Federal Bureau of Investigation said Monday it is looking for witnesses to the police shooting of an 18-year old black student who was fatally shot in Ferguson, Missouri, as part of its ongoing investigation into an event that has led to a week of racial tension and protests.

The Justice Department has said it would conduct its own parallel investigation of the shooting, which was welcomed by many who said the mostly white Ferguson Police Department cannot be trusted to run the investigation on its own.

Monday morning, the department said the FBI and Justice Department lawyers have conducted several interviews of witness who were nearby when the shooting occurred.

“Over the next several days, teams of FBI agents will be canvassing the neighborhood where the shooting took place to identify any individuals who may have information related to the shooting and have not yet come forward,” they said. “We ask for the public’s cooperation and patience, and again urge anyone with information related to the shooting to contact the FBI.”

“The FBI can be reached at (800) CALL-FBI, option 4,” they added.

The statement was released by FBI Special Agent in Charge William Woods, U.S. Attorney for the Eastern District of Missouri Richard Callahan, and Acting Assistant Attorney General for the Civil Rights Division Molly Moran.

Over the weekend, the Justice Department said it would conduct another autopsy of Michael Brown, the 18-year old black student who was shot. Justice Spokesman Brian Fallon said the “extraordinary circumstances” involved in the case demand another autopsy.

Fallon said Justice would still consider the state-run autopsy into account in its investigation.

A private autopsy released over the weekend, conducted at the request of Brown’s family, said Brown was shot six times, twice in the head.

In the meantime, protestors and police have continued to clash at night in Ferguson, which prompted Missouir Gov. Jay Nixon (D) to call in the {National Guard}<hyperlink=http://www.theblaze.com/stories/2014/08/18/missouri-governor-orders-national-guard-to-ferguson-to-help-restore-peace-and-order> to restore order in the streets.

The police’s reaction to the protests has prompted another wave of criticism from both Republicans that the police are too heavily armed, and are being overly aggressive in detaining citizens and reporters. One Democrat, Rep. Hank Johnson (D-Ga.), said he would introduce new legislation in September that would limit the types of {military-grade weapons}<hyperlink=http://www.theblaze.com/blog/2014/08/15/dem-bill-no-high-caliber-weapons-armored-cars-stun-grenades-for-police/> that police officers can use.",3,18,NA,NA
TheBlaze,blaze7,http://www.theblaze.com/stories/2014/08/16/missouri-governor-declares-emergency-imposes-curfew-in-ferguson/,"Missouri Governor Declares State of Emergency, Imposes Curfew in Ferguson",Dave Urbanski,08/16/2014,11/10/2015,"FERGUSON, Mo. (AP) — Missouri Gov. Jay Nixon declared a state of emergency and imposed a curfew Saturday in a St. Louis suburb where police and protesters have clashed in the week since a black teenager was shot to death by a white police officer.

Nixon said that though many protesters were making themselves heard peacefully, the state would not allow looters to endanger the community where 18-year-old Michael Brown was shot in a street. The curfew will run from midnight to 5 a.m. Sunday.

“I am committed to making sure the forces of peace and justice prevail,” Nixon during at a press conference at a church that was interrupted repeatedly by people objecting to the curfew and demanding that the officer who shot Brown be charged with murder.

“We must first have and maintain peace. This is a test. The eyes of the world are watching,” Nixon said. “We cannot allow the ill will of the few to undermine the good will of the many.”

Nixon’s curfew announcement came after tensions again flared in Ferguson late Friday night. Earlier that day, local police identified the officer who shot Brown as Darren Wilson and released documents and video footage alleging that Brown had robbed a convenience store just before he was shot. Police said Wilson was unaware Brown was a suspect when he encountered him walking in the street with a friend.

Nixon said the U.S. Department of Justice is beefing up its civil rights investigation of the shooting.

Missouri State Highway Patrol Capt. Ron Johnson, who is in charge of security in Ferguson, said 40 FBI agents were going door-to-door in the neighborhood starting Saturday, talking to people who might have seen or have information about the shooting.

Johnson assured those at the news conference that police would not enforce the curfew with armored trucks and tear gas but would communicate with protesters and give them ample opportunity to leave. Nixon and Johnson were flanked by numerous local elected officials, including U.S. Rep. William Lacy Clay Jr., who urged Johnson to be flexible with the midnight curfew.

But they were interrupted repeatedly.

“Why is the focus on security and not getting justice? Why is there not an arrest?” one women yelled.

Among the many people shouting questions was Malik Shabazz, the president of Black Lawyers for Justice, who said that members of his group and the New Black Panther Party and the Nation of Islam had been helping to maintain order and deter protesters from violence.

“It seems to be a tight curfew line that could be a prescription for confrontation,” said Shabazz, who asked unsuccessfully that the curfew’s start be delayed by an hour.

Brown’s death had already ignited several days of clashes with furious protesters. Tensions eased Thursday after Nixon turned oversight of the protests over to the Missouri Highway Patrol. Gone were the police in riot gear and armored vehicles, replaced by the new patrol commander who personally walked through the streets with demonstrators. But Friday night marked a resurgence of unrest.

On Saturday, some residents said it appeared the violent acts were being committed by people who came from other suburbs or states.

“Who would burn down their own backyard?” asked Rebecca McCloud, a local who works with the Sonshine Baptist Church in St. Louis. “These people aren’t from here. They came to burn down our city and leave.”

On Friday night, Greg Thomas didn’t see the familiar faces of protesters who have taken to the streets each night this week. Instead, he saw new people, younger, more eager for a confrontation with police. The 28-year-old former Marine said he left as quickly as he could when he heard people talking about getting their handguns.

“Who would burn down their own backyard?”
Share:
“There’s three agendas out there,” Thomas said. “People who want to party, people who want to be martyrs and get killed by police, and the people here to protest.”

Local officers faced strong criticism earlier in the week for their use of tear gas and rubber bullets against protesters. Johnson said one tear gas canister was deployed Friday night after the group of rioters became unruly and several officers got trapped and injured.

Wilson, the officer who shot Brown, is a six-year police veteran who had no previous complaints against him, the local police chief has said.

The Ferguson Police Department has refused to say anything about Wilson’s whereabouts, and Associated Press reporters were unable to contact him at any addresses or phone numbers listed under that name in the St. Louis area.

Wilson has been on paid administrative leave since the shooting. St. Louis County prosecutor Bob McCulloch said it could be weeks before the investigation wraps up.

St. Louis County Executive Charlie Dooley asked Missouri Attorney General Chris Koster on Friday to take over the case, saying he did not believe McCulloch could be objective. Koster said Missouri law does not allow it unless McCulloch opts out, and McCulloch spokesman Ed Magee said the prosecutor has no plans to surrender the case.",398,3500,NA,NA
TheBlaze,blaze8,http://www.theblaze.com/stories/2014/08/15/police-reveal-name-of-officer-who-shot-ferguson-teenager/,Police Reveal Name of Officer Who Shot Ferguson Teenager,Madeleine Morgenstern,08/15/2014,11/10/2015,"Update, 3:34 p.m. ET: The Ferguson police chief said Friday afternoon that the officer who shot Michael Brown {did not know he was a robbery suspect}<hyperlink=http://www.theblaze.com/stories/2014/08/15/police-officer-who-shot-michael-brown-did-not-know-he-was-a-robbery-suspect/> at the time. {Read more.}<hyperlink=http://www.theblaze.com/stories/2014/08/15/police-officer-who-shot-michael-brown-did-not-know-he-was-a-robbery-suspect/>

Authorities in Ferguson, Missouri, on Friday identified the officer who fatally shot unarmed black teenager Michael Brown as Darren Wilson, nearly a week after the deadly encounter took place.

Ferguson Police Chief Thomas Jackson said Wilson was dispatched to investigate a “strong-arm” robbery at a convenience store shortly before his encounter with Brown, 18, on Saturday.

An {incident report}<hyperlink=http://i2.cdn.turner.com/cnn/2014/images/08/15/ferguson-police-report.pdf> said Brown and another man, Dorian Johnson, were suspected of taking a box of cigars from the store. Police say {surveillance camera footage shows}<hyperlink=http://www.theblaze.com/stories/2014/08/15/see-the-security-footage-police-say-shows-michael-brown-robbing-a-store-before-he-was-shot/> Brown towering over and shoving the clerk in a confrontation.

[tweetbegin 500279952160600064 tweetend]
 
[tweetbegin 500279365880807425 tweetend]

[tweetbegin 500279501369397248 tweetend] 

Police said Wilson encountered Brown minutes after the 911 call reporting the robbery. Police had previously said Brown was shot multiple times after an officer encountered him and another man.

Conflicting stories have emerged about whether Brown and the other man physically assaulted the officer, pushing him into his squad car and struggling for his weapon, or whether Brown put his hands up and was trying to flee when he was shot, as Johnson has said. While Johnson has been vocal in media interviews over the past week talking about what happened to Brown, he has not mentioned a robbery.

The police report information released Friday contains no details about what happened during the actual shooting.

Protests over Brown’s killing gave way to chaos and looting in the city, triggering a harsh and much-criticized police crackdown against demonstrators. The situation changed Thursday night, when Missouri Gov. Jay Nixon gave Missouri State Highway Patrol Capt. Ron Johnson control over security operations. Johnson did away with the SWAT and police riot gear on the streets and marched with protesters instead. After nightly clashes all week, no arrests were made.

Authorities initially declined to release the name of the officer involved in the shooting, citing death threats. Wilson has been a police officer for six years and never had any disciplinary action taken against him, Jackson said.

After Ferguson police released Wilson’s name, the Ethical Society of Police, a nonprofit organization that represents black police officers in St. Louis, put out a {statement}<hyperlink=https://www.facebook.com/Ethical-Society-of-Police-436831003071448/info/?tab=overview> on its Facebook page saying that the officer involved is not their president, who is also named Darren Wilson.

“As a result of public outcry and a demand for justice, the Ferguson police officer’s name was released and happens to be, Darren Wilson,” the statement said. “The first thing we would like to assure the world is that this is a horrific coincidence. May I assure the world that this is not the President of the Ethical Society of Police’s Sergeant Darren R. Wilson who is African-American, and happens to be an 18 year veteran of the St. Louis Police Department.”",592,6200,NA,NA
TheBlaze,blaze9,http://www.theblaze.com/contributions/riots-looting-sharpton-follow-police-shooting-in-ferguson-missouri/,"Riots, Looting, Sharpton Follow Police Shooting in Ferguson, Missouri",Virginia Kruta,08/12/2014,11/10/2015,"If you turn on the news today, you can’t escape the story of {Michael Brown.}<hyperlink=http://www.theblaze.com/stories/2014/08/10/teen-killed-by-officer-confirmed-as-unarmed-angry-crowds-renew-protests-stop-police-terrorism/>

He was the 18-year-old gentleman who, depending on which narrative you read, either provoked an argument with a police officer and another individual or put his hands in the air and continued on his way to his grandmother’s house. Conversely, the police officer who ultimately shot and killed Brown was either threatened by the two young men and shoved back into his own official vehicle, or he simply opened fire on a young kid who was complying with his every direction.

Common sense suggests that neither is completely blameless. Maybe Brown postured a bit, thinking that since he was unarmed he would be all right. Maybe the police officer misread the situation, or maybe the other individual involved was armed and the police officer shot Brown by accident.

The reality is that right now, none of that matters.

Yes, it is relevant to determine what happened and who was at fault. Yes, they should probably allow the FBI to take control of the {investigation}<hyperlink=https://www.washingtonpost.com/news/post-nation/wp/2014/08/11/fbi-opens-investigation-into-shooting-of-michael-brown/> and wait for the results of blood toxicology tests. But the small percentage of citizens who are unwilling to wait for these things are the ones defining the narrative.

Right now, the voices of people claiming that they need to “teach the cops a lesson” are louder than the voices of Brown’s family members, who ask that supporters refrain from dishonoring their slain son by rioting and looting local businesses. The voice of the Rev. Al Sharpton serves to draw attention to the alleged racial components of this incident – racial components that may not actually exist, considering the fact that the identity of the police officer who fired on Brown has {not yet been released.}<hyperlink=https://www.washingtonpost.com/news/post-nation/wp/2014/08/12/ferguson-police-wont-identify-officer-who-shot-and-killed-michael-brown/>

In the aftermath of this incident, however, the city of St. Louis faces several problems.

First, there is a pending investigation into a tragic shooting. A lack of trust in local law enforcement and local leadership – exacerbated by the racially lop-sided nature of said leadership – has necessitated that the investigation be overseen by the FBI rather than at the county or even state level. The investigation is likely to take time, and if history is an accurate predictor, developments along the way could lead to further instances of unrest.

Second, the city of Ferguson must rebuild. Businesses must decide whether it is profitable to stay in an area where they could be looted and even destroyed at the whim of the public over issues completely unrelated to their business. They must weigh the probable increase in insurance costs against the likelihood that they will face similar attacks in the future. Families must decide whether or not they still feel safe allowing their children to play outside or walk to school. Police officers must decide if the pay is worth being labeled the enemy before all the facts have been tallied.

But most importantly, on a national level, we must address the public’s insistence on responding to issues before the evidence is compiled, and the inability to respond in a way that makes sense. Because we live in an age where technology allows a 24-hour news cycle and an army of citizen journalists, we have become accustomed to having information at our fingertips and on demand. The downside of that is that often times, that information may come quickly but it comes without context. And particularly in cases which result in a police-involved shooting, context is key.

People on the scene in Ferguson claimed to be responding to the unequal application of force against young black men. However, the context is still lacking. The name and even the race of the officer involved have yet to be released. The actions taken by Brown and the other young man involved have yet to be released to the public. No one knows yet if the officer had a legitimate reason to shoot or if Brown was completely innocent.

In regards to the actual response, even if the shooting was completely out of line, there is a legitimate way to make that point. Immediately following the shooting, Brown’s stepfather took to the street wearing a sandwich board that read, {“Ferguson police just executed my unarmed son.”}<hyperlink=http://www.nytimes.com/2014/08/11/us/police-say-mike-brown-was-killed-after-struggle-for-gun.html?_r=1>

That is an action that demands justice and explanation. That is an action that draws attention to a situation that should be investigated. That is a legitimate response to a police action that you believe bears further scrutiny.

People who claimed to be “supporting” the Brown family, however, took to the streets and began looting local businesses. They claimed that they did so in order to “{send a message to cops that they can’t run things.}<hyperlink=https://screen.yahoo.com/protesters-ferguson-riots-needed-happen-123335700.html>” But when you loot and burn a convenience store, you only send two messages: First, that cops are justified in thinking of you as mindless thugs. And second, that at least for the time being, they’re going to have to drive another half block for their coffee and donuts.",9,34,NA,NA
TheBlaze,blaze10,http://www.theblaze.com/stories/2014/08/17/a-police-car-was-shot-at-and-retreated-exhausted-cop-explains-first-night-of-ferguson-curfew/,'A Police Car Was Shot At and Retreated': Exhausted Cop Explains First Night of Ferguson Curfew ,Zach Noble,08/17/2014,11/10/2015,"A visibly exhausted Capt. Ron Johnson, of the Missouri State Highway, recounted {the violent events of Ferguson’s first curfew night}<hyperlink=http://www.theblaze.com/stories/2014/08/17/tear-gas-and-shootings-the-violent-first-night-of-fergusons-curfew/> in the early hours of Sunday morning.

{Johnson confirmed}<hyperlink=https://www.youtube.com/watch?v=bXFN-2z4l0o&feature=youtu.be> that multiple people displayed and used firearms during the evening, shooting at a police car and sending one man to the hospital with critical gunshot wounds.

Johnson also confirmed the police use of tear gas on Sunday morning, used to disperse crowds violating the midnight-to-5 a.m. curfew declared by Missouri Gov. Jay Nixon on Saturday.

The St. Louis suburb of Ferguson has been rocked by protests since the Aug. 9 shooting of an unarmed black teenager, Michael Brown, by a white police officer.",247,7700,NA,NA
