Source,Code
ABC,abc
AL,al
TheAtlantic,atlantic
BBC,bbc
BET,bet
BlackAmericaWeb,baw
BlackEnterprise,bent
BleacherReport,bleach
Bossip,boss
Boston,boston
BostonGlobe,globe
BusinessInsider,bus
Buzzfeed,buzz
CBS,cbs
ChicagoTribune,chitri
Chron,chron
ClutchMag,clutch
CNET,cnet
CNN,cnn
DailyBeast,beast
DailyMail,daily
DallasMorningNews,dallas
Ebony,ebony
EliteDaily,elite
Engadget,engad
Essence,ess
EurWeb,eur
Examiner,exam
FoxNews,fox
DetroitFreePress,freep
Gawker,gawk
Grio,grio
Guardian,guard
HelloBeautiful,hello
HuffPost,huff
Independent,indep
LATimes,lat
MadameNoire,mnoire
Mashable,mash
Mic,mic
Mirror,mirror
Mlive,mlive
MSN,msn
NBC,nbc
NewsOne,news
NJ,nj
NPR,npr
NYDailyNews,nydn
NYPost,nyp
NYTimes,nyt
TheRoot,root
Salon,salon
SFGate,sfg
Slate,slate
TechCrunch,techc
Telegraph,tele
TheBlaze,blaze
Time,time
Upworthy,up
USAToday,usa
USNews,usn
Vice,vice
Vox,vox
WashingtonPost,wapo
Yahoo,yahoo
YBF,ybf
