link,name
abc13.com,ABC
abc15.com,ABC
abc7.com,ABC
abc7chicago.com,ABC
abc7news.com,ABC
abc7ny.com,ABC
abcnews.go.com,ABC
al.com,AL
blog.al.com,AL
topics.al.com,AL
bbc.co.uk,BBC
bbc.com,BBC
news.bbc.co.uk,BBC
bet.com,BET
blackamericaweb.com,BlackAmericaWeb
blackenterprise.com,BlackEnterprise
bossip.com,Bossip
archive.boston.com,Boston
boston.com,Boston
bostonglobe.com,BostonGlobe
businessinsider.com,BusinessInsider
businessinsider.com.au,BusinessInsider
buzzfeed.com,Buzzfeed
boston.cbslocal.com,CBS
cbs46.com,CBS
cbsnews.com,CBS
cbssports.com,CBS
cleveland.cbslocal.com,CBS
losangeles.cbslocal.com,CBS
markets.cbsnews.com,CBS
minnesota.cbslocal.com,CBS
newyork.cbslocal.com,CBS
secure-fly.cbsnews.com,CBS
stlouis.cbslocal.com,CBS
washington.cbslocal.com,CBS
articles.chicagotribune.com,ChicagoTribune
blogs.chicagotribune.com,ChicagoTribune
chicagotribune.com,ChicagoTribune
blog.chron.com,Chron
chron.com,Chron
cnet.com,CNET
ac360.blogs.cnn.com,CNN
cnn.com,CNN
edition.cnn.com,CNN
money.cnn.com,CNN
politicalticker.blogs.cnn.com,CNN
sotu.blogs.cnn.com,CNN
thelead.blogs.cnn.com,CNN
transcripts.cnn.com,CNN
whitehouse.blogs.cnn.com,CNN
thedailybeast.com,DailyBeast
dailymail.co.uk,DailyMail
crimeblog.dallasnews.com,DallasMorningNews
dallasnews.com,DallasMorningNews
trailblazersblog.dallasnews.com,DallasMorningNews
freep.com,DetroitFreePress
ebony.com,Ebony
elitedaily.com,EliteDaily
essence.com,Essence
eurthisnthat.com,EurWeb
eurweb.com,EurWeb
examiner.com,Examiner
fox.com,FoxNews
fox2now.com,FoxNews
fox32chicago.com,FoxNews
fox4kc.com,FoxNews
fox4news.com,FoxNews
fox6now.com,FoxNews
foxnews.com,FoxNews
foxsports.com,FoxNews
latino.foxnews.com,FoxNews
myfoxboston.com,FoxNews
myfoxdfw.com,FoxNews
video.foxnews.com,FoxNews
antiviral.gawker.com,Gawker
gawker.com,Gawker
valleywag.gawker.com,Gawker
thegrio.com,Grio
click.mail.theguardian.com,Guardian
theguardian.com,Guardian
hellobeautiful.com,HelloBeautiful
big.assets.huffingtonpost.com,HuffPost
data.huffingtonpost.com,HuffPost
elections.huffingtonpost.com,HuffPost
huff.to,HuffPost
huffingtonpost.ca,HuffPost
huffingtonpost.co.uk,HuffPost
huffingtonpost.com,HuffPost
i100.independent.co.uk,Independent
independent.co.uk,Independent
indy100.independent.co.uk,Independent
articles.latimes.com,LATimes
documents.latimes.com,LATimes
graphics.latimes.com,LATimes
homicide.latimes.com,LATimes
latimes.com,LATimes
latimesblogs.latimes.com,LATimes
timelines.latimes.com,LATimes
touch.latimes.com,LATimes
madamenoire.com,MadameNoire
mommynoire.com,MadameNoire
evap.mashable.com,Mashable
mashable.com,Mashable
mic.com,Mic
mirror.co.uk,Mirror
mlive.com,Mlive
topics.mlive.com,Mlive
msn.com,MSN
msnbcmedia.msn.com,MSN
news.msn.com,MSN
motorsports.nbcsports.com,NBC
nba.nbcsports.com,NBC
nbc.com,NBC
nbc12.com,NBC
nbcbayarea.com,NBC
nbcchicago.com,NBC
nbclosangeles.com,NBC
nbcmiami.com,NBC
nbcnews.com,NBC
nbcnewyork.com,NBC
nbcphiladelphia.com,NBC
nbcwashington.com,NBC
probasketballtalk.nbcsports.com,NBC
usnews.nbcnews.com,NBC
newsone.com,NewsOne
blog.nj.com,NJ
nj.com,NJ
npr.org,NPR
stateimpact.npr.org,NPR
nydailynews.com,NYDailyNews
nypost.com,NYPost
artsbeat.blogs.nytimes.com,NYTimes
dealbook.nytimes.com,NYTimes
douthat.blogs.nytimes.com,NYTimes
intransit.blogs.nytimes.com,NYTimes
