Source,Demog
ABC,General-public
AL,General-public
BBC,General-public
BET,African-American
BlackAmericaWeb,African-American
BlackEnterprise,African-American
BlackPlanet,African-American
BleacherReport,General-public
Bossip,African-American
Boston,General-public
BostonGlobe,General-public
BusinessInsider,General-public
Buzzfeed,General-public
CBS,General-public
ChicagoTribune,General-public
Chron,General-public
ClutchMag,African-American
CNET,General-public
CNN,General-public
DailyBeast,General-public
DailyMail,General-public
DallasMorningNews,General-public
DetroitFreePress,General-public
Ebony,African-American
EliteDaily,General-public
Engadget,General-public
Essence,African-American
EurWeb,African-American
Examiner,General-public
FoxNews,General-public
Gawker,General-public
Grio,African-American
HelloBeautiful,African-American
HuffPost,General-public
Independent,General-public
LATimes,General-public
MadameNoire,African-American
Mashable,General-public
MediaTakeout,African-American
Mic,General-public
Mirror,General-public
Mlive,General-public
MSN,General-public
NBC,General-public
NewsOne,African-American
NJ,General-public
NPR,General-public
NYDailyNews,General-public
NYPost,General-public
NYTimes,General-public
Salon,General-public
SFGate,General-public
Slate,General-public
TechCrunch,General-public
Telegraph,General-public
The Blaze,General-public
The Guardian,General-public
TheAtlantic,General-public
TheRoot,African-American
Time,General-public
Upworthy,General-public
USAToday,General-public
USNews,General-public
Vice,General-public
Vox,General-public
WashingtonPost,General-public
WorldStarHipHop,African-American
Yahoo,General-public
YBF,African-American
