ArticleID,Source,race,race_w2v,cigarillos,cigarillos_w2v,youth,youth_w2v,egal_w2v,ind_w2v,protest,riot,michael_brown,dead_blacks,n_words
al1,AL,13.0,0.147205337589,0.0,0.0598121814779,0.0,0.0945051197917,0.134103216739,0.146183452576,3,2,0,0,902
al2,AL,7.0,0.143610044964,0.0,0.0445083209961,0.0,0.0984401484663,0.127894327638,0.137365942327,8,0,0,0,1574
al3,AL,1.0,0.121370937159,0.0,0.0372835869948,0.0,0.0935598782529,0.104885668185,0.113200013714,3,0,5,0,968
al4,AL,8.0,0.142691979358,0.0,0.0556649092714,0.0,0.094607747438,0.120931249656,0.140460238989,3,4,1,0,780
al5,AL,1.0,0.124645588407,0.0,0.0716395033836,0.0,0.0949571218289,0.124000802273,0.13979859913,2,1,1,0,313
al6,AL,6.0,0.131892484552,0.0,0.0537917405286,0.0,0.0981371851616,0.106293518465,0.112694841947,7,1,1,0,1040
al7,AL,1.0,0.119669337148,0.0,0.0509844607257,0.0,0.0924149903996,0.104240557031,0.119904288952,0,2,2,0,671
al8,AL,0.0,0.10974379718,0.0,0.0510090820685,0.0,0.0974632443151,0.0849104005584,0.0932583759418,4,3,1,0,572
al9,AL,3.0,0.166884380329,0.0,0.0363083498046,0.0,0.105886078214,0.130588439593,0.122885700409,1,0,0,0,284
al10,AL,7.0,0.168450324851,0.0,0.0434488817681,0.0,0.103892771036,0.125750160155,0.118716600783,1,0,1,0,259
al11,AL,1.0,0.129271627763,0.0,0.0425477296644,0.0,0.100594054141,0.103775210331,0.104906553824,5,0,1,0,314
al12,AL,0.0,0.125196672504,0.0,0.0560640855714,0.0,0.0923580767785,0.108686016613,0.122457596127,3,0,0,0,381
al13,AL,2.0,0.141928141832,0.0,0.0436085158324,0.0,0.0961555729546,0.135122017283,0.153636866627,3,0,1,0,643
al14,AL,1.0,0.119434143871,0.0,0.0537739209303,0.0,0.12438013749,0.112328401781,0.1270367714,0,0,1,0,271
al15,AL,4.0,0.13182786866,0.0,0.0356926259926,0.0,0.0943257189257,0.109268989539,0.111947862337,1,0,2,0,375
al16,AL,0.0,0.114982568379,0.0,0.0510278473302,0.0,0.100447230345,0.0713311232161,0.0902171442379,0,0,1,0,168
